"";"parsed";"ebird"
"3868";"Hedydipna collaris";"Hedydipna collaris"
"3869";"Hedydipna metallica";"Hedydipna metallica"
"3870";"Kurochkinegramma hypogrammica";NA
"3871";"Cinnyris batesi";"Cinnyris batesi"
"3872";"Anthobaphes violacea";"Anthobaphes violacea"
"3873";"Cyanomitra verreauxii";NA
"3874";"Anabathmis reichenbachii";"Anabathmis reichenbachii"
"3875";"Cyanomitra oritis";"Cyanomitra oritis"
"3876";"Cyanomitra verticalis";"Cyanomitra verticalis"
"3877";"Cyanomitra bannermani";"Cyanomitra bannermani"
"3878";"Chalcomitra balfouri";"Chalcomitra balfouri"
"3879";"Cinnyris dussumieri";"Cinnyris dussumieri"
"3880";"Chalcomitra amethystina";"Chalcomitra amethystina"
"3881";"Chalcomitra rubescens";"Chalcomitra rubescens"
"3882";"Chalcomitra hunteri";"Chalcomitra hunteri"
"3883";"Chalcomitra adelberti";"Chalcomitra adelberti"
"3884";"Leptocoma zeylonica";"Leptocoma zeylonica"
"3885";"Leptocoma minima";"Leptocoma minima"
"3886";"Leptocoma calcostetha";"Leptocoma calcostetha"
"3887";"Cinnyris jugularis";"Cinnyris jugularis"
"3888";"Cinnyris buettikoferi";"Cinnyris buettikoferi"
"3889";"Cinnyris solaris";"Cinnyris solaris"
"3890";"Cinnyris sovimanga";"Cinnyris sovimanga"
"3891";"Cinnyris humbloti";"Cinnyris humbloti"
"3892";"Cinnyris comorensis";"Cinnyris comorensis"
"3893";"Cinnyris coquerellii";"Cinnyris coquerellii"
"3894";"Cinnyris oustaleti";"Cinnyris oustaleti"
"3895";"Cinnyris osea";"Cinnyris osea"
"3896";"Cinnyris habessinicus";"Cinnyris habessinicus"
"3897";"Cinnyris lotenius";"Cinnyris lotenius"
"3898";"Cinnyris manoensis";"Cinnyris manoensis"
"3899";"Cinnyris reichenowi";"Cinnyris reichenowi"
"3900";"Cinnyris afer";"Cinnyris afer"
"3901";"Cinnyris chloropygius";"Cinnyris chloropygius"
"3902";"Cinnyris regius";"Cinnyris regius"
"3903";"Cinnyris moreaui";"Cinnyris moreaui"
"3904";"Cinnyris fuscus";"Cinnyris fuscus"
"3905";"Nectarinia tacazze";"Nectarinia tacazze"
"3906";"Nectarinia purpureiventris";"Nectarinia purpureiventris"
"3907";"Nectarinia bocagii";"Nectarinia bocagii"
"3908";"Nectarinia kilimensis";"Nectarinia kilimensis"
"3909";"Cinnyris congensis";"Cinnyris congensis"
"3910";"Cinnyris bifasciatus";"Cinnyris bifasciatus"
"3911";"Cinnyris chalcomelas";"Cinnyris chalcomelas"
"3912";"Cinnyris pembae";"Cinnyris pembae"
"3913";"Cinnyris notatus";"Cinnyris notatus"
"3914";"Cinnyris pulchellus";"Cinnyris pulchellus"
"3915";"Cinnyris nectarinioides";"Cinnyris nectarinioides"
"3916";"Aethopyga flagrans";"Aethopyga flagrans"
"3917";"Aethopyga duyvenbodei";"Aethopyga duyvenbodei"
"3918";"Aethopyga gouldiae";"Aethopyga gouldiae"
"3919";"Aethopyga nipalensis";"Aethopyga nipalensis"
"3920";"Aethopyga eximia";"Aethopyga eximia"
"3921";"Aethopyga christinae";"Aethopyga christinae"
"3922";"Aethopyga saturata";"Aethopyga saturata"
"3923";"Aethopyga siparaja";"Aethopyga siparaja"
"3924";"Aethopyga mystacalis";"Aethopyga mystacalis"
"3925";"Arachnothera longirostra";"Arachnothera longirostra"
"3926";"Arachnothera crassirostris";"Arachnothera crassirostris"
"3927";"Arachnothera robusta";"Arachnothera robusta"
"3928";"Arachnothera flavigaster";"Arachnothera flavigaster"
"3929";"Arachnothera chrysogenys";"Arachnothera chrysogenys"
"3930";"Arachnothera affinis";"Arachnothera affinis"
"3931";"Arachnothera magna";"Arachnothera magna"
"3932";"Arachnothera juliae";"Arachnothera juliae"
"3933";"Melanocharis striativentris";"Melanocharis striativentris"
"3934";"Toxorhamphus poliopterus";"Toxorhamphus poliopterus"
"3935";"Toxorhamphus novaeguineae";"Toxorhamphus novaeguineae"
