"";"parsed";"iucn_itis"
"1395";"Molossops neglectus";"Molossops neglectus"
"1396";"Molossops mattogrossensis";"Molossops mattogrossensis"
"1397";"Cynomops greenhalli";"Cynomops greenhalli"
"1398";"Molossops aequatorianus";"Molossops aequatorianus"
"1399";"Cynomops abrasus";"Cynomops abrasus"
"1400";"Taphozous theobaldi";"Taphozous theobaldi"
"1401";"Taphozous nudiventris";"Taphozous nudiventris"
"1402";"Taphozous melanopogon";"Taphozous melanopogon"
"1403";"Taphozous mauritianus";"Taphozous mauritianus"
"1404";"Taphozous longimanus";"Taphozous longimanus"
"1405";"Taphozous achates";"Taphozous achates"
"1406";"Taphozous hamiltoni";"Taphozous hamiltoni"
"1407";"Taphozous hildegardeae";"Taphozous hildegardeae"
"1408";"Taphozous australis";"Taphozous australis"
"1409";"Monophyllus redmani";"Monophyllus redmani"
"1410";"Monophyllus plethodon";"Monophyllus plethodon"
"1411";"Otomops johnstonei";"Otomops johnstonei"
"1412";"Otomops formosus";"Otomops formosus"
"1413";"Otomops wroughtoni";"Otomops wroughtoni"
"1414";"Cynopterus horsfieldii";"Cynopterus horsfieldii"
"1415";"Cynopterus brachyotis";"Cynopterus brachyotis"
"1416";"Cynopterus sphinx";"Cynopterus sphinx"
"1417";"Cynopterus nusatenggara";"Cynopterus nusatenggara"
"1418";"Cynopterus titthaecheilus";"Cynopterus titthaecheilus"
"1419";"Vespadelus caurinus";"Vespadelus caurinus"
"1420";"Eptesicus brasiliensis";"Eptesicus brasiliensis"
"1421";"Eptesicus bottae";"Eptesicus bottae"
"1422";"Eptesicus bobrinskoi";"Eptesicus bobrinskoi"
"1423";"Tadarida teniotis";"Tadarida teniotis"
"1424";"Eptesicus andinus";"Eptesicus andinus"
"1425";"Tadarida aegyptiaca";"Tadarida aegyptiaca"
"1426";"Eptesicus nilssonii";"Eptesicus nilssonii"
"1427";"Epomops dobsonii";"Epomops dobsonii"
"1428";"Epomops buettikoferi";"Epomops buettikoferi"
"1429";"Epomophorus wahlbergi";"Epomophorus wahlbergi"
"1430";"Epomophorus minimus";"Epomophorus minimus"
"1431";"Rhyneptesicus nasutus";"Rhyneptesicus nasutus"
"1432";"Eptesicus pachyotis";"Eptesicus pachyotis"
"1433";"Eptesicus kobayashii";"Eptesicus kobayashii"
"1434";"Philetor brachypterus";"Philetor brachypterus"
"1435";"Eptesicus hottentotus";"Eptesicus hottentotus"
"1436";"Eptesicus guadeloupensis";"Eptesicus guadeloupensis"
"1437";"Eptesicus furinalis";"Eptesicus furinalis"
"1438";"Eptesicus fuscus";"Eptesicus fuscus"
"1439";"Eptesicus floweri";"Eptesicus floweri"
"1440";"Vespadelus finlaysoni";"Vespadelus finlaysoni"
"1441";"Eptesicus dimissus";"Eptesicus dimissus"
"1442";"Otonycteris hemprichii";"Otonycteris hemprichii"
"1443";"Lasiurus seminolus";"Lasiurus seminolus"
"1444";"Lasiurus ega";"Lasiurus ega"
"1445";"Eptesicus tatei";"Eptesicus tatei"
"1446";"Lasiurus ebenus";"Lasiurus ebenus"
"1447";"Vespadelus troughtoni";"Vespadelus troughtoni"
"1448";"Lasiurus egregius";"Lasiurus egregius"
"1449";"Lasiurus blossevillii";"Lasiurus blossevillii"
"1450";"Vespadelus pumilus";"Vespadelus pumilus"
"1451";"Lasiurus cinereus";"Lasiurus cinereus"
"1452";"Eptesicus platyops";"Eptesicus platyops"
"1453";"Lasiurus castaneus";"Lasiurus castaneus"
"1454";"Lasiurus borealis";"Lasiurus borealis"
"1455";"Tadarida ventralis";"Tadarida ventralis"
"1456";"Tadarida lobata";"Tadarida lobata"
"1457";"Tadarida brasiliensis";"Tadarida brasiliensis"
"1458";"Austronomus australis";"Austronomus australis"
"1459";"Tadarida fulminans";"Tadarida fulminans"
"1460";"Lasionycteris noctivagans";"Lasionycteris noctivagans"
"1461";"Otopteropus cartilagonodus";"Otopteropus cartilagonodus"
"1462";"Epomophorus labiatus";"Epomophorus labiatus"
"1463";"Epomophorus gambianus";"Epomophorus gambianus"
"1464";"Epomophorus grandis";"Epomophorus grandis"
"1465";"Epomophorus angolensis";"Epomophorus angolensis"
"1466";"Pipistrellus wattsi";"Pipistrellus wattsi"
"1467";"Pipistrellus westralis";"Pipistrellus westralis"
"1468";"Pipistrellus sturdeei";"Pipistrellus sturdeei"
"1469";"Neonycteris pusilla";"Neonycteris pusilla"
"1470";"Trinycteris nicefori";"Trinycteris nicefori"
"1471";"Perimyotis subflavus";"Perimyotis subflavus"
"1472";"Falsistrellus tasmaniensis";"Falsistrellus tasmaniensis"
"1473";"Glyphonycteris sylvestris";"Glyphonycteris sylvestris"
"1474";"Micronycteris schmidtorum";"Micronycteris schmidtorum"
"1475";"Pipistrellus rueppellii";"Pipistrellus rueppellii"
"1476";"Micronycteris hirsuta";"Micronycteris hirsuta"
"1477";"Pipistrellus rusticus";"Pipistrellus rusticus"
"1478";"Glyphonycteris daviesi";"Glyphonycteris daviesi"
"1479";"Micronycteris minuta";"Micronycteris minuta"
"1480";"Micronycteris megalotis";"Micronycteris megalotis"
"1481";"Pipistrellus stenopterus";"Pipistrellus stenopterus"
"1482";"Pipistrellus permixtus";"Pipistrellus permixtus"
"1483";"Syconycteris carolinae";"Syconycteris carolinae"
"1484";"Hypsugo pulveratus";"Hypsugo pulveratus"
"1485";"Falsistrellus petersi";"Falsistrellus petersi"
"1486";"Leptonycteris nivalis";"Leptonycteris nivalis"
"1487";"Micropteropus intermedius";"Micropteropus intermedius"
"1488";"Pipistrellus nanulus";"Pipistrellus nanulus"
"1489";"Pipistrellus paterculus";"Pipistrellus paterculus"
"1490";"Leptonycteris curasoae";"Leptonycteris curasoae"
"1491";"Pipistrellus papuanus";"Pipistrellus papuanus"
"1492";"Pipistrellus minahassae";"Pipistrellus minahassae"
"1493";"Hypsugo macrotis";"Hypsugo macrotis"
"1494";"Falsistrellus mordax";"Falsistrellus mordax"
"1495";"Hypsugo kitcheneri";"Hypsugo kitcheneri"
"1496";"Hypsugo vordermanni";"Hypsugo vordermanni"
"1497";"Hypsugo joffrei";"Hypsugo joffrei"
"1498";"Eonycteris major";"Eonycteris major"
"1499";"Eonycteris spelaea";"Eonycteris spelaea"
"1500";"Hypsugo lophurus";"Hypsugo lophurus"
"1501";"Pipistrellus inexspectatus";"Pipistrellus inexspectatus"
"1502";"Pipistrellus javanicus";"Pipistrellus javanicus"
"1503";"Antrozous pallidus";"Antrozous pallidus"
"1504";"Parastrellus hesperus";"Parastrellus hesperus"
"1505";"Bauerus dubiaquercus";"Bauerus dubiaquercus"
"1506";"Pipistrellus imbricatus";"Pipistrellus imbricatus"
"1507";"Pipistrellus endoi";"Pipistrellus endoi"
"1508";"Scotozous dormeri";"Scotozous dormeri"
"1509";"Pipistrellus coromandra";"Pipistrellus coromandra"
"1510";"Pipistrellus collinus";"Pipistrellus collinus"
"1511";"Hypsugo cadornae";"Hypsugo cadornae"
"1512";"Pipistrellus ceylonicus";"Pipistrellus ceylonicus"
"1513";"Glyphonycteris behnii";"Glyphonycteris behnii"
"1514";"Hypsugo arabicus";"Hypsugo arabicus"
"1515";"Hypsugo anthonyi";"Hypsugo anthonyi"
"1516";"Lampronycteris brachyotis";"Lampronycteris brachyotis"
"1517";"Pipistrellus angulatus";"Pipistrellus angulatus"
"1518";"Hypsugo affinis";"Hypsugo affinis"
"1519";"Pipistrellus aero";"Pipistrellus aero"
"1520";"Pipistrellus adamsi";"Pipistrellus adamsi"
"1521";"Pipistrellus abramus";"Pipistrellus abramus"
"1522";"Pipistrellus nathusii";"Pipistrellus nathusii"
"1523";"Pipistrellus kuhlii";"Pipistrellus kuhlii"
"1524";"Phyllonycteris aphylla";"Phyllonycteris aphylla"
"1525";"Phyllops falcatus";"Phyllops falcatus"
"1526";"Phyllonycteris poeyi";"Phyllonycteris poeyi"
"1527";"Carollia perspicillata";"Carollia perspicillata"
"1528";"Carollia subrufa";"Carollia subrufa"
"1529";"Phylloderma stenops";"Phylloderma stenops"
"1530";"Arielulus societatis";"Arielulus societatis"
"1531";"Arielulus cuprosus";"Arielulus cuprosus"
"1532";"Carollia brevicauda";"Carollia brevicauda"
"1533";"Emballonura monticola";"Emballonura monticola"
"1534";"Emballonura semicaudata";"Emballonura semicaudata"
"1535";"Paremballonura atrata";"Paremballonura atrata"
"1536";"Phyllostomus elongatus";"Phyllostomus elongatus"
"1537";"Phyllostomus hastatus";"Phyllostomus hastatus"
"1538";"Phyllostomus latifolius";"Phyllostomus latifolius"
"1539";"Cardioderma cor";"Cardioderma cor"
"1540";"Phyllostomus discolor";"Phyllostomus discolor"
"1541";"Haplonycteris fischeri";"Haplonycteris fischeri"
"1542";"Capra nubiana";"Capra nubiana"
"1543";"Capra caucasica";"Capra caucasica"
"1544";"Capra aegagrus";"Capra aegagrus"
"1545";"Ovis ammon";"Ovis ammon"
"1546";"Ovis canadensis";"Ovis canadensis"
"1547";"Ovis gmelini";"Ovis gmelini"
"1548";"Capra sibirica";"Capra sibirica"
"1549";"Ovibos moschatus";"Ovibos moschatus"
"1550";"Ovis dalli";"Ovis dalli"
"1551";"Naemorhedus caudatus";"Naemorhedus caudatus"
"1552";"Capricornis crispus";"Capricornis crispus"
"1553";"Hemitragus jemlahicus";"Hemitragus jemlahicus"
"1554";"Muntiacus vuquangensis";"Muntiacus vuquangensis"
"1555";"Muntiacus truongsonensis";"Muntiacus truongsonensis"
"1556";"Mazama pandora";"Mazama pandora"
"1557";"Mazama nana";"Mazama nana"
"1558";"Mazama gouazoubira";"Mazama gouazoubira"
"1559";"Mazama americana";"Mazama americana"
"1560";"Mazama bororo";"Mazama bororo"
"1561";"Cervus nippon";"Cervus nippon"
"1562";"Axis calamianensis";"Axis calamianensis"
"1563";"Rusa timorensis";"Rusa timorensis"
"1564";"Alces alces";"Alces alces"
"1565";"Axis porcinus";"Axis porcinus"
"1566";"Axis axis";"Axis axis"
"1567";"Mazama nemorivaga";"Mazama nemorivaga"
"1568";"Hippocamelus antisensis";"Hippocamelus antisensis"
"1569";"Hippocamelus bisulcus";"Hippocamelus bisulcus"
"1570";"Muntiacus putaoensis";"Muntiacus putaoensis"
"1571";"Elaphodus cephalophus";"Elaphodus cephalophus"
"1572";"Elaphurus davidianus";"Elaphurus davidianus"
"1573";"Ozotoceros bezoarticus";"Ozotoceros bezoarticus"
"1574";"Muntiacus feae";"Muntiacus feae"
"1575";"Muntiacus rooseveltorum";"Muntiacus rooseveltorum"
"1576";"Muntiacus gongshanensis";"Muntiacus gongshanensis"
"1577";"Muntiacus crinifrons";"Muntiacus crinifrons"
"1578";"Blastocerus dichotomus";"Blastocerus dichotomus"
"1579";"Capreolus capreolus";"Capreolus capreolus"
"1580";"Capreolus pygargus";"Capreolus pygargus"
"1581";"Odocoileus hemionus";"Odocoileus hemionus"
"1582";"Odocoileus virginianus";"Odocoileus virginianus"
"1583";"Hydropotes inermis";"Hydropotes inermis"
"1584";"Pudu mephistophiles";"Pudu mephistophiles"
"1585";"Pudu puda";"Pudu puda"
"1586";"Mazama temama";"Mazama temama"
"1587";"Muntiacus puhoatensis";"Muntiacus puhoatensis"
"1588";"Mazama bricenii";"Mazama bricenii"
"1589";"Muntiacus vaginalis";"Muntiacus vaginalis"
"1590";"Mazama rufina";"Mazama rufina"
"1591";"Mazama chunyi";"Mazama chunyi"
"1592";"Muntiacus atherodes";"Muntiacus atherodes"
"1593";"Rucervus eldii";"Rucervus eldii"
"1594";"Rangifer tarandus";"Rangifer tarandus"
"1595";"Rucervus duvaucelii";"Rucervus duvaucelii"
"1596";"Muntiacus montanus";"Muntiacus montanus"
"1597";"Rusa marianna";"Rusa marianna"
"1598";"Rusa alfredi";"Rusa alfredi"
"1599";"Gracilinanus aceramarcae";"Gracilinanus aceramarcae"
"1600";"Gracilinanus dryas";"Gracilinanus dryas"
"1601";"Gracilinanus agilis";"Gracilinanus agilis"
"1602";"Gracilinanus marica";"Gracilinanus marica"
"1603";"Monodelphis reigi";"Monodelphis reigi"
"1604";"Monodelphis emiliae";"Monodelphis emiliae"
"1605";"Monodelphis dimidiata";"Monodelphis dimidiata"
"1606";"Monodelphis kunsi";"Monodelphis kunsi"
"1607";"Monodelphis adusta";"Monodelphis adusta"
"1608";"Monodelphis osgoodi";"Monodelphis osgoodi"
"1609";"Monodelphis brevicaudata";"Monodelphis brevicaudata"
"1610";"Monodelphis unistriata";"Monodelphis unistriata"
"1611";"Monodelphis ronaldi";"Monodelphis ronaldi"
"1612";"Monodelphis palliolata";"Monodelphis palliolata"
"1613";"Thylamys venustus";"Thylamys venustus"
"1614";"Thylamys elegans";"Thylamys elegans"
"1615";"Thylamys pulchellus";"Thylamys pulchellus"
"1616";"Thylamys pusillus";"Thylamys pusillus"
"1617";"Thylamys fenestrae";"Thylamys fenestrae"
"1618";"Thylamys citellus";"Thylamys citellus"
"1619";"Thylamys tatei";"Thylamys tatei"
"1620";"Thylamys cinderella";"Thylamys cinderella"
"1621";"Thylamys macrurus";"Thylamys macrurus"
"1622";"Chironectes minimus";"Chironectes minimus"
"1623";"Marmosa alstoni";"Marmosa alstoni"
"1624";"Marmosa mexicana";"Marmosa mexicana"
"1625";"Marmosa quichua";"Marmosa quichua"
"1626";"Marmosa lepida";"Marmosa lepida"
"1627";"Marmosa robinsoni";"Marmosa robinsoni"
"1628";"Marmosa tyleriana";"Marmosa tyleriana"
"1629";"Marmosa rubra";"Marmosa rubra"
"1630";"Marmosa andersoni";"Marmosa andersoni"
"1631";"Marmosa constantiae";"Marmosa constantiae"
"1632";"Marmosa phaea";"Marmosa phaea"
"1633";"Lutreolina crassicaudata";"Lutreolina crassicaudata"
"1634";"Chacodelphys formosa";"Chacodelphys formosa"
"1635";"Caluromys derbianus";"Caluromys derbianus"
"1636";"Didelphis virginiana";"Didelphis virginiana"
"1637";"Didelphis imperfecta";"Didelphis imperfecta"
"1638";"Didelphis pernigra";"Didelphis pernigra"
"1639";"Philander opossum";"Philander opossum"
"1640";"Philander mondolfii";"Philander mondolfii"
"1641";"Philander frenatus";"Philander frenatus"
"1642";"Philander olrogi";"Philander olrogi"
"1643";"Philander deltae";"Philander deltae"
"1644";"Tlacuatzin canescens";"Tlacuatzin canescens"
"1645";"Cryptonanus ignitus";"Cryptonanus ignitus"
"1646";"Cryptonanus chacoensis";"Cryptonanus chacoensis"
"1647";"Marmosops creightoni";"Marmosops creightoni"
"1648";"Marmosops bishopi";"Marmosops bishopi"
"1649";"Marmosops juninensis";"Marmosops juninensis"
"1650";"Marmosops pinheiroi";"Marmosops pinheiroi"
"1651";"Marmosops ocellatus";"Marmosops ocellatus"
"1652";"Marmosops impavidus";"Marmosops impavidus"
"1653";"Marmosops cracens";"Marmosops cracens"
"1654";"Marmosops fuscatus";"Marmosops fuscatus"
"1655";"Marmosops handleyi";"Marmosops handleyi"
"1656";"Glironia venusta";"Glironia venusta"
"1657";"Lestoros inca";"Lestoros inca"
"1658";"Caenolestes convelatus";"Caenolestes convelatus"
"1659";"Caenolestes fuliginosus";"Caenolestes fuliginosus"
"1660";"Caenolestes caniventer";"Caenolestes caniventer"
"1661";"Caenolestes condorensis";"Caenolestes condorensis"
"1662";"Dromiciops gliroides";"Dromiciops gliroides"
"1663";"Cuscomys oblativa";"Cuscomys oblativa"
"1664";"Cuscomys ashaninka";"Cuscomys ashaninka"
"1665";"Abrocoma vaccarum";"Abrocoma vaccarum"
"1666";"Abrocoma boliviensis";"Abrocoma boliviensis"
"1667";"Abrocoma bennettii";"Abrocoma bennettii"
"1668";"Abrocoma shistacea";"Abrocoma shistacea"
"1669";"Abrocoma famatina";"Abrocoma famatina"
"1670";"Abrocoma cinerea";"Abrocoma cinerea"
"1671";"Abrocoma budini";"Abrocoma budini"
"1672";"Abrocoma uspallata";"Abrocoma uspallata"
"1673";"Anomalurus pelii";"Anomalurus pelii"
"1674";"Anomalurus beecrofti";"Anomalurus beecrofti"
"1675";"Anomalurus pusillus";"Anomalurus pusillus"
"1676";"Zenkerella insignis";"Zenkerella insignis"
"1677";"Idiurus zenkeri";"Idiurus zenkeri"
"1678";"Idiurus macrotis";"Idiurus macrotis"
"1679";"Fukomys bocagei";"Fukomys bocagei"
"1680";"Fukomys zechi";"Fukomys zechi"
"1681";"Fukomys anselli";"Fukomys anselli"
"1682";"Fukomys ochraceocinereus";"Fukomys ochraceocinereus"
"1683";"Fukomys darlingi";"Fukomys darlingi"
"1684";"Fukomys foxi";"Fukomys foxi"
"1685";"Fukomys kafuensis";"Fukomys kafuensis"
"1686";"Fukomys damarensis";"Fukomys damarensis"
"1687";"Fukomys mechowii";"Fukomys mechowii"
"1688";"Bathyergus janetta";"Bathyergus janetta"
"1689";"Calomyscus mystax";"Calomyscus mystax"
"1690";"Calomyscus urartensis";"Calomyscus urartensis"
"1691";"Mesocapromys auritus";"Mesocapromys auritus"
"1692";"Mesocapromys angelcabrerai";"Mesocapromys angelcabrerai"
"1693";"Mesocapromys sanfelipensis";"Mesocapromys sanfelipensis"
"1694";"Geocapromys brownii";"Geocapromys brownii"
"1695";"Geocapromys ingrahami";"Geocapromys ingrahami"
"1696";"Geocapromys thoracatus";"Geocapromys thoracatus"
"1697";"Geocapromys columbianus";"Geocapromys columbianus"
"1698";"Isolobodon portoricensis";"Isolobodon portoricensis"
"1699";"Isolobodon montanus";"Isolobodon montanus"
"1700";"Hexolobodon phenax";"Hexolobodon phenax"
"1701";"Mysateles melanurus";"Mysateles melanurus"
"1702";"Plagiodontia ipnaeum";"Plagiodontia ipnaeum"
"1703";"Castor canadensis";"Castor canadensis"
"1704";"Cavia magna";"Cavia magna"
"1705";"Cavia fulgida";"Cavia fulgida"
"1706";"Cavia tschudii";"Cavia tschudii"
"1707";"Cavia intermedia";"Cavia intermedia"
"1708";"Cavia aperea";"Cavia aperea"
"1709";"Galea spixii";"Galea spixii"
"1710";"Galea flavidens";"Galea flavidens"
"1711";"Galea musteloides";"Galea musteloides"
"1712";"Microcavia shiptoni";"Microcavia shiptoni"
"1713";"Microcavia niata";"Microcavia niata"
"1714";"Microcavia australis";"Microcavia australis"
"1715";"Hydrochoerus isthmius";"Hydrochoerus isthmius"
"1716";"Hydrochoerus hydrochaeris";"Hydrochoerus hydrochaeris"
"1717";"Kerodon acrobata";"Kerodon acrobata"
"1718";"Kerodon rupestris";"Kerodon rupestris"
"1719";"Dolichotis patagonum";"Dolichotis patagonum"
"1720";"Dolichotis salinicola";"Dolichotis salinicola"
"1721";"Lagidium viscacia";"Lagidium viscacia"
"1722";"Chinchilla chinchilla";"Chinchilla chinchilla"
"1723";"Felovia vae";"Felovia vae"
"1724";"Massoutiera mzabi";"Massoutiera mzabi"
"1725";"Ctenomys argentinus";"Ctenomys argentinus"
"1726";"Ctenomys azarae";"Ctenomys azarae"
"1727";"Ctenomys bonettoi";"Ctenomys bonettoi"
"1728";"Ctenomys dorbignyi";"Ctenomys dorbignyi"
"1729";"Ctenomys brasiliensis";"Ctenomys brasiliensis"
"1730";"Ctenomys colburni";"Ctenomys colburni"
"1731";"Ctenomys conoveri";"Ctenomys conoveri"
"1732";"Ctenomys dorsalis";"Ctenomys dorsalis"
"1733";"Ctenomys emilianus";"Ctenomys emilianus"
"1734";"Ctenomys fulvus";"Ctenomys fulvus"
"1735";"Ctenomys roigi";"Ctenomys roigi"
"1736";"Ctenomys fochi";"Ctenomys fochi"
"1737";"Ctenomys haigi";"Ctenomys haigi"
"1738";"Ctenomys knighti";"Ctenomys knighti"
"1739";"Ctenomys rionegrensis";"Ctenomys rionegrensis"
"1740";"Ctenomys leucodon";"Ctenomys leucodon"
"1741";"Ctenomys latro";"Ctenomys latro"
"1742";"Ctenomys magellanicus";"Ctenomys magellanicus"
"1743";"Ctenomys lewisi";"Ctenomys lewisi"
"1744";"Ctenomys maulinus";"Ctenomys maulinus"
"1745";"Ctenomys pundti";"Ctenomys pundti"
"1746";"Ctenomys minutus";"Ctenomys minutus"
"1747";"Ctenomys opimus";"Ctenomys opimus"
"1748";"Ctenomys occultus";"Ctenomys occultus"
"1749";"Ctenomys perrensi";"Ctenomys perrensi"
"1750";"Ctenomys pearsoni";"Ctenomys pearsoni"
"1751";"Ctenomys pontifex";"Ctenomys pontifex"
"1752";"Ctenomys peruanus";"Ctenomys peruanus"
"1753";"Ctenomys saltarius";"Ctenomys saltarius"
"1754";"Ctenomys porteousi";"Ctenomys porteousi"
"1755";"Ctenomys steinbachi";"Ctenomys steinbachi"
"1756";"Ctenomys osvaldoreigi";"Ctenomys osvaldoreigi"
"1757";"Ctenomys talarum";"Ctenomys talarum"
"1758";"Ctenomys sericeus";"Ctenomys sericeus"
"1759";"Ctenomys sociabilis";"Ctenomys sociabilis"
"1760";"Ctenomys tucumanus";"Ctenomys tucumanus"
"1761";"Ctenomys validus";"Ctenomys validus"
"1762";"Ctenomys tuconax";"Ctenomys tuconax"
"1763";"Ctenomys johannis";"Ctenomys johannis"
"1764";"Ctenomys viperinus";"Ctenomys viperinus"
"1765";"Ctenomys pilarensis";"Ctenomys pilarensis"
"1766";"Ctenomys coyhaiquensis";"Ctenomys coyhaiquensis"
"1767";"Ctenomys scagliai";"Ctenomys scagliai"
"1768";"Ctenomys lami";"Ctenomys lami"
"1769";"Ctenomys coludo";"Ctenomys coludo"
"1770";"Ctenomys juris";"Ctenomys juris"
"1771";"Ctenomys bergi";"Ctenomys bergi"
"1772";"Ctenomys yolandae";"Ctenomys yolandae"
"1773";"Ctenomys fodax";"Ctenomys fodax"
"1774";"Ctenomys goodfellowi";"Ctenomys goodfellowi"
"1775";"Ctenomys flamarioni";"Ctenomys flamarioni"
"1776";"Ctenomys famosus";"Ctenomys famosus"
"1777";"Ctenomys tulduco";"Ctenomys tulduco"
"1778";"Cuniculus paca";"Cuniculus paca"
"1779";"Cuniculus taczanowskii";"Cuniculus taczanowskii"
"1780";"Dasyprocta kalinowskii";"Dasyprocta kalinowskii"
"1781";"Dasyprocta leporina";"Dasyprocta leporina"
"1782";"Dasyprocta fuliginosa";"Dasyprocta fuliginosa"
"1783";"Dasyprocta guamara";"Dasyprocta guamara"
"1784";"Dasyprocta ruatanica";"Dasyprocta ruatanica"
"1785";"Dasyprocta prymnolopha";"Dasyprocta prymnolopha"
"1786";"Dasyprocta coibae";"Dasyprocta coibae"
"1787";"Dasyprocta azarae";"Dasyprocta azarae"
"1788";"Myoprocta pratti";"Myoprocta pratti"
"1789";"Myoprocta acouchy";"Myoprocta acouchy"
"1790";"Laonastes aenigmamus";"Laonastes aenigmamus"
"1791";"Dinomys branickii";"Dinomys branickii"
"1792";"Eremodipus lichtensteini";"Eremodipus lichtensteini"
"1793";"Salpingotulus michaelis";"Salpingotulus michaelis"
"1794";"Stylodipus andrewsi";"Stylodipus andrewsi"
"1795";"Stylodipus sungorus";"Stylodipus sungorus"
"1796";"Stylodipus telum";"Stylodipus telum"
"1797";"Pygeretmus zhitkovi";"Pygeretmus zhitkovi"
"1798";"Eozapus setchuanus";"Eozapus setchuanus"
"1799";"Salpingotus crassicauda";"Salpingotus crassicauda"
"1800";"Allactaga tetradactyla";"Allactaga tetradactyla"
"1801";"Allactaga balikunica";"Allactaga balikunica"
"1802";"Scarturus euphratica";"Scarturus euphratica"
"1803";"Allactaga firouzi";"Allactaga firouzi"
"1804";"Scarturus vinogradovi";"Scarturus vinogradovi"
"1805";"Cardiocranius paradoxus";"Cardiocranius paradoxus"
"1806";"Sicista pseudonapaea";"Sicista pseudonapaea"
"1807";"Sicista tianshanica";"Sicista tianshanica"
"1808";"Sicista kluchorica";"Sicista kluchorica"
"1809";"Sicista kazbegica";"Sicista kazbegica"
"1810";"Sicista caudata";"Sicista caudata"
"1811";"Sicista armenica";"Sicista armenica"
"1812";"Sicista caucasica";"Sicista caucasica"
"1813";"Lonchothrix emiliae";"Lonchothrix emiliae"
"1814";"Diplomys labilis";"Diplomys labilis"
"1815";"Diplomys caniceps";"Diplomys caniceps"
"1816";"Clyomys laticeps";"Clyomys laticeps"
"1817";"Kannabateomys amblyonyx";"Kannabateomys amblyonyx"
"1818";"Brotomys voratus";"Brotomys voratus"
"1819";"Euryzygomatomys spinosus";"Euryzygomatomys spinosus"
"1820";"Heteropsomys insulans";"Heteropsomys insulans"
"1821";"Boromys offella";"Boromys offella"
"1822";"Boromys torrei";"Boromys torrei"
"1823";"Thrichomys inermis";"Thrichomys inermis"
"1824";"Thrichomys apereoides";"Thrichomys apereoides"
"1825";"Thrichomys pachyurus";"Thrichomys pachyurus"
"1826";"Olallamys albicauda";"Olallamys albicauda"
"1827";"Olallamys edax";"Olallamys edax"
"1828";"Makalata macrura";"Makalata macrura"
"1829";"Toromys rhipidurus";"Toromys rhipidurus"
"1830";"Makalata didelphoides";"Makalata didelphoides"
"1831";"Makalata obscura";"Makalata obscura"
"1832";"Hoplomys gymnurus";"Hoplomys gymnurus"
"1833";"Echimys chrysurus";"Echimys chrysurus"
"1834";"Echimys saturnus";"Echimys saturnus"
"1835";"Echimys vieirai";"Echimys vieirai"
"1836";"Proechimys mincae";"Proechimys mincae"
"1837";"Proechimys longicaudatus";"Proechimys longicaudatus"
"1838";"Proechimys echinothrix";"Proechimys echinothrix"
"1839";"Proechimys quadruplicatus";"Proechimys quadruplicatus"
"1840";"Proechimys kulinae";"Proechimys kulinae"
"1841";"Proechimys oconnelli";"Proechimys oconnelli"
"1842";"Proechimys roberti";"Proechimys roberti"
"1843";"Proechimys simonsi";"Proechimys simonsi"
"1844";"Proechimys steerei";"Proechimys steerei"
"1845";"Proechimys pattoni";"Proechimys pattoni"
"1846";"Proechimys semispinosus";"Proechimys semispinosus"
"1847";"Proechimys gardneri";"Proechimys gardneri"
"1848";"Proechimys trinitatis";"Proechimys trinitatis"
"1849";"Proechimys canicollis";"Proechimys canicollis"
"1850";"Proechimys brevicauda";"Proechimys brevicauda"
"1851";"Proechimys decumanus";"Proechimys decumanus"
"1852";"Proechimys cuvieri";"Proechimys cuvieri"
"1853";"Proechimys chrysaeolus";"Proechimys chrysaeolus"
"1854";"Proechimys guyannensis";"Proechimys guyannensis"
"1855";"Proechimys guairae";"Proechimys guairae"
"1856";"Proechimys goeldii";"Proechimys goeldii"
"1857";"Proechimys hoplomyoides";"Proechimys hoplomyoides"
"1858";"Dactylomys peruanus";"Dactylomys peruanus"
"1859";"Dactylomys dactylinus";"Dactylomys dactylinus"
"1860";"Dactylomys boliviensis";"Dactylomys boliviensis"
"1861";"Phyllomys brasiliensis";"Phyllomys brasiliensis"
"1862";"Phyllomys blainvillii";"Phyllomys blainvillii"
"1863";"Phyllomys medius";"Phyllomys medius"
"1864";"Phyllomys dasythrix";"Phyllomys dasythrix"
"1865";"Phyllomys lamarum";"Phyllomys lamarum"
"1866";"Phyllomys nigrispinus";"Phyllomys nigrispinus"
"1867";"Phyllomys kerri";"Phyllomys kerri"
"1868";"Phyllomys pattoni";"Phyllomys pattoni"
"1869";"Phyllomys lundi";"Phyllomys lundi"
"1870";"Phyllomys unicolor";"Phyllomys unicolor"
"1871";"Phyllomys thomasi";"Phyllomys thomasi"
"1872";"Phyllomys mantiqueirensis";"Phyllomys mantiqueirensis"
"1873";"Santamartamys rufodorsalis";"Santamartamys rufodorsalis"
"1874";"Isothrix sinnamariensis";"Isothrix sinnamariensis"
"1875";"Isothrix pagurus";"Isothrix pagurus"
"1876";"Isothrix bistriata";"Isothrix bistriata"
"1877";"Isothrix barbarabrownae";"Isothrix barbarabrownae"
"1878";"Isothrix negrensis";"Isothrix negrensis"
"1879";"Trinomys moojeni";"Trinomys moojeni"
"1880";"Trinomys albispinus";"Trinomys albispinus"
"1881";"Trinomys eliasi";"Trinomys eliasi"
"1882";"Trinomys mirapitanga";"Trinomys mirapitanga"
"1883";"Trinomys gratiosus";"Trinomys gratiosus"
