"";"parsed";"iucn_itis"
"5974";"Suncus madagascariensis";"Suncus etruscus"
"5975";"Cryptotis mera";"Cryptotis merus"
"5976";"Sorex monticolus";"Sorex monticola"
"5977";"Megaderma lyra";"Lyroderma lyra"
"5978";"Hipposideros thomensis";"Macronycteris thomensis"
"5979";"Hipposideros commersoni";"Macronycteris commersoni"
"5980";"Hipposideros vittatus";"Macronycteris vittatus"
"5981";"Hipposideros gigas";"Macronycteris gigas"
"5982";"Rousettus bidens";"Boneia bidens"
"5983";"Pteropus argentatus";"Pteropus chrysoproctus"
"5984";"Mimon koepckeae";"Gardnerycteris koepckeae"
"5985";"Dermanura toltecus";"Dermanura tolteca"
"5986";"Dermanura rosenbergii";"Dermanura rosenbergi"
"5987";"Dermanura aztecus";"Dermanura azteca"
"5988";"Dermanura cinereus";"Dermanura cinerea"
"5989";"Dermanura gnomus";"Dermanura gnoma"
"5990";"Vampyressa bidens";"Vampyriscus bidens"
"5991";"Vampyressa brocki";"Vampyriscus brocki"
"5992";"Vampyressa nymphaea";"Vampyriscus nymphaea"
"5993";"Mimon crenulatum";"Gardnerycteris crenulatum"
"5994";"Lophostoma aequatorialis";"Lophostoma occidentalis"
"5995";"Lophostoma yasuni";"Lophostoma carrikeri"
"5996";"Emballonura tiavato";"Paremballonura tiavato"
"5997";"Emballonura atrata";"Paremballonura atrata"
"5998";"Diclidurus isabellus";"Diclidurus isabella"
"5999";"Natalus lanatus";"Natalus mexicanus"
"6000";"Tadarida kuboriensis";"Austronomus kuboriensis"
"6001";"Tadarida jobimena";"Chaerephon jobimena"
"6002";"Mormopterus kitcheneri";"Ozimops kitcheneri"
"6003";"Mormopterus lumsdenae";"Ozimops lumsdenae"
"6004";"Mormopterus beccarii";"Ozimops lumsdenae"
"6005";"Mormopterus beccarii";"Ozimops beccarii"
"6006";"Mormopterus planiceps";"Ozimops planiceps"
"6007";"Mormopterus planiceps";"Ozimops kitcheneri"
"6008";"Mormopterus planiceps";"Ozimops ridei"
"6009";"Molossus barnesi";"Molossus coibensis"
"6010";"Mormopterus halli";"Ozimops halli"
"6011";"Mormopterus loriae";"Ozimops loriae"
"6012";"Mormopterus loriae";"Ozimops ridei"
"6013";"Mormopterus loriae";"Ozimops cobourgianus"
"6014";"Mormopterus norfolkensis";"Micronomus norfolkensis"
"6015";"Mormopterus eleryi";"Setirostris eleryi"
"6016";"Tadarida australis";"Austronomus australis"
"6017";"Rhogeessa gracilis";"Baeodon gracilis"
"6018";"Rhogeessa alleni";"Baeodon alleni"
"6019";"Pipistrellus macrotis";"Hypsugo macrotis"
"6020";"Pipistrellus subflavus";"Perimyotis subflavus"
"6021";"Pipistrellus vordermanni";"Hypsugo vordermanni"
"6022";"Pipistrellus musciculus";"Hypsugo musciculus"
"6023";"Pipistrellus deserti";"Pipistrellus kuhlii"
"6024";"Pipistrellus lophurus";"Hypsugo lophurus"
"6025";"Pipistrellus anthonyi";"Hypsugo anthonyi"
"6026";"Pipistrellus eisentrauti";"Hypsugo eisentrauti"
"6027";"Hypsugo anchietae";"Pipistrellus anchietae"
"6028";"Pipistrellus pulveratus";"Hypsugo pulveratus"
"6029";"Falsistrellus affinis";"Hypsugo affinis"
"6030";"Pipistrellus savii";"Hypsugo savii"
"6031";"Pipistrellus alaschanicus";"Hypsugo alaschanicus"
"6032";"Pipistrellus cadornae";"Hypsugo cadornae"
"6033";"Pipistrellus ariel";"Hypsugo ariel"
"6034";"Pipistrellus arabicus";"Hypsugo arabicus"
"6035";"Eptesicus nasutus";"Rhyneptesicus nasutus"
"6036";"Pipistrellus kitcheneri";"Hypsugo kitcheneri"
"6037";"Eptesicus lobatus";"Eptesicus serotinus"
"6038";"Pipistrellus joffrei";"Hypsugo joffrei"
"6039";"Arielulus aureocollaris";"Thainycteris aureocollaris"
"6040";"Murina tiensa";"Murina harrisoni"
"6041";"Myotis hajastanicus";"Myotis aurascens"
"6042";"Myotis flavus";"Myotis formosus"
"6043";"Canis anthus";"Canis lupaster"
"6044";"Pseudalopex sechurae";"Lycalopex sechurae"
"6045";"Pseudalopex vetulus";"Lycalopex vetulus"
"6046";"Pseudalopex fulvipes";"Lycalopex fulvipes"
"6047";"Pseudalopex gymnocercus";"Lycalopex gymnocercus"
"6048";"Pseudalopex griseus";"Lycalopex griseus"
"6049";"Pseudalopex culpaeus";"Lycalopex culpaeus"
"6050";"Ictonyx libyca";"Ictonyx libycus"
"6051";"Lutra maculicollis";"Hydrictis maculicollis"
"6052";"Aonyx cinerea";"Aonyx cinereus"
"6053";"Hyaena brunnea";"Parahyaena brunnea"
"6054";"Paradoxurus stenocephalus";"Paradoxurus zeylonensis"
"6055";"Lama glama";"Lama guanicoe"
"6056";"Camelus bactrianus";"Camelus ferus"
"6057";"Hippopotamus guldbergi";"Hippopotamus madagascariensis"
"6058";"Delphinus capensis";"Delphinus delphis"
"6059";"Capricornis thar";"Capricornis sumatraensis"
"6060";"Capricornis milneedwardsii";"Capricornis sumatraensis"
"6061";"Ovis orientalis";"Ovis gmelini"
"6062";"Ovis orientalis";"Ovis vignei"
"6063";"Galagoides demidovii";"Galagoides demidoff"
"6064";"Galagoides orinus";"Paragalago orinus"
"6065";"Galagoides nyasae";"Paragalago granti"
"6066";"Galagoides rondoensis";"Paragalago rondoensis"
"6067";"Galagoides granti";"Paragalago granti"
"6068";"Galagoides zanzibaricus";"Paragalago zanzibaricus"
"6069";"Galagoides cocos";"Paragalago cocos"
"6070";"Lepilemur mittermeieri";"Lepilemur dorsalis"
"6071";"Lepilemur ahmansonorum";"Lepilemur ahmansoni"
"6072";"Lepilemur sahamalazensis";"Lepilemur sahamalaza"
"6073";"Microcebus mittermeieri";"Microcebus lehilahytsara"
"6074";"Tarsius syrichta";"Carlito syrichta"
"6075";"Tarsius bancanus";"Cephalopachus bancanus"
"6076";"Callicebus medemi";"Cheracebus medemi"
"6077";"Callicebus modestus";"Plecturocebus modestus"
"6078";"Callicebus cupreus";"Plecturocebus ornatus"
"6079";"Callicebus cupreus";"Plecturocebus toppini"
"6080";"Callicebus cupreus";"Plecturocebus discolor"
"6081";"Callicebus oenanthe";"Plecturocebus oenanthe"
"6082";"Callicebus aureipalatii";"Plecturocebus aureipalatii"
"6083";"Callicebus moloch";"Plecturocebus toppini"
"6084";"Callicebus moloch";"Plecturocebus moloch"
"6085";"Callicebus hoffmannsi";"Plecturocebus hoffmannsi"
"6086";"Callicebus miltoni";"Plecturocebus miltoni"
"6087";"Callicebus regulus";"Cheracebus regulus"
"6088";"Callicebus donacophilus";"Plecturocebus donacophilus"
"6089";"Callicebus caligatus";"Plecturocebus caligatus"
"6090";"Callicebus olallae";"Plecturocebus olallae"
"6091";"Callicebus stephennashi";"Plecturocebus stephennashi"
"6092";"Callicebus lucifer";"Cheracebus lucifer"
"6093";"Callicebus caquetensis";"Plecturocebus caquetensis"
"6094";"Callicebus vieirai";"Plecturocebus vieirai"
"6095";"Callicebus dubius";"Plecturocebus dubius"
"6096";"Callicebus discolor";"Plecturocebus discolor"
"6097";"Callicebus bernhardi";"Plecturocebus bernhardi"
"6098";"Callicebus brunneus";"Plecturocebus brunneus"
"6099";"Callicebus pallescens";"Plecturocebus pallescens"
"6100";"Callicebus cinerascens";"Plecturocebus cinerascens"
"6101";"Callicebus ornatus";"Plecturocebus ornatus"
"6102";"Callicebus baptista";"Plecturocebus baptista"
"6103";"Callicebus lugens";"Cheracebus lugens"
"6104";"Callicebus torquatus";"Cheracebus torquatus"
"6105";"Callicebus torquatus";"Cheracebus lucifer"
"6106";"Callicebus torquatus";"Cheracebus medemi"
"6107";"Callicebus torquatus";"Cheracebus regulus"
"6108";"Mico manicorensis";"Mico marcai"
"6109";"Mico chrysoleucus";"Mico chrysoleucos"
"6110";"Sapajus macrocephalus";"Sapajus apella"
"6111";"Lagothrix cana";"Lagothrix lagothricha"
"6112";"Lagothrix lugens";"Lagothrix lagothricha"
"6113";"Lagothrix lagotricha";"Lagothrix lagothricha"
"6114";"Oreonax flavicauda";"Lagothrix flavicauda"
"6115";"Semnopithecus dussumieri";"Semnopithecus hypoleucos"
"6116";"Trachypithecus johnii";"Semnopithecus johnii"
"6117";"Trachypithecus vetulus";"Semnopithecus vetulus"
"6118";"Procolobus gordonorum";"Piliocolobus gordonorum"
"6119";"Procolobus kirkii";"Piliocolobus kirkii"
"6120";"Procolobus rufomitratus";"Piliocolobus foai"
"6121";"Procolobus rufomitratus";"Piliocolobus lulindicus"
"6122";"Procolobus rufomitratus";"Piliocolobus tholloni"
