"";"parsed";"iucn"
"1758";"Falco punctatus";"Falco punctatus"
"1759";"Falco araeus";"Falco araeus"
"1760";"Falco moluccensis";"Falco moluccensis"
"1761";"Falco cenchroides";"Falco cenchroides"
"1762";"Falco sparverius";"Falco sparverius"
"1763";"Falco rupicoloides";"Falco rupicoloides"
"1764";"Falco ardosiaceus";"Falco ardosiaceus"
"1765";"Falco dickinsoni";"Falco dickinsoni"
"1766";"Falco zoniventris";"Falco zoniventris"
"1767";"Falco longipennis";"Falco longipennis"
"1768";"Falco subniger";"Falco subniger"
"1769";"Falco mexicanus";"Falco mexicanus"
"1770";"Falco deiroleucus";"Falco deiroleucus"
"1771";"Rollandia rolland";"Rollandia rolland"
"1772";"Tachybaptus novaehollandiae";"Tachybaptus novaehollandiae"
"1773";"Tachybaptus rufolavatus";"Tachybaptus rufolavatus"
"1774";"Podilymbus gigas";"Podilymbus gigas"
"1775";"Poliocephalus poliocephalus";"Poliocephalus poliocephalus"
"1776";"Podiceps major";"Podiceps major"
"1777";"Podiceps andinus";"Podiceps andinus"
"1778";"Aechmophorus clarkii";"Aechmophorus clarkii"
"1779";"Anhinga anhinga";"Anhinga anhinga"
"1780";"Anhinga melanogaster";"Anhinga melanogaster"
"1781";"Anhinga novaehollandiae";"Anhinga novaehollandiae"
"1782";"Microcarbo africanus";"Microcarbo africanus"
"1783";"Microcarbo niger";"Microcarbo niger"
"1784";"Urile perspicillatus";"Urile perspicillatus"
"1785";"Phalacrocorax varius";"Phalacrocorax varius"
"1786";"Phalacrocorax sulcirostris";"Phalacrocorax sulcirostris"
"1787";"Syrigma sibilatrix";"Syrigma sibilatrix"
"1788";"Egretta vinaceigula";"Egretta vinaceigula"
"1789";"Egretta ardesiaca";"Egretta ardesiaca"
"1790";"Egretta tricolor";"Egretta tricolor"
"1791";"Egretta novaehollandiae";"Egretta novaehollandiae"
"1792";"Egretta thula";"Egretta thula"
"1793";"Egretta eulophotes";"Egretta eulophotes"
"1794";"Ardea pacifica";"Ardea pacifica"
"1795";"Ardea melanocephala";"Ardea melanocephala"
"1796";"Ardea humbloti";"Ardea humbloti"
"1797";"Ardea goliath";"Ardea goliath"
"1798";"Ardeola grayii";"Ardeola grayii"
"1799";"Ardeola bacchus";"Ardeola bacchus"
"1800";"Ardeola speciosa";"Ardeola speciosa"
"1801";"Ardeola rufiventris";"Ardeola rufiventris"
"1802";"Agamia agami";"Agamia agami"
"1803";"Nycticorax caledonicus";"Nycticorax caledonicus"
"1804";"Gorsachius melanolophus";"Gorsachius melanolophus"
"1805";"Tigrisoma lineatum";"Tigrisoma lineatum"
"1806";"Ixobrychus involucris";"Ixobrychus involucris"
"1807";"Ixobrychus sinensis";"Ixobrychus sinensis"
"1808";"Ixobrychus novaezelandiae";"Ixobrychus novaezelandiae"
"1809";"Ixobrychus exilis";"Ixobrychus exilis"
"1810";"Ixobrychus eurhythmus";"Ixobrychus eurhythmus"
"1811";"Ixobrychus cinnamomeus";"Ixobrychus cinnamomeus"
"1812";"Ixobrychus sturmii";"Ixobrychus sturmii"
"1813";"Ixobrychus flavicollis";"Ixobrychus flavicollis"
"1814";"Botaurus lentiginosus";"Botaurus lentiginosus"
"1815";"Botaurus poiciloptilus";"Botaurus poiciloptilus"
"1816";"Scopus umbretta";"Scopus umbretta"
"1817";"Phoenicoparrus jamesi";"Phoenicoparrus jamesi"
"1818";"Eudocimus ruber";"Eudocimus ruber"
"1819";"Phimosus infuscatus";"Phimosus infuscatus"
"1820";"Plegadis chihi";"Plegadis chihi"
"1821";"Plegadis ridgwayi";"Plegadis ridgwayi"
"1822";"Cercibis oxycerca";"Cercibis oxycerca"
"1823";"Theristicus caerulescens";"Theristicus caerulescens"
"1824";"Theristicus caudatus";"Theristicus caudatus"
"1825";"Bostrychia hagedash";"Bostrychia hagedash"
"1826";"Bostrychia carunculata";"Bostrychia carunculata"
"1827";"Bostrychia olivacea";"Bostrychia olivacea"
"1828";"Geronticus calvus";"Geronticus calvus"
"1829";"Lophotibis cristata";"Lophotibis cristata"
"1830";"Threskiornis melanocephalus";"Threskiornis melanocephalus"
"1831";"Threskiornis moluccus";"Threskiornis moluccus"
"1832";"Pseudibis papillosa";"Pseudibis papillosa"
"1833";"Platalea regia";"Platalea regia"
"1834";"Platalea alba";"Platalea alba"
"1835";"Platalea flavipes";"Platalea flavipes"
"1836";"Platalea ajaja";"Platalea ajaja"
"1837";"Pelecanus conspicillatus";"Pelecanus conspicillatus"
"1838";"Pelecanus erythrorhynchos";"Pelecanus erythrorhynchos"
"1839";"Coragyps atratus";"Coragyps atratus"
"1840";"Cathartes melambrotus";"Cathartes melambrotus"
"1841";"Sarcoramphus papa";"Sarcoramphus papa"
"1842";"Mycteria americana";"Mycteria americana"
"1843";"Mycteria cinerea";"Mycteria cinerea"
"1844";"Mycteria ibis";"Mycteria ibis"
"1845";"Mycteria leucocephala";"Mycteria leucocephala"
"1846";"Anastomus oscitans";"Anastomus oscitans"
"1847";"Ciconia abdimii";"Ciconia abdimii"
"1848";"Ciconia maguari";"Ciconia maguari"
"1849";"Ephippiorhynchus asiaticus";"Ephippiorhynchus asiaticus"
"1850";"Ephippiorhynchus senegalensis";"Ephippiorhynchus senegalensis"
"1851";"Leptoptilos crumenifer";"Leptoptilos crumenifer"
"1852";"Leptoptilos dubius";"Leptoptilos dubius"
"1853";"Xenicus longipes";"Xenicus longipes"
"1854";"Traversia lyalli";"Traversia lyalli"
"1855";"Hydrornis nipalensis";"Hydrornis nipalensis"
"1856";"Hydrornis soror";"Hydrornis soror"
"1857";"Hydrornis schneideri";"Hydrornis schneideri"
"1858";"Hydrornis cyaneus";"Hydrornis cyaneus"
"1859";"Hydrornis elliotii";"Hydrornis elliotii"
"1860";"Pitta sordida";"Pitta sordida"
"1861";"Pitta superba";"Pitta superba"
"1862";"Pitta steerii";"Pitta steerii"
"1863";"Erythropitta kochi";"Erythropitta kochi"
"1864";"Erythropitta erythrogaster";"Erythropitta erythrogaster"
"1865";"Erythropitta dohertyi";"Erythropitta dohertyi"
"1866";"Erythropitta venusta";"Erythropitta venusta"
"1867";"Pitta angolensis";"Pitta angolensis"
"1868";"Pitta brachyura";"Pitta brachyura"
"1869";"Pitta moluccensis";"Pitta moluccensis"
"1870";"Pitta megarhyncha";"Pitta megarhyncha"
"1871";"Pitta iris";"Pitta iris"
"1872";"Pitta anerythra";"Pitta anerythra"
"1873";"Smithornis sharpei";"Smithornis sharpei"
"1874";"Corydon sumatranus";"Corydon sumatranus"
"1875";"Eurylaimus harterti";"Eurylaimus harterti"
"1876";"Serilophus lunatus";"Serilophus lunatus"
"1877";"Psarisomus dalhousiae";"Psarisomus dalhousiae"
"1878";"Calyptomena viridis";"Calyptomena viridis"
"1879";"Philepitta schlegeli";"Philepitta schlegeli"
"1880";"Mionectes striaticollis";"Mionectes striaticollis"
"1881";"Mionectes macconnelli";"Mionectes macconnelli"
"1882";"Leptopogon taczanowskii";"Leptopogon taczanowskii"
"1883";"Pseudotriccus pelzelni";"Pseudotriccus pelzelni"
"1884";"Pseudotriccus simplex";"Pseudotriccus simplex"
"1885";"Pseudotriccus ruficeps";"Pseudotriccus ruficeps"
"1886";"Poecilotriccus ruficeps";"Poecilotriccus ruficeps"
"1887";"Poecilotriccus capitalis";"Poecilotriccus capitalis"
"1888";"Poecilotriccus albifacies";"Poecilotriccus albifacies"
"1889";"Hemitriccus josephinae";"Hemitriccus josephinae"
"1890";"Hemitriccus obsoletus";"Hemitriccus obsoletus"
"1891";"Hemitriccus orbitatus";"Hemitriccus orbitatus"
"1892";"Hemitriccus spodiops";"Hemitriccus spodiops"
"1893";"Hemitriccus furcatus";"Hemitriccus furcatus"
"1894";"Poecilotriccus senex";"Poecilotriccus senex"
"1895";"Poecilotriccus russatus";"Poecilotriccus russatus"
"1896";"Poecilotriccus plumbeiceps";"Poecilotriccus plumbeiceps"
"1897";"Poecilotriccus latirostris";"Poecilotriccus latirostris"
"1898";"Poecilotriccus fumifrons";"Poecilotriccus fumifrons"
"1899";"Todirostrum maculatum";"Todirostrum maculatum"
"1900";"Todirostrum poliocephalum";"Todirostrum poliocephalum"
"1901";"Todirostrum pictum";"Todirostrum pictum"
"1902";"Todirostrum chrysocrotaphum";"Todirostrum chrysocrotaphum"
"1903";"Poecilotriccus calopterus";"Poecilotriccus calopterus"
"1904";"Poecilotriccus pulchellus";"Poecilotriccus pulchellus"
"1905";"Corythopis torquatus";"Corythopis torquatus"
"1906";"Phyllomyias reiseri";"Phyllomyias reiseri"
"1907";"Phyllomyias virescens";"Phyllomyias virescens"
"1908";"Phyllomyias sclateri";"Phyllomyias sclateri"
"1909";"Phyllomyias griseocapilla";"Phyllomyias griseocapilla"
"1910";"Phyllomyias plumbeiceps";"Phyllomyias plumbeiceps"
"1911";"Phyllomyias nigrocapillus";"Phyllomyias nigrocapillus"
"1912";"Phyllomyias cinereiceps";"Phyllomyias cinereiceps"
"1913";"Phyllomyias uropygialis";"Phyllomyias uropygialis"
"1914";"Zimmerius bolivianus";"Zimmerius bolivianus"
"1915";"Zimmerius cinereicapilla";"Zimmerius cinereicapilla"
"1916";"Zimmerius viridiflavus";"Zimmerius viridiflavus"
"1917";"Ornithion inerme";"Ornithion inerme"
"1918";"Ornithion semiflavum";"Ornithion semiflavum"
"1919";"Ornithion brunneicapillus";"Ornithion brunneicapillus"
"1920";"Phaeomyias murina";"Phaeomyias murina"
"1921";"Sublegatus modestus";"Sublegatus modestus"
"1922";"Myiopagis gaimardii";"Myiopagis gaimardii"
"1923";"Myiopagis caniceps";"Myiopagis caniceps"
"1924";"Myiopagis subplacens";"Myiopagis subplacens"
"1925";"Myiopagis cotta";"Myiopagis cotta"
"1926";"Myiopagis viridicata";"Myiopagis viridicata"
"1927";"Pseudelaenia leucospodia";"Pseudelaenia leucospodia"
"1928";"Elaenia spectabilis";"Elaenia spectabilis"
"1929";"Elaenia ridleyana";"Elaenia ridleyana"
"1930";"Elaenia strepera";"Elaenia strepera"
"1931";"Elaenia gigas";"Elaenia gigas"
"1932";"Elaenia cristata";"Elaenia cristata"
"1933";"Elaenia chiriquensis";"Elaenia chiriquensis"
"1934";"Elaenia obscura";"Elaenia obscura"
"1935";"Elaenia dayi";"Elaenia dayi"
"1936";"Elaenia fallax";"Elaenia fallax"
"1937";"Mecocerculus leucophrys";"Mecocerculus leucophrys"
"1938";"Mecocerculus poecilocercus";"Mecocerculus poecilocercus"
"1939";"Mecocerculus hellmayri";"Mecocerculus hellmayri"
"1940";"Mecocerculus calopterus";"Mecocerculus calopterus"
"1941";"Mecocerculus minor";"Mecocerculus minor"
"1942";"Mecocerculus stictopterus";"Mecocerculus stictopterus"
"1943";"Serpophaga nigricans";"Serpophaga nigricans"
"1944";"Serpophaga subcristata";"Serpophaga subcristata"
"1945";"Inezia tenuirostris";"Inezia tenuirostris"
"1946";"Inezia inornata";"Inezia inornata"
"1947";"Stigmatura budytoides";"Stigmatura budytoides"
"1948";"Uromyias agilis";"Uromyias agilis"
"1949";"Uromyias agraphia";"Uromyias agraphia"
"1950";"Anairetes alpinus";"Anairetes alpinus"
"1951";"Anairetes nigrocristatus";"Anairetes nigrocristatus"
"1952";"Anairetes reguloides";"Anairetes reguloides"
"1953";"Anairetes flavirostris";"Anairetes flavirostris"
"1954";"Anairetes fernandezianus";"Anairetes fernandezianus"
"1955";"Anairetes parulus";"Anairetes parulus"
"1956";"Tachuris rubrigastra";"Tachuris rubrigastra"
"1957";"Polystictus superciliaris";"Polystictus superciliaris"
"1958";"Pseudocolopteryx sclateri";"Pseudocolopteryx sclateri"
"1959";"Pseudocolopteryx acutipennis";"Pseudocolopteryx acutipennis"
"1960";"Euscarthmus meloryphus";"Euscarthmus meloryphus"
"1961";"Pogonotriccus ophthalmicus";"Pogonotriccus ophthalmicus"
"1962";"Pogonotriccus lanyoni";"Pogonotriccus lanyoni"
"1963";"Pogonotriccus poecilotis";"Pogonotriccus poecilotis"
"1964";"Phylloscartes nigrifrons";"Phylloscartes nigrifrons"
"1965";"Pogonotriccus chapmani";"Pogonotriccus chapmani"
"1966";"Phylloscartes gualaquizae";"Phylloscartes gualaquizae"
"1967";"Phylloscartes flaviventris";"Phylloscartes flaviventris"
"1968";"Phylloscartes roquettei";"Phylloscartes roquettei"
"1969";"Phylloscartes paulista";"Phylloscartes paulista"
"1970";"Phylloscartes oustaleti";"Phylloscartes oustaleti"
"1971";"Phylloscartes virescens";"Phylloscartes virescens"
"1972";"Myiornis albiventris";"Myiornis albiventris"
"1973";"Myiornis auricularis";"Myiornis auricularis"
"1974";"Myiornis ecaudatus";"Myiornis ecaudatus"
"1975";"Lophotriccus vitiosus";"Lophotriccus vitiosus"
"1976";"Lophotriccus eulophotes";"Lophotriccus eulophotes"
"1977";"Cnipodectes subbrunneus";"Cnipodectes subbrunneus"
"1978";"Rhynchocyclus brevirostris";"Rhynchocyclus brevirostris"
"1979";"Rhynchocyclus fulvipectus";"Rhynchocyclus fulvipectus"
"1980";"Tolmomyias assimilis";"Tolmomyias assimilis"
"1981";"Tolmomyias poliocephalus";"Tolmomyias poliocephalus"
"1982";"Tolmomyias flaviventris";"Tolmomyias flaviventris"
"1983";"Platyrinchus saturatus";"Platyrinchus saturatus"
"1984";"Platyrinchus coronatus";"Platyrinchus coronatus"
"1985";"Platyrinchus platyrhynchos";"Platyrinchus platyrhynchos"
"1986";"Onychorhynchus occidentalis";"Onychorhynchus occidentalis"
"1987";"Myiotriccus ornatus";"Myiotriccus ornatus"
"1988";"Myiophobus flavicans";"Myiophobus flavicans"
"1989";"Myiophobus inornatus";"Myiophobus inornatus"
"1990";"Myiophobus roraimae";"Myiophobus roraimae"
"1991";"Nephelomyias pulcher";"Nephelomyias pulcher"
"1992";"Nephelomyias lintoni";"Nephelomyias lintoni"
"1993";"Nephelomyias ochraceiventris";"Nephelomyias ochraceiventris"
"1994";"Myiophobus fasciatus";"Myiophobus fasciatus"
"1995";"Myiophobus cryptoxanthus";"Myiophobus cryptoxanthus"
"1996";"Terenotriccus erythrurus";"Terenotriccus erythrurus"
"1997";"Myiobius villosus";"Myiobius villosus"
"1998";"Pyrrhomyias cinnamomeus";"Pyrrhomyias cinnamomeus"
"1999";"Lathrotriccus euleri";"Lathrotriccus euleri"
"2000";"Lathrotriccus griseipectus";"Lathrotriccus griseipectus"
"2001";"Aphanotriccus audax";"Aphanotriccus audax"
"2002";"Mitrephanes olivaceus";"Mitrephanes olivaceus"
"2003";"Contopus pertinax";"Contopus pertinax"
"2004";"Contopus fumigatus";"Contopus fumigatus"
"2005";"Contopus ochraceus";"Contopus ochraceus"
"2006";"Contopus cinereus";"Contopus cinereus"
"2007";"Contopus albogularis";"Contopus albogularis"
"2008";"Contopus caribaeus";"Contopus caribaeus"
"2009";"Empidonax affinis";"Empidonax affinis"
"2010";"Empidonax atriceps";"Empidonax atriceps"
"2011";"Silvicultrix frontalis";"Silvicultrix frontalis"
"2012";"Silvicultrix jelskii";"Silvicultrix jelskii"
"2013";"Silvicultrix diadema";"Silvicultrix diadema"
"2014";"Silvicultrix pulchella";"Silvicultrix pulchella"
"2015";"Ochthoeca cinnamomeiventris";"Ochthoeca cinnamomeiventris"
"2016";"Ochthoeca rufipectoralis";"Ochthoeca rufipectoralis"
"2017";"Ochthoeca oenanthoides";"Ochthoeca oenanthoides"
"2018";"Ochthoeca leucophrys";"Ochthoeca leucophrys"
"2019";"Colorhamphus parvirostris";"Colorhamphus parvirostris"
"2020";"Ochthornis littoralis";"Ochthornis littoralis"
"2021";"Myiotheretes striaticollis";"Myiotheretes striaticollis"
"2022";"Myiotheretes fumigatus";"Myiotheretes fumigatus"
"2023";"Myiotheretes fuscorufus";"Myiotheretes fuscorufus"
"2024";"Xolmis pyrope";"Xolmis pyrope"
"2025";"Xolmis cinereus";"Xolmis cinereus"
"2026";"Xolmis coronatus";"Xolmis coronatus"
"2027";"Xolmis velatus";"Xolmis velatus"
"2028";"Xolmis irupero";"Xolmis irupero"
"2029";"Xolmis rubetra";"Xolmis rubetra"
"2030";"Xolmis salinarum";"Xolmis salinarum"
"2031";"Neoxolmis rufiventris";"Neoxolmis rufiventris"
"2032";"Agriornis montanus";"Agriornis montanus"
"2033";"Agriornis lividus";"Agriornis lividus"
"2034";"Muscisaxicola maculirostris";"Muscisaxicola maculirostris"
"2035";"Muscisaxicola fluviatilis";"Muscisaxicola fluviatilis"
"2036";"Muscisaxicola maclovianus";"Muscisaxicola maclovianus"
"2037";"Muscisaxicola rufivertex";"Muscisaxicola rufivertex"
"2038";"Muscisaxicola juninensis";"Muscisaxicola juninensis"
"2039";"Muscisaxicola albilora";"Muscisaxicola albilora"
"2040";"Muscisaxicola cinereus";"Muscisaxicola cinereus"
"2041";"Muscisaxicola albifrons";"Muscisaxicola albifrons"
"2042";"Muscisaxicola flavinucha";"Muscisaxicola flavinucha"
"2043";"Muscigralla brevicauda";"Muscigralla brevicauda"
"2044";"Lessonia oreas";"Lessonia oreas"
"2045";"Lessonia rufa";"Lessonia rufa"
"2046";"Knipolegus striaticeps";"Knipolegus striaticeps"
"2047";"Knipolegus hudsoni";"Knipolegus hudsoni"
"2048";"Knipolegus poecilocercus";"Knipolegus poecilocercus"
"2049";"Knipolegus signatus";"Knipolegus signatus"
"2050";"Knipolegus lophotes";"Knipolegus lophotes"
"2051";"Hymenops perspicillatus";"Hymenops perspicillatus"
"2052";"Fluvicola albiventer";"Fluvicola albiventer"
"2053";"Arundinicola leucocephala";"Arundinicola leucocephala"
"2054";"Alectrurus risora";"Alectrurus risora"
"2055";"Gubernetes yetapa";"Gubernetes yetapa"
"2056";"Satrapa icterophrys";"Satrapa icterophrys"
"2057";"Muscipipra vetula";"Muscipipra vetula"
"2058";"Attila cinnamomeus";"Attila cinnamomeus"
"2059";"Attila torridus";"Attila torridus"
"2060";"Attila bolivianus";"Attila bolivianus"
"2061";"Casiornis rufus";"Casiornis rufus"
"2062";"Casiornis fuscus";"Casiornis fuscus"
"2063";"Rhytipterna holerythra";"Rhytipterna holerythra"
"2064";"Rhytipterna simplex";"Rhytipterna simplex"
"2065";"Rhytipterna immunda";"Rhytipterna immunda"
"2066";"Laniocera rufescens";"Laniocera rufescens"
"2067";"Sirystes sibilator";"Sirystes sibilator"
"2068";"Myiarchus yucatanensis";"Myiarchus yucatanensis"
"2069";"Myiarchus tuberculifer";"Myiarchus tuberculifer"
"2070";"Myiarchus barbirostris";"Myiarchus barbirostris"
"2071";"Myiarchus swainsoni";"Myiarchus swainsoni"
"2072";"Myiarchus venezuelensis";"Myiarchus venezuelensis"
"2073";"Myiarchus cephalotes";"Myiarchus cephalotes"
"2074";"Myiarchus phaeocephalus";"Myiarchus phaeocephalus"
"2075";"Myiarchus apicalis";"Myiarchus apicalis"
"2076";"Myiarchus tyrannulus";"Myiarchus tyrannulus"
"2077";"Myiarchus nugator";"Myiarchus nugator"
"2078";"Myiarchus magnirostris";"Myiarchus magnirostris"
"2079";"Myiarchus validus";"Myiarchus validus"
"2080";"Myiarchus sagrae";"Myiarchus sagrae"
"2081";"Myiarchus antillarum";"Myiarchus antillarum"
"2082";"Myiarchus oberi";"Myiarchus oberi"
"2083";"Ramphotrigon megacephalum";"Ramphotrigon megacephalum"
"2084";"Ramphotrigon fuscicauda";"Ramphotrigon fuscicauda"
"2085";"Tyrannus niveigularis";"Tyrannus niveigularis"
"2086";"Tyrannus albogularis";"Tyrannus albogularis"
"2087";"Tyrannus melancholicus";"Tyrannus melancholicus"
"2088";"Tyrannus couchii";"Tyrannus couchii"
"2089";"Tyrannus savana";"Tyrannus savana"
"2090";"Tyrannus caudifasciatus";"Tyrannus caudifasciatus"
"2091";"Griseotyrannus aurantioatrocristatus";"Griseotyrannus aurantioatrocristatus"
"2092";"Myiodynastes maculatus";"Myiodynastes maculatus"
"2093";"Myiozetetes similis";"Myiozetetes similis"
"2094";"Phelpsia inornata";"Phelpsia inornata"
"2095";"Xenopsaris albinucha";"Xenopsaris albinucha"
"2096";"Pachyramphus viridis";"Pachyramphus viridis"
"2097";"Pachyramphus castaneus";"Pachyramphus castaneus"
"2098";"Pachyramphus marginatus";"Pachyramphus marginatus"
"2099";"Pachyramphus surinamus";"Pachyramphus surinamus"
"2100";"Pachyramphus aglaiae";"Pachyramphus aglaiae"
"2101";"Pachyramphus minor";"Pachyramphus minor"
"2102";"Pachyramphus niger";"Pachyramphus niger"
"2103";"Tityra cayana";"Tityra cayana"
"2104";"Phoenicircus nigricollis";"Phoenicircus nigricollis"
"2105";"Phoenicircus carnifex";"Phoenicircus carnifex"
"2106";"Lipaugus conditus";"Lipaugus conditus"
"2107";"Carpornis cucullata";"Carpornis cucullata"
"2108";"Doliornis remseni";"Doliornis remseni"
"2109";"Ampelion rubrocristatus";"Ampelion rubrocristatus"
"2110";"Ampelion rufaxilla";"Ampelion rufaxilla"
"2111";"Phytotoma rutila";"Phytotoma rutila"
"2112";"Phytotoma rara";"Phytotoma rara"
"2113";"Zaratornis stresemanni";"Zaratornis stresemanni"
"2114";"Pipreola riefferii";"Pipreola riefferii"
"2115";"Pipreola intermedia";"Pipreola intermedia"
"2116";"Pipreola arcuata";"Pipreola arcuata"
"2117";"Pipreola pulchra";"Pipreola pulchra"
"2118";"Pipreola frontalis";"Pipreola frontalis"
"2119";"Pipreola formosa";"Pipreola formosa"
"2120";"Pipreola whitelyi";"Pipreola whitelyi"
"2121";"Iodopleura pipra";"Iodopleura pipra"
"2122";"Iodopleura fusca";"Iodopleura fusca"
"2123";"Snowornis cryptolophus";"Snowornis cryptolophus"
"2124";"Lipaugus vociferans";"Lipaugus vociferans"
"2125";"Lipaugus lanioides";"Lipaugus lanioides"
"2126";"Lipaugus streptophorus";"Lipaugus streptophorus"
"2127";"Porphyrolaema porphyrolaema";"Porphyrolaema porphyrolaema"
"2128";"Cotinga maynana";"Cotinga maynana"
"2129";"Conioptilon mcilhennyi";"Conioptilon mcilhennyi"
"2130";"Gymnoderus foetidus";"Gymnoderus foetidus"
"2131";"Pyroderus scutatus";"Pyroderus scutatus"
"2132";"Cephalopterus penduliger";"Cephalopterus penduliger"
"2133";"Cephalopterus ornatus";"Cephalopterus ornatus"
"2134";"Perissocephalus tricolor";"Perissocephalus tricolor"
"2135";"Procnias albus";"Procnias albus"
"2136";"Procnias averano";"Procnias averano"
"2137";"Rupicola rupicola";"Rupicola rupicola"
"2138";"Oxyruncus cristatus";"Oxyruncus cristatus"
"2139";"Pipra fasciicauda";"Pipra fasciicauda"
"2140";"Ceratopipra mentalis";"Ceratopipra mentalis"
"2141";"Ceratopipra erythrocephala";"Ceratopipra erythrocephala"
"2142";"Ceratopipra rubrocapilla";"Ceratopipra rubrocapilla"
"2143";"Pseudopipra pipra";"Pseudopipra pipra"
"2144";"Lepidothrix coronata";"Lepidothrix coronata"
"2145";"Lepidothrix serena";"Lepidothrix serena"
"2146";"Chiroxiphia linearis";"Chiroxiphia linearis"
"2147";"Chiroxiphia caudata";"Chiroxiphia caudata"
"2148";"Masius chrysopterus";"Masius chrysopterus"
"2149";"Ilicura militaris";"Ilicura militaris"
"2150";"Manacus manacus";"Manacus manacus"
"2151";"Chloropipo unicolor";"Chloropipo unicolor"
"2152";"Xenopipo uniformis";"Xenopipo uniformis"
"2153";"Chloropipo flavicapilla";"Chloropipo flavicapilla"
"2154";"Heterocercus flavivertex";"Heterocercus flavivertex"
"2155";"Neopelma chrysocephalum";"Neopelma chrysocephalum"
"2156";"Neopelma sulphureiventer";"Neopelma sulphureiventer"
"2157";"Tyranneutes stolzmanni";"Tyranneutes stolzmanni"
"2158";"Tyranneutes virescens";"Tyranneutes virescens"
"2159";"Cymbilaimus sanctaemariae";"Cymbilaimus sanctaemariae"
"2160";"Mackenziaena severa";"Mackenziaena severa"
"2161";"Mackenziaena leachii";"Mackenziaena leachii"
"2162";"Frederickena viridis";"Frederickena viridis"
"2163";"Sakesphorus canadensis";"Sakesphorus canadensis"
"2164";"Sakesphorus cristatus";"Sakesphorus cristatus"
"2165";"Thamnophilus bernardi";"Thamnophilus bernardi"
"2166";"Thamnophilus melanonotus";"Thamnophilus melanonotus"
"2167";"Thamnophilus melanothorax";"Thamnophilus melanothorax"
"2168";"Sakesphorus luctuosus";"Sakesphorus luctuosus"
"2169";"Thamnophilus zarumae";"Thamnophilus zarumae"
"2170";"Thamnophilus multistriatus";"Thamnophilus multistriatus"
"2171";"Thamnophilus bridgesi";"Thamnophilus bridgesi"
"2172";"Thamnophilus nigrocinereus";"Thamnophilus nigrocinereus"
"2173";"Thamnophilus cryptoleucus";"Thamnophilus cryptoleucus"
"2174";"Thamnophilus aethiops";"Thamnophilus aethiops"
"2175";"Thamnophilus unicolor";"Thamnophilus unicolor"
"2176";"Thamnophilus schistaceus";"Thamnophilus schistaceus"
"2177";"Thamnophilus murinus";"Thamnophilus murinus"
"2178";"Thamnophilus aroyae";"Thamnophilus aroyae"
"2179";"Thamnophilus punctatus";"Thamnophilus punctatus"
"2180";"Thamnophilus insignis";"Thamnophilus insignis"
"2181";"Thamnophilus amazonicus";"Thamnophilus amazonicus"
"2182";"Thamnophilus caerulescens";"Thamnophilus caerulescens"
"2183";"Thamnophilus torquatus";"Thamnophilus torquatus"
"2184";"Thamnophilus ruficapillus";"Thamnophilus ruficapillus"
"2185";"Pygiptila stellaris";"Pygiptila stellaris"
"2186";"Megastictus margaritatus";"Megastictus margaritatus"
"2187";"Neoctantes niger";"Neoctantes niger"
"2188";"Dysithamnus stictothorax";"Dysithamnus stictothorax"
"2189";"Dysithamnus striaticeps";"Dysithamnus striaticeps"
"2190";"Thamnomanes ardesiacus";"Thamnomanes ardesiacus"
"2191";"Thamnomanes caesius";"Thamnomanes caesius"
"2192";"Thamnomanes schistogynus";"Thamnomanes schistogynus"
"2193";"Myrmotherula sclateri";"Myrmotherula sclateri"
"2194";"Myrmotherula ambigua";"Myrmotherula ambigua"
"2195";"Myrmotherula surinamensis";"Myrmotherula surinamensis"
"2196";"Myrmotherula cherriei";"Myrmotherula cherriei"
"2197";"Myrmotherula longicauda";"Myrmotherula longicauda"
"2198";"Isleria hauxwelli";"Isleria hauxwelli"
"2199";"Isleria guttata";"Isleria guttata"
"2200";"Rhopias gularis";"Rhopias gularis"
"2201";"Epinecrophylla gutturalis";"Epinecrophylla gutturalis"
"2202";"Epinecrophylla haematonota";"Epinecrophylla haematonota"
"2203";"Epinecrophylla ornata";"Epinecrophylla ornata"
"2204";"Epinecrophylla erythrura";"Epinecrophylla erythrura"
"2205";"Myrmotherula axillaris";"Myrmotherula axillaris"
"2206";"Myrmotherula schisticolor";"Myrmotherula schisticolor"
"2207";"Myrmotherula longipennis";"Myrmotherula longipennis"
"2208";"Myrmotherula minor";"Myrmotherula minor"
"2209";"Myrmotherula iheringi";"Myrmotherula iheringi"
"2210";"Myrmotherula grisea";"Myrmotherula grisea"
"2211";"Myrmotherula unicolor";"Myrmotherula unicolor"
"2212";"Myrmotherula behni";"Myrmotherula behni"
"2213";"Myrmotherula urosticta";"Myrmotherula urosticta"
"2214";"Dichrozona cincta";"Dichrozona cincta"
"2215";"Myrmorchilus strigilatus";"Myrmorchilus strigilatus"
"2216";"Herpsilochmus motacilloides";"Herpsilochmus motacilloides"
"2217";"Herpsilochmus sellowi";"Herpsilochmus sellowi"
"2218";"Herpsilochmus stictocephalus";"Herpsilochmus stictocephalus"
"2219";"Herpsilochmus dorsimaculatus";"Herpsilochmus dorsimaculatus"
"2220";"Herpsilochmus roraimae";"Herpsilochmus roraimae"
"2221";"Herpsilochmus axillaris";"Herpsilochmus axillaris"
"2222";"Microrhopias quixensis";"Microrhopias quixensis"
"2223";"Formicivora iheringi";"Formicivora iheringi"
"2224";"Formicivora grisea";"Formicivora grisea"
