"";"parsed";"iucn"
"7351";"Oriolus sagittatus";"Oriolus sagittatus"
"7352";"Oriolus albiloris";"Oriolus albiloris"
"7353";"Oriolus auratus";"Oriolus auratus"
"7354";"Oriolus chinensis";"Oriolus chinensis"
"7355";"Oriolus tenuirostris";"Oriolus tenuirostris"
"7356";"Oriolus brachyrynchus";"Oriolus brachyrynchus"
"7357";"Oriolus nigripennis";"Oriolus nigripennis"
"7358";"Oriolus xanthornus";"Oriolus xanthornus"
"7359";"Oriolus traillii";"Oriolus traillii"
"7360";"Cyanocorax cyanomelas";"Cyanocorax cyanomelas"
"7361";"Cyanocorax chrysops";"Cyanocorax chrysops"
"7362";"Perisoreus canadensis";"Perisoreus canadensis"
"7363";"Urocissa caerulea";"Urocissa caerulea"
"7364";"Urocissa erythroryncha";"Urocissa erythroryncha"
"7365";"Cissa chinensis";"Cissa chinensis"
"7366";"Dendrocitta vagabunda";"Dendrocitta vagabunda"
"7367";"Dendrocitta frontalis";"Dendrocitta frontalis"
"7368";"Anthochaera carunculata";"Anthochaera carunculata"
"7369";"Crateroscelis nigrorufa";"Crateroscelis nigrorufa"
"7370";"Crateroscelis robusta";"Crateroscelis robusta"
"7371";"Sericornis spilodera";"Sericornis spilodera"
"7372";"Gerygone magnirostris";"Gerygone magnirostris"
"7373";"Gerygone dorsalis";"Gerygone dorsalis"
"7374";"Gerygone mouki";"Gerygone mouki"
"7375";"Hylophilus amaurocephalus";"Hylophilus amaurocephalus"
"7376";"Hylophilus poicilotis";"Hylophilus poicilotis"
"7377";"Hylophilus semicinereus";"Hylophilus semicinereus"
"7378";"Hylophilus pectoralis";"Hylophilus pectoralis"
"7379";"Vireo sclateri";"Vireo sclateri"
"7380";"Hylophilus brunneiceps";"Hylophilus brunneiceps"
"7381";"Pachysylvia hypoxantha";"Pachysylvia hypoxantha"
"7382";"Pachysylvia semibrunnea";"Pachysylvia semibrunnea"
"7383";"Pitohui dichrous";"Pitohui dichrous"
"7384";"Pseudorectes ferrugineus";"Pseudorectes ferrugineus"
"7385";"Ornorectes cristatus";"Ornorectes cristatus"
"7386";"Melanorectes nigrescens";"Melanorectes nigrescens"
"7387";"Corcorax melanorhamphos";"Corcorax melanorhamphos"
"7388";"Mohoua albicilla";"Mohoua albicilla"
"7389";"Pachycephala albiventris";"Pachycephala albiventris"
"7390";"Pachycephala hypoxantha";"Pachycephala hypoxantha"
"7391";"Pachycephala rufiventris";"Pachycephala rufiventris"
"7392";"Colluricincla tenebrosa";"Colluricincla tenebrosa"
"7393";"Colluricincla harmonica";"Colluricincla harmonica"
"7394";"Nucifraga columbiana";"Nucifraga columbiana"
"7395";"Corvus typicus";"Corvus typicus"
"7396";"Corvus mellori";"Corvus mellori"
"7397";"Cnemophilus loriae";"Cnemophilus loriae"
"7398";"Manucodia chalybatus";"Manucodia chalybatus"
"7399";"Manucodia jobiensis";"Manucodia jobiensis"
"7400";"Phonygammus keraudrenii";"Phonygammus keraudrenii"
