"";"parsed";"ebird_itis"
"2206";"Dendrocolaptes hoffmannsi";"Dendrocolaptes hoffmannsi"
"2207";"Xiphorhynchus fuscus";"Xiphorhynchus fuscus"
"2208";"Lepidocolaptes albolineatus";"Lepidocolaptes albolineatus"
"2209";"Campylorhamphus falcularius";"Campylorhamphus falcularius"
"2210";"Campylorhamphus procurvoides";"Campylorhamphus procurvoides"
"2211";"Formicarius colma";"Formicarius colma"
"2212";"Formicarius rufifrons";"Formicarius rufifrons"
"2213";"Chamaeza nobilis";"Chamaeza nobilis"
"2214";"Pittasoma rufopileatum";"Pittasoma rufopileatum"
"2215";"Grallaria squamigera";"Grallaria squamigera"
"2216";"Grallaria excelsa";"Grallaria excelsa"
"2217";"Grallaria kaestneri";"Grallaria kaestneri"
"2218";"Grallaria bangsi";"Grallaria bangsi"
"2219";"Grallaria ruficapilla";"Grallaria ruficapilla"
"2220";"Grallaria albigula";"Grallaria albigula"
"2221";"Grallaria hypoleuca";"Grallaria hypoleuca"
"2222";"Grallaria erythroleuca";"Grallaria erythroleuca"
"2223";"Grallaria griseonucha";"Grallaria griseonucha"
"2224";"Grallaria erythrotis";"Grallaria erythrotis"
"2225";"Grallaria quitensis";"Grallaria quitensis"
"2226";"Grallaria milleri";"Grallaria milleri"
"2227";"Hylopezus ochroleucus";"Hylopezus ochroleucus"
"2228";"Myrmothera simplex";"Myrmothera simplex"
"2229";"Grallaricula ferrugineipectus";"Grallaricula ferrugineipectus"
"2230";"Grallaricula peruviana";"Grallaricula peruviana"
"2231";"Conopophaga lineata";"Conopophaga lineata"
"2232";"Conopophaga aurita";"Conopophaga aurita"
"2233";"Conopophaga roberti";"Conopophaga roberti"
"2234";"Conopophaga peruviana";"Conopophaga peruviana"
"2235";"Conopophaga castaneiceps";"Conopophaga castaneiceps"
"2236";"Pteroptochos megapodius";"Pteroptochos megapodius"
"2237";"Scelorchilus albicollis";"Scelorchilus albicollis"
"2238";"Rhinocrypta lanceolata";"Rhinocrypta lanceolata"
"2239";"Teledromas fuscus";"Teledromas fuscus"
"2240";"Liosceles thoracicus";"Liosceles thoracicus"
"2241";"Melanopareia torquata";"Melanopareia torquata"
"2242";"Melanopareia maximiliani";"Melanopareia maximiliani"
"2243";"Melanopareia elegans";"Melanopareia elegans"
"2244";"Myornis senilis";"Myornis senilis"
"2245";"Scytalopus macropus";"Scytalopus macropus"
"2246";"Scytalopus femoralis";"Scytalopus femoralis"
"2247";"Scytalopus vicinior";"Scytalopus vicinior"
"2248";"Scytalopus argentifrons";"Scytalopus argentifrons"
"2249";"Scytalopus superciliaris";"Scytalopus superciliaris"
"2250";"Acropternis orthonyx";"Acropternis orthonyx"
"2251";"Cormobates placens";"Cormobates placens"
"2252";"Cormobates leucophaea";"Cormobates leucophaea"
"2253";"Climacteris affinis";"Climacteris affinis"
"2254";"Climacteris picumnus";"Climacteris picumnus"
"2255";"Ailuroedus crassirostris";"Ailuroedus crassirostris"
"2256";"Amblyornis macgregoriae";"Amblyornis macgregoriae"
"2257";"Amblyornis flavifrons";"Amblyornis flavifrons"
"2258";"Sericulus aureus";"Sericulus aureus"
"2259";"Sericulus chrysocephalus";"Sericulus chrysocephalus"
"2260";"Chlamydera guttata";"Chlamydera guttata"
"2261";"Chlamydera maculata";"Chlamydera maculata"
"2262";"Chlamydera lauterbachi";"Chlamydera lauterbachi"
"2263";"Chlamydera cerviniventris";"Chlamydera cerviniventris"
"2264";"Clytomyias insignis";"Clytomyias insignis"
"2265";"Sipodotus wallacii";"Sipodotus wallacii"
"2266";"Malurus alboscapulatus";"Malurus alboscapulatus"
"2267";"Malurus melanocephalus";"Malurus melanocephalus"
"2268";"Malurus leucopterus";"Malurus leucopterus"
"2269";"Malurus cyaneus";"Malurus cyaneus"
"2270";"Malurus splendens";"Malurus splendens"
"2271";"Malurus amabilis";"Malurus amabilis"
"2272";"Malurus coronatus";"Malurus coronatus"
"2273";"Stipiturus ruficeps";"Stipiturus ruficeps"
"2274";"Stipiturus malachurus";"Stipiturus malachurus"
"2275";"Amytornis barbatus";"Amytornis barbatus"
"2276";"Amytornis goyderi";"Amytornis goyderi"
"2277";"Myzomela pulchella";"Myzomela pulchella"
"2278";"Myzomela dammermani";"Myzomela dammermani"
"2279";"Myzomela erythrocephala";"Myzomela erythrocephala"
"2280";"Myzomela sanguinolenta";"Myzomela sanguinolenta"
"2281";"Myzomela rubratra";"Myzomela rubratra"
"2282";"Myzomela sclateri";"Myzomela sclateri"
"2283";"Myzomela pammelaena";"Myzomela pammelaena"
"2284";"Myzomela eichhorni";"Myzomela eichhorni"
"2285";"Myzomela malaitae";"Myzomela malaitae"
"2286";"Myzomela jugularis";"Myzomela jugularis"
"2287";"Myzomela rosenbergii";"Myzomela rosenbergii"
"2288";"Cissomela pectoralis";"Cissomela pectoralis"
"2289";"Sugomel nigrum";"Sugomel nigrum"
"2290";"Certhionyx variegatus";"Certhionyx variegatus"
"2291";"Lichmera argentauris";"Lichmera argentauris"
"2292";"Lichmera indistincta";"Lichmera indistincta"
"2293";"Lichmera alboauricularis";"Lichmera alboauricularis"
"2294";"Lichmera deningeri";"Lichmera deningeri"
"2295";"Lichmera notabilis";"Lichmera notabilis"
"2296";"Trichodere cockerelli";"Trichodere cockerelli"
"2297";"Microptilotis albonotatus";"Microptilotis albonotatus"
"2298";"Meliphaga notata";"Meliphaga notata"
"2299";"Guadalcanaria inexpectata";"Guadalcanaria inexpectata"
"2300";"Bolemoreus frenatus";"Bolemoreus frenatus"
"2301";"Gavicalis versicolor";"Gavicalis versicolor"
"2302";"Gavicalis virescens";"Gavicalis virescens"
"2303";"Stomiopera unicolor";"Stomiopera unicolor"
"2304";"Nesoptilotis leucotis";"Nesoptilotis leucotis"
"2305";"Nesoptilotis flavicollis";"Nesoptilotis flavicollis"
"2306";"Lichenostomus melanops";"Lichenostomus melanops"
"2307";"Lichenostomus cratitius";"Lichenostomus cratitius"
"2308";"Ptilotula keartlandi";"Ptilotula keartlandi"
"2309";"Ptilotula flavescens";"Ptilotula flavescens"
"2310";"Ptilotula plumula";"Ptilotula plumula"
"2311";"Ptilotula ornata";"Ptilotula ornata"
"2312";"Xanthotis macleayanus";"Xanthotis macleayanus"
"2313";"Apalopteron familiare";"Apalopteron familiare"
"2314";"Melithreptus lunatus";"Melithreptus lunatus"
"2315";"Melithreptus affinis";"Melithreptus affinis"
"2316";"Melithreptus albogularis";"Melithreptus albogularis"
"2317";"Pycnopygius stictocephalus";"Pycnopygius stictocephalus"
"2318";"Philemon citreogularis";"Philemon citreogularis"
"2319";"Philemon buceroides";"Philemon buceroides"
"2320";"Philemon albitorques";"Philemon albitorques"
"2321";"Philemon eichhorni";"Philemon eichhorni"
"2322";"Philemon corniculatus";"Philemon corniculatus"
"2323";"Melipotes fumigatus";"Melipotes fumigatus"
"2324";"Gymnomyza viridis";"Gymnomyza viridis"
"2325";"Gymnomyza samoensis";"Gymnomyza samoensis"
"2326";"Moho braccatus";"Moho braccatus"
"2327";"Moho bishopi";"Moho bishopi"
"2328";"Moho nobilis";"Moho nobilis"
"2329";"Chaetoptila angustipluma";"Chaetoptila angustipluma"
"2330";"Phylidonyris pyrrhopterus";"Phylidonyris pyrrhopterus"
"2331";"Phylidonyris novaehollandiae";"Phylidonyris novaehollandiae"
"2332";"Phylidonyris niger";"Phylidonyris niger"
"2333";"Purnella albifrons";"Purnella albifrons"
"2334";"Gliciphila melanops";"Gliciphila melanops"
"2335";"Ramsayornis fasciatus";"Ramsayornis fasciatus"
"2336";"Plectorhyncha lanceolata";"Plectorhyncha lanceolata"
"2337";"Conopophila rufogularis";"Conopophila rufogularis"
"2338";"Conopophila whitei";"Conopophila whitei"
"2339";"Acanthorhynchus tenuirostris";"Acanthorhynchus tenuirostris"
"2340";"Acanthorhynchus superciliosus";"Acanthorhynchus superciliosus"
"2341";"Entomyzon cyanotis";"Entomyzon cyanotis"
"2342";"Manorina melanophrys";"Manorina melanophrys"
"2343";"Manorina flavigula";"Manorina flavigula"
"2344";"Acanthagenys rufogularis";"Acanthagenys rufogularis"
"2345";"Anthochaera lunulata";"Anthochaera lunulata"
"2346";"Anthochaera paradoxa";"Anthochaera paradoxa"
"2347";"Epthianura aurifrons";"Epthianura aurifrons"
"2348";"Epthianura crocea";"Epthianura crocea"
"2349";"Epthianura albifrons";"Epthianura albifrons"
"2350";"Pardalotus punctatus";"Pardalotus punctatus"
"2351";"Pardalotus rubricatus";"Pardalotus rubricatus"
"2352";"Dasyornis broadbenti";"Dasyornis broadbenti"
"2353";"Origma solitaria";"Origma solitaria"
"2354";"Sericornis citreogularis";"Sericornis citreogularis"
"2355";"Sericornis frontalis";"Sericornis frontalis"
"2356";"Sericornis humilis";"Sericornis humilis"
"2357";"Sericornis beccarii";"Sericornis beccarii"
"2358";"Sericornis nouhuysi";"Sericornis nouhuysi"
"2359";"Sericornis magnirostra";"Sericornis magnirostra"
"2360";"Sericornis rufescens";"Sericornis rufescens"
"2361";"Pyrrholaemus brunneus";"Pyrrholaemus brunneus"
"2362";"Calamanthus fuliginosus";"Calamanthus fuliginosus"
"2363";"Acanthiza murina";"Acanthiza murina"
"2364";"Acanthiza pusilla";"Acanthiza pusilla"
"2365";"Acanthiza ewingii";"Acanthiza ewingii"
"2366";"Acanthiza reguloides";"Acanthiza reguloides"
