"";"parsed";"ebird_itis"
"7404";"Pseudoleistes virescens";"Pseudoleistes virescens"
"7405";"Lampropsar tanagrinus";"Lampropsar tanagrinus"
"7406";"Quiscalus mexicanus";"Quiscalus mexicanus"
"7407";"Quiscalus niger";"Quiscalus niger"
"7408";"Quiscalus lugubris";"Quiscalus lugubris"
"7409";"Molothrus rufoaxillaris";"Molothrus rufoaxillaris"
"7410";"Molothrus ater";"Molothrus ater"
"7411";"Leptodon forbesi";"Leptodon forbesi"
"7412";"Trichoglossus haematodus";"Trichoglossus haematodus"
"7413";"Streptopelia dusumieri";"Streptopelia dusumieri"
"7414";"Oxyura jamaicensis";"Oxyura jamaicensis"
"7415";"Rhea pennata";"Rhea pennata"
"7416";"Scytalopus spillmanni";"Scytalopus spillmanni"
"7417";"Vidua camerunensis";"Vidua camerunensis"
"7418";"Vidua nigeriae";"Vidua nigeriae"
"7419";"Thamnophilus divisorius";"Thamnophilus divisorius"
"7420";"Platycercus elegans";"Platycercus elegans"
"7421";"Sporophila telasco";"Sporophila telasco"
"7422";"Pyrrhura griseipectus";"Pyrrhura griseipectus"
"7423";"Phylloscopus ogilviegranti";"Phylloscopus ogilviegranti"
"7424";"Phylloscopus chloronotus";"Phylloscopus chloronotus"
"7425";"Trochalopteron imbricatum";"Trochalopteron imbricatum"
"7426";"Napothera albostriata";"Napothera albostriata"
"7427";"Stachyris roberti";"Stachyris roberti"
"7428";"Mixornis bornensis";"Mixornis bornensis"
"7429";"Loxigilla noctis";"Loxigilla noctis"
"7430";"Regulus regulus";"Regulus regulus"
"7431";"Trochalopteron lineatum";"Trochalopteron lineatum"
"7432";"Stachyris humei";"Stachyris humei"
"7433";"Napothera malacoptila";"Napothera malacoptila"
"7434";"Parmoptila rubrifrons";"Parmoptila rubrifrons"
"7435";"Sicalis luteola";"Sicalis luteola"
"7436";"Pomatorhinus horsfieldii";"Pomatorhinus horsfieldii"
"7437";"Ortygospiza atricollis";"Ortygospiza atricollis"
"7438";"Passer insularis";"Passer insularis"
"7439";"Passer shelleyi";"Passer shelleyi"
"7440";"Passer cordofanicus";"Passer cordofanicus"
"7441";"Microspingus cabanisi";"Microspingus cabanisi"
"7442";"Serinus canicollis";"Serinus canicollis"
"7443";"Paroaria nigrogenis";"Paroaria nigrogenis"
"7444";"Struthio camelus";"Struthio camelus"
"7445";"Myiopsitta monachus";"Myiopsitta monachus"
"7446";"Tyto novaehollandiae";"Tyto novaehollandiae"
"7447";"Psittacara holochlorus";"Psittacara holochlorus"
"7448";"Zimmerius chicomendesi";"Zimmerius chicomendesi"
"7449";"Symposiachrus verticalis";"Symposiachrus verticalis"
"7450";"Philesturnus rufusater";"Philesturnus rufusater"
"7451";"Stiphrornis erythrothorax";"Stiphrornis erythrothorax"
"7452";"Oenanthe oenanthe";"Oenanthe oenanthe"
"7453";"Psarocolius angustifrons";"Psarocolius angustifrons"
"7454";"Leptocoma sperata";"Leptocoma sperata"
"7455";"Pytilia lineata";"Pytilia lineata"
"7456";"Taeniopygia guttata";"Taeniopygia guttata"
"7457";"Passer italiae";"Passer italiae"
"7458";"Phyllastrephus debilis";"Phyllastrephus debilis"
"7459";"Zoothera salimalii";"Zoothera salimalii"
"7460";"Sitta europaea";"Sitta europaea"
"7461";"Sitta castanea";"Sitta castanea"
"7462";"Salpornis salvadori";"Salpornis salvadori"
"7463";"Troglodytes troglodytes";"Troglodytes troglodytes"
"7464";"Turdus mandarinus";"Turdus mandarinus"
"7465";"Turdus hauxwelli";"Turdus hauxwelli"
"7466";"Zosterops maderaspatanus";"Zosterops maderaspatanus"
"7467";"Turdus maximus";"Turdus maximus"
"7468";"Turdus ruficollis";"Turdus ruficollis"
"7469";"Prunella ocularis";"Prunella ocularis"
"7470";"Polioptila guianensis";"Polioptila guianensis"
"7471";"Bucorvus abyssinicus";"Bucorvus abyssinicus"
"7472";"Bycanistes fistulator";"Bycanistes fistulator"
"7473";"Dreptes thomensis";"Dreptes thomensis"
"7474";"Turdus olivaceofuscus";"Turdus olivaceofuscus"
"7475";"Rhabdotorrhinus corrugatus";"Rhabdotorrhinus corrugatus"
"7476";"Athene blewitti";"Athene blewitti"
"7477";"Puffinus bryani";"Puffinus bryani"
"7478";"Cyanoliseus patagonus";"Cyanoliseus patagonus"
"7479";"Melanitta nigra";"Melanitta nigra"
"7480";"Sterna dougallii";"Sterna dougallii"
"7481";"Prinia fluviatilis";"Prinia fluviatilis"
"7482";"Berenicornis comatus";"Berenicornis comatus"
"7483";"Anastomus lamelligerus";"Anastomus lamelligerus"
"7484";"Calidris canutus";"Calidris canutus"
"7485";"Anser erythropus";"Anser erythropus"
"7486";"Anser fabalis";"Anser fabalis"
"7487";"Anas zonorhyncha";"Anas zonorhyncha"
"7488";"Brachyramphus perdix";"Brachyramphus perdix"
"7489";"Rallus crepitans";"Rallus crepitans"
"7490";"Puffinus bailloni";"Puffinus bailloni"
"7491";"Mitu mitu";"Mitu mitu"
"7492";"Larus marinus";"Larus marinus"
"7493";"Anthracoceros malayanus";"Anthracoceros malayanus"
"7494";"Pterodroma sandwichensis";"Pterodroma sandwichensis"
"7495";"Rhyticeros undulatus";"Rhyticeros undulatus"
"7496";"Hydrobates castro";"Hydrobates castro"
"7497";"Hydrobates jabejabe";"Hydrobates jabejabe"
"7498";"Hydrobates leucorhous";"Hydrobates leucorhous"
"7499";"Carpococcyx renauldi";"Carpococcyx renauldi"
"7500";"Cinnyris talatala";"Cinnyris talatala"
"7501";"Hydrobates cheimomnestes";"Hydrobates cheimomnestes"
"7502";"Hydrobates socorroensis";"Hydrobates socorroensis"
"7503";"Puffinus myrtae";"Puffinus myrtae"
"7504";"Tachyeres leucocephalus";"Tachyeres leucocephalus"
"7505";"Tachyeres brachypterus";"Tachyeres brachypterus"
"7506";"Tachyeres patachonicus";"Tachyeres patachonicus"
"7507";"Aythya marila";"Aythya marila"
"7508";"Somateria mollissima";"Somateria mollissima"
"7509";"Somateria spectabilis";"Somateria spectabilis"
"7510";"Polysticta stelleri";"Polysticta stelleri"
"7511";"Histrionicus histrionicus";"Histrionicus histrionicus"
"7512";"Clangula hyemalis";"Clangula hyemalis"
"7513";"Melanitta perspicillata";"Melanitta perspicillata"
"7514";"Bucephala clangula";"Bucephala clangula"
"7515";"Phalaropus fulicarius";"Phalaropus fulicarius"
"7516";"Stercorarius pomarinus";"Stercorarius pomarinus"
"7517";"Stercorarius parasiticus";"Stercorarius parasiticus"
"7518";"Stercorarius longicaudus";"Stercorarius longicaudus"
"7519";"Larus pacificus";"Larus pacificus"
"7520";"Larus belcheri";"Larus belcheri"
"7521";"Larus atlanticus";"Larus atlanticus"
"7522";"Larus crassirostris";"Larus crassirostris"
"7523";"Larus delawarensis";"Larus delawarensis"
"7524";"Larus californicus";"Larus californicus"
"7525";"Larus dominicanus";"Larus dominicanus"
"7526";"Larus glaucescens";"Larus glaucescens"
"7527";"Larus occidentalis";"Larus occidentalis"
"7528";"Larus hyperboreus";"Larus hyperboreus"
"7529";"Larus schistisagus";"Larus schistisagus"
"7530";"Saundersilarus saundersi";"Saundersilarus saundersi"
"7531";"Hydrocoloeus minutus";"Hydrocoloeus minutus"
"7532";"Pagophila eburnea";"Pagophila eburnea"
"7533";"Creagrus furcatus";"Creagrus furcatus"
"7534";"Rissa brevirostris";"Rissa brevirostris"
"7535";"Thalasseus maximus";"Thalasseus maximus"
"7536";"Thalasseus bengalensis";"Thalasseus bengalensis"
"7537";"Thalasseus bergii";"Thalasseus bergii"
"7538";"Sterna sumatrana";"Sterna sumatrana"
"7539";"Sterna hirundinacea";"Sterna hirundinacea"
"7540";"Sterna virgata";"Sterna virgata"
"7541";"Sterna forsteri";"Sterna forsteri"
"7542";"Sterna trudeaui";"Sterna trudeaui"
"7543";"Sternula antillarum";"Sternula antillarum"
"7544";"Sternula nereis";"Sternula nereis"
"7545";"Onychoprion lunatus";"Onychoprion lunatus"
"7546";"Anous tenuirostris";"Anous tenuirostris"
"7547";"Gygis alba";"Gygis alba"
"7548";"Larosterna inca";"Larosterna inca"
"7549";"Uria aalge";"Uria aalge"
"7550";"Cepphus grylle";"Cepphus grylle"
"7551";"Cepphus columba";"Cepphus columba"
"7552";"Cepphus carbo";"Cepphus carbo"
"7553";"Brachyramphus brevirostris";"Brachyramphus brevirostris"
"7554";"Synthliboramphus antiquus";"Synthliboramphus antiquus"
"7555";"Synthliboramphus wumizusume";"Synthliboramphus wumizusume"
"7556";"Fratercula arctica";"Fratercula arctica"
"7557";"Podiceps grisegena";"Podiceps grisegena"
"7558";"Podiceps nigricollis";"Podiceps nigricollis"
"7559";"Morus bassanus";"Morus bassanus"
"7560";"Morus capensis";"Morus capensis"
"7561";"Morus serrator";"Morus serrator"
"7562";"Sula variegata";"Sula variegata"
"7563";"Sula leucogaster";"Sula leucogaster"
"7564";"Microcarbo melanoleucos";"Microcarbo melanoleucos"
"7565";"Phalacrocorax neglectus";"Phalacrocorax neglectus"
"7566";"Phalacrocorax fuscescens";"Phalacrocorax fuscescens"
"7567";"Phalacrocorax fuscicollis";"Phalacrocorax fuscicollis"
"7568";"Phalacrocorax capillatus";"Phalacrocorax capillatus"
"7569";"Phalacrocorax capensis";"Phalacrocorax capensis"
"7570";"Phalacrocorax punctatus";"Phalacrocorax punctatus"
"7571";"Phalacrocorax featherstoni";"Phalacrocorax featherstoni"
"7572";"Pelecanus thagus";"Pelecanus thagus"
"7573";"Fregata aquila";"Fregata aquila"
"7574";"Fregata ariel";"Fregata ariel"
"7575";"Eudyptes robustus";"Eudyptes robustus"
"7576";"Gavia arctica";"Gavia arctica"
"7577";"Gavia pacifica";"Gavia pacifica"
"7578";"Gavia immer";"Gavia immer"
"7579";"Gavia adamsii";"Gavia adamsii"
"7580";"Macronectes giganteus";"Macronectes giganteus"
"7581";"Macronectes halli";"Macronectes halli"
"7582";"Fulmarus glacialis";"Fulmarus glacialis"
"7583";"Fulmarus glacialoides";"Fulmarus glacialoides"
"7584";"Thalassoica antarctica";"Thalassoica antarctica"
"7585";"Daption capense";"Daption capense"
"7586";"Pagodroma nivea";"Pagodroma nivea"
"7587";"Aphrodroma brevirostris";"Aphrodroma brevirostris"
"7588";"Pseudobulweria aterrima";"Pseudobulweria aterrima"
"7589";"Pseudobulweria becki";"Pseudobulweria becki"
"7590";"Pseudobulweria rostrata";"Pseudobulweria rostrata"
"7591";"Pseudobulweria macgillivrayi";"Pseudobulweria macgillivrayi"
"7592";"Pterodroma axillaris";"Pterodroma axillaris"
"7593";"Pterodroma nigripennis";"Pterodroma nigripennis"
"7594";"Pterodroma cervicalis";"Pterodroma cervicalis"
"7595";"Pterodroma inexpectata";"Pterodroma inexpectata"
"7596";"Pterodroma hypoleuca";"Pterodroma hypoleuca"
"7597";"Pterodroma leucoptera";"Pterodroma leucoptera"
"7598";"Pterodroma cookii";"Pterodroma cookii"
"7599";"Pterodroma pycrofti";"Pterodroma pycrofti"
"7600";"Pterodroma brevipes";"Pterodroma brevipes"
"7601";"Pterodroma defilippiana";"Pterodroma defilippiana"
"7602";"Pterodroma arminjoniana";"Pterodroma arminjoniana"
"7603";"Pterodroma heraldica";"Pterodroma heraldica"
"7604";"Pterodroma phaeopygia";"Pterodroma phaeopygia"
"7605";"Pterodroma neglecta";"Pterodroma neglecta"
"7606";"Pterodroma externa";"Pterodroma externa"
"7607";"Pterodroma baraui";"Pterodroma baraui"
"7608";"Pterodroma lessonii";"Pterodroma lessonii"
"7609";"Pterodroma madeira";"Pterodroma madeira"
"7610";"Pterodroma mollis";"Pterodroma mollis"
"7611";"Pterodroma cahow";"Pterodroma cahow"
"7612";"Pterodroma hasitata";"Pterodroma hasitata"
"7613";"Pachyptila vittata";"Pachyptila vittata"
"7614";"Pachyptila desolata";"Pachyptila desolata"
"7615";"Pachyptila belcheri";"Pachyptila belcheri"
"7616";"Pachyptila turtur";"Pachyptila turtur"
"7617";"Pachyptila crassirostris";"Pachyptila crassirostris"
"7618";"Bulweria bulwerii";"Bulweria bulwerii"
"7619";"Bulweria fallax";"Bulweria fallax"
"7620";"Procellaria aequinoctialis";"Procellaria aequinoctialis"
"7621";"Procellaria parkinsoni";"Procellaria parkinsoni"
"7622";"Procellaria westlandica";"Procellaria westlandica"
"7623";"Calonectris leucomelas";"Calonectris leucomelas"
"7624";"Ardenna pacifica";"Ardenna pacifica"
"7625";"Ardenna bulleri";"Ardenna bulleri"
"7626";"Ardenna creatopus";"Ardenna creatopus"
"7627";"Ardenna tenuirostris";"Ardenna tenuirostris"
"7628";"Puffinus nativitatis";"Puffinus nativitatis"
"7629";"Puffinus puffinus";"Puffinus puffinus"
"7630";"Puffinus yelkouan";"Puffinus yelkouan"
"7631";"Puffinus auricularis";"Puffinus auricularis"
"7632";"Puffinus gavia";"Puffinus gavia"
"7633";"Puffinus bannermani";"Puffinus bannermani"
"7634";"Puffinus heinrothi";"Puffinus heinrothi"
"7635";"Pelecanoides magellani";"Pelecanoides magellani"
"7636";"Pelecanoides urinatrix";"Pelecanoides urinatrix"
"7637";"Diomedea exulans";"Diomedea exulans"
"7638";"Diomedea epomophora";"Diomedea epomophora"
"7639";"Phoebastria irrorata";"Phoebastria irrorata"
"7640";"Phoebastria albatrus";"Phoebastria albatrus"
"7641";"Phoebastria immutabilis";"Phoebastria immutabilis"
"7642";"Thalassarche melanophris";"Thalassarche melanophris"
"7643";"Thalassarche salvini";"Thalassarche salvini"
"7644";"Thalassarche eremita";"Thalassarche eremita"
"7645";"Thalassarche chrysostoma";"Thalassarche chrysostoma"
"7646";"Thalassarche chlororhynchos";"Thalassarche chlororhynchos"
"7647";"Phoebetria fusca";"Phoebetria fusca"
"7648";"Oceanites oceanicus";"Oceanites oceanicus"
"7649";"Oceanites gracilis";"Oceanites gracilis"
"7650";"Phoebetria palpebrata";"Phoebetria palpebrata"
"7651";"Pelagodroma marina";"Pelagodroma marina"
"7652";"Fregetta tropica";"Fregetta tropica"
"7653";"Fregetta grallaria";"Fregetta grallaria"
"7654";"Nesofregetta fuliginosa";"Nesofregetta fuliginosa"
"7655";"Hydrobates pelagicus";"Hydrobates pelagicus"
"7656";"Hydrobates microsoma";"Hydrobates microsoma"
"7657";"Hydrobates tethys";"Hydrobates tethys"
"7658";"Hydrobates monorhis";"Hydrobates monorhis"
"7659";"Hydrobates matsudairae";"Hydrobates matsudairae"
"7660";"Hydrobates homochroa";"Hydrobates homochroa"
"7661";"Melanitta stejnegeri";"Melanitta stejnegeri"
"7662";"Pterodroma feae";"Pterodroma feae"
"7663";"Thalassarche bulleri";"Thalassarche bulleri"
"7664";"Puffinus mauretanicus";"Puffinus mauretanicus"
"7665";"Procellaria conspicillata";"Procellaria conspicillata"
"7666";"Pterodroma atrata";"Pterodroma atrata"
"7667";"Fregetta maoriana";"Fregetta maoriana"
"7668";"Garrodia nereis";"Garrodia nereis"
"7669";"Calonectris edwardsii";"Calonectris edwardsii"
"7670";"Pelecanus occidentalis";"Pelecanus occidentalis"
"7671";"Melanitta deglandi";"Melanitta deglandi"
"7672";"Hydrobates monteiroi";"Hydrobates monteiroi"
"7673";"Larus cachinnans";"Larus cachinnans"
"7674";"Sula dactylatra";"Sula dactylatra"
"7675";"Pterodroma macroptera";"Pterodroma macroptera"
"7676";"Pterodroma gouldi";"Pterodroma gouldi"
"7677";"Calonectris diomedea";"Calonectris diomedea"
"7678";"Oceanites pincoyae";"Oceanites pincoyae"
"7679";"Puffinus assimilis";"Puffinus assimilis"
"7680";"Puffinus lherminieri";"Puffinus lherminieri"
"7681";"Puffinus elegans";"Puffinus elegans"
"7682";"Synthliboramphus hypoleucus";"Synthliboramphus hypoleucus"
"7683";"Pachyptila salvini";"Pachyptila salvini"
"7684";"Tachyeres pteneres";"Tachyeres pteneres"
"7685";"Streptopelia roseogrisea";"Streptopelia roseogrisea"
"7686";"Nesophlox evelynae";"Nesophlox evelynae"
"7687";"Nesophlox lyrura";"Nesophlox lyrura"
"7688";"Anous ceruleus";"Anous ceruleus"
"7689";"Urile urile";"Urile urile"
"7690";"Gulosus aristotelis";"Gulosus aristotelis"
"7691";"Nannopterum harrisi";"Nannopterum harrisi"
"7692";"Leucocarbo atriceps";"Leucocarbo atriceps"
"7693";"Leucocarbo verrucosus";"Leucocarbo verrucosus"
"7694";"Leucocarbo carunculatus";"Leucocarbo carunculatus"
"7695";"Leucocarbo chalconotus";"Leucocarbo chalconotus"
"7696";"Leucocarbo colensoi";"Leucocarbo colensoi"
"7697";"Leucocarbo campbelli";"Leucocarbo campbelli"
"7698";"Leucocarbo ranfurlyi";"Leucocarbo ranfurlyi"
"7699";"Leucocarbo magellanicus";"Leucocarbo magellanicus"
"7700";"Poikilocarbo gaimardi";"Poikilocarbo gaimardi"
"7701";"Urile penicillatus";"Urile penicillatus"
"7702";"Balaeniceps rex";"Balaeniceps rex"
"7703";"Leucogeranus leucogeranus";"Leucogeranus leucogeranus"
"7704";"Ardeotis nigriceps";"Ardeotis nigriceps"
"7705";"Pseudibis davisoni";"Pseudibis davisoni"
"7706";"Otus siaoensis";"Otus siaoensis"
"7707";"Ardea insignis";"Ardea insignis"
"7708";"Oriolus isabellae";"Oriolus isabellae"
"7709";"Eutrichomyias rowleyi";"Eutrichomyias rowleyi"
"7710";"Zosterops nehrkorni";"Zosterops nehrkorni"
"7711";"Gracula indica";"Gracula indica"
"7712";"Gracula religiosa";"Gracula religiosa"
"7713";"Diglossa venezuelensis";"Diglossa venezuelensis"
"7714";"Tinamus tao";"Tinamus tao"
"7715";"Tinamus solitarius";"Tinamus solitarius"
"7716";"Psarocolius guatimozinus";"Psarocolius guatimozinus"
"7717";"Tinamus osgoodi";"Tinamus osgoodi"
"7718";"Penelope barbata";"Penelope barbata"
"7719";"Tinamus guttatus";"Tinamus guttatus"
"7720";"Penelope ortoni";"Penelope ortoni"
"7721";"Arborophila davidi";"Arborophila davidi"
"7722";"Lophura swinhoii";"Lophura swinhoii"
"7723";"Odontophorus hyperythrus";"Odontophorus hyperythrus"
"7724";"Cyanocompsa parellina";"Cyanocompsa parellina"
"7725";"Pheucticus tibialis";"Pheucticus tibialis"
"7726";"Caryothraustes poliogaster";"Caryothraustes poliogaster"
"7727";"Icterus parisorum";"Icterus parisorum"
"7728";"Icterus gularis";"Icterus gularis"
"7729";"Icterus maculialatus";"Icterus maculialatus"
"7730";"Icterus auricapillus";"Icterus auricapillus"
"7731";"Icterus mesomelas";"Icterus mesomelas"
"7732";"Icterus pustulatus";"Icterus pustulatus"
"7733";"Quiscalus nicaraguensis";"Quiscalus nicaraguensis"
"7734";"Dives dives";"Dives dives"
"7735";"Passerina leclancherii";"Passerina leclancherii"
"7736";"Granatellus sallaei";"Granatellus sallaei"
"7737";"Psarocolius wagleri";"Psarocolius wagleri"
"7738";"Amblycercus holosericeus";"Amblycercus holosericeus"
"7739";"Icterus chrysater";"Icterus chrysater"
"7740";"Habia fuscicauda";"Habia fuscicauda"
"7741";"Piranga erythrocephala";"Piranga erythrocephala"
"7742";"Piranga roseogularis";"Piranga roseogularis"
"7743";"Chlorospingus pileatus";"Chlorospingus pileatus"
"7744";"Junco phaeonotus";"Junco phaeonotus"
"7745";"Junco vulcani";"Junco vulcani"
"7746";"Zonotrichia atricapilla";"Zonotrichia atricapilla"
"7747";"Zonotrichia leucophrys";"Zonotrichia leucophrys"
"7748";"Melospiza lincolnii";"Melospiza lincolnii"
"7749";"Nothocercus bonapartei";"Nothocercus bonapartei"
"7750";"Crypturellus soui";"Crypturellus soui"
"7751";"Melospiza melodia";"Melospiza melodia"
"7752";"Crypturellus boucardi";"Crypturellus boucardi"
"7753";"Artemisiospiza belli";"Artemisiospiza belli"
"7754";"Artemisiospiza nevadensis";"Artemisiospiza nevadensis"
"7755";"Anser rossii";"Anser rossii"
"7756";"Crypturellus transfasciatus";"Crypturellus transfasciatus"
"7757";"Chondestes grammacus";"Chondestes grammacus"
"7758";"Pooecetes gramineus";"Pooecetes gramineus"
"7759";"Spizella atrogularis";"Spizella atrogularis"
"7760";"Spizella pusilla";"Spizella pusilla"
"7761";"Spizella pallida";"Spizella pallida"
"7762";"Peucaea cassinii";"Peucaea cassinii"
"7763";"Peucaea mystacalis";"Peucaea mystacalis"
"7764";"Peucaea humeralis";"Peucaea humeralis"
"7765";"Peucaea ruficauda";"Peucaea ruficauda"
"7766";"Peucaea carpalis";"Peucaea carpalis"
"7767";"Melozone aberti";"Melozone aberti"
"7768";"Melozone albicollis";"Melozone albicollis"
"7769";"Melozone kieneri";"Melozone kieneri"
"7770";"Melozone biarcuata";"Melozone biarcuata"
"7771";"Aimophila notosticta";"Aimophila notosticta"
"7772";"Aimophila rufescens";"Aimophila rufescens"
"7773";"Pipilo erythrophthalmus";"Pipilo erythrophthalmus"
"7774";"Pipilo chlorurus";"Pipilo chlorurus"
"7775";"Pipilo ocai";"Pipilo ocai"
"7776";"Atlapetes pileatus";"Atlapetes pileatus"
"7777";"Arremon costaricensis";"Arremon costaricensis"
"7778";"Arremon virenticeps";"Arremon virenticeps"
"7779";"Arremon crassirostris";"Arremon crassirostris"
"7780";"Cygnus buccinator";"Cygnus buccinator"
"7781";"Aix sponsa";"Aix sponsa"
"7782";"Crax daubentoni";"Crax daubentoni"
"7783";"Mareca americana";"Mareca americana"
"7784";"Anas rubripes";"Anas rubripes"
"7785";"Arremon aurantiirostris";"Arremon aurantiirostris"
"7786";"Pezopetes capitalis";"Pezopetes capitalis"
"7787";"Ortalis leucogastra";"Ortalis leucogastra"
"7788";"Ortalis cinereiceps";"Ortalis cinereiceps"
"7789";"Ortalis wagleri";"Ortalis wagleri"
"7790";"Spindalis zena";"Spindalis zena"
"7791";"Mitrospingus cassinii";"Mitrospingus cassinii"
"7792";"Ortalis poliocephala";"Ortalis poliocephala"
"7793";"Saltator grossus";"Saltator grossus"
"7794";"Saltator maximus";"Saltator maximus"
"7795";"Saltator atriceps";"Saltator atriceps"
"7796";"Sporophila minuta";"Sporophila minuta"
"7797";"Sporophila torqueola";"Sporophila torqueola"
"7798";"Sporophila nuttingi";"Sporophila nuttingi"
"7799";"Sporophila crassirostris";"Sporophila crassirostris"
"7800";"Sporophila funerea";"Sporophila funerea"
"7801";"Coereba flaveola";"Coereba flaveola"
"7802";"Dacnis cayana";"Dacnis cayana"
"7803";"Dacnis venusta";"Dacnis venusta"
"7804";"Cyanerpes caeruleus";"Cyanerpes caeruleus"
"7805";"Lanio leucothorax";"Lanio leucothorax"
"7806";"Heterospingus xanthopygius";"Heterospingus xanthopygius"
"7807";"Chrysothlypis chrysomelas";"Chrysothlypis chrysomelas"
"7808";"Chlorophanes spiza";"Chlorophanes spiza"
"7809";"Diglossa plumbea";"Diglossa plumbea"
"7810";"Acanthidops bairdi";"Acanthidops bairdi"
"7811";"Conirostrum leucogenys";"Conirostrum leucogenys"
"7812";"Tangara inornata";"Tangara inornata"
"7813";"Tangara dowii";"Tangara dowii"
"7814";"Myioborus torquatus";"Myioborus torquatus"
"7815";"Myioborus pictus";"Myioborus pictus"
"7816";"Cardellina rubra";"Cardellina rubra"
"7817";"Cardellina pusilla";"Cardellina pusilla"
"7818";"Cardellina canadensis";"Cardellina canadensis"
"7819";"Basileuterus belli";"Basileuterus belli"
"7820";"Basileuterus melanogenys";"Basileuterus melanogenys"
"7821";"Basileuterus lachrymosus";"Basileuterus lachrymosus"
"7822";"Myiothlypis fulvicauda";"Myiothlypis fulvicauda"
"7823";"Setophaga townsendi";"Setophaga townsendi"
"7824";"Setophaga nigrescens";"Setophaga nigrescens"
"7825";"Setophaga graciae";"Setophaga graciae"
"7826";"Setophaga discolor";"Setophaga discolor"
"7827";"Setophaga pinus";"Setophaga pinus"
"7828";"Setophaga pensylvanica";"Setophaga pensylvanica"
"7829";"Setophaga petechia";"Setophaga petechia"
"7830";"Setophaga fusca";"Setophaga fusca"
"7831";"Setophaga magnolia";"Setophaga magnolia"
"7832";"Setophaga tigrina";"Setophaga tigrina"
"7833";"Setophaga ruticilla";"Setophaga ruticilla"
"7834";"Setophaga citrina";"Setophaga citrina"
"7835";"Geothlypis nelsoni";"Geothlypis nelsoni"
"7836";"Geothlypis trichas";"Geothlypis trichas"
"7837";"Geothlypis formosa";"Geothlypis formosa"
"7838";"Geothlypis philadelphia";"Geothlypis philadelphia"
"7839";"Geothlypis poliocephala";"Geothlypis poliocephala"
"7840";"Oporornis agilis";"Oporornis agilis"
"7841";"Leiothlypis virginiae";"Leiothlypis virginiae"
"7842";"Leiothlypis ruficapilla";"Leiothlypis ruficapilla"
"7843";"Leiothlypis luciae";"Leiothlypis luciae"
"7844";"Leiothlypis celata";"Leiothlypis celata"
"7845";"Leiothlypis peregrina";"Leiothlypis peregrina"
"7846";"Oreothlypis gutturalis";"Oreothlypis gutturalis"
"7847";"Oreothlypis superciliosa";"Oreothlypis superciliosa"
"7848";"Protonotaria citrea";"Protonotaria citrea"
"7849";"Mniotilta varia";"Mniotilta varia"
"7850";"Parkesia noveboracensis";"Parkesia noveboracensis"
"7851";"Parkesia motacilla";"Parkesia motacilla"
"7852";"Helmitheros vermivorum";"Helmitheros vermivorum"
"7853";"Plectrophenax hyperboreus";"Plectrophenax hyperboreus"
"7854";"Rhynchophanes mccownii";"Rhynchophanes mccownii"
"7855";"Calcarius pictus";"Calcarius pictus"
"7856";"Spinus atriceps";"Spinus atriceps"
"7857";"Chlorophonia callophrys";"Chlorophonia callophrys"
"7858";"Chlorophonia occipitalis";"Chlorophonia occipitalis"
"7859";"Euphonia xanthogaster";"Euphonia xanthogaster"
"7860";"Euphonia anneae";"Euphonia anneae"
"7861";"Euphonia gouldi";"Euphonia gouldi"
"7862";"Euphonia imitans";"Euphonia imitans"
"7863";"Euphonia fulvicrissa";"Euphonia fulvicrissa"
"7864";"Euphonia luteicapilla";"Euphonia luteicapilla"
"7865";"Euphonia affinis";"Euphonia affinis"
"7866";"Anthus cervinus";"Anthus cervinus"
"7867";"Motacilla alba";"Motacilla alba"
"7868";"Peucedramus taeniatus";"Peucedramus taeniatus"
"7869";"Phainopepla nitens";"Phainopepla nitens"
"7870";"Ptiliogonys caudatus";"Ptiliogonys caudatus"
"7871";"Ptiliogonys cinereus";"Ptiliogonys cinereus"
"7872";"Glaucis dohrnii";"Glaucis dohrnii"
"7873";"Phainoptila melanoxantha";"Phainoptila melanoxantha"
"7874";"Bombycilla cedrorum";"Bombycilla cedrorum"
"7875";"Sturnus vulgaris";"Sturnus vulgaris"
"7876";"Toxostoma ocellatum";"Toxostoma ocellatum"
"7877";"Ridgwayia pinicola";"Ridgwayia pinicola"
"7878";"Ixoreus naevius";"Ixoreus naevius"
"7879";"Turdus rufopalliatus";"Turdus rufopalliatus"
"7880";"Turdus obsoletus";"Turdus obsoletus"
"7881";"Turdus nigrescens";"Turdus nigrescens"
"7882";"Catharus guttatus";"Catharus guttatus"
"7883";"Catharus minimus";"Catharus minimus"
"7884";"Myadestes coloratus";"Myadestes coloratus"
"7885";"Myadestes occidentalis";"Myadestes occidentalis"
"7886";"Sialia currucoides";"Sialia currucoides"
"7887";"Sialia mexicana";"Sialia mexicana"
"7888";"Donacobius atricapilla";"Donacobius atricapilla"
"7889";"Synallaxis cinerea";"Synallaxis cinerea"
"7890";"Chamaea fasciata";"Chamaea fasciata"
"7891";"Cinclus mexicanus";"Cinclus mexicanus"
"7892";"Cantorchilus nigricapillus";"Cantorchilus nigricapillus"
"7893";"Cantorchilus zeledoni";"Cantorchilus zeledoni"
"7894";"Cantorchilus leucopogon";"Cantorchilus leucopogon"
"7895";"Thryophilus pleurostictus";"Thryophilus pleurostictus"
"7896";"Thryophilus sinaloa";"Thryophilus sinaloa"
"7897";"Pheugopedius rutilus";"Pheugopedius rutilus"
