"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Rupicapra rupicapra";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Rusa unicolor";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Sciurus carolinensis";"Animalia";"Chordata";"Mammalia";"Rodentia";"Sciuridae";"Terrestrial";
"Streptopelia decaocto";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Terrestrial";
"Sturnus vulgaris";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Suncus murinus";"Animalia";"Chordata";"Mammalia";"Insectivora";"Soricidae";"Terrestrial";
"Sus scrofa";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Suidae";"Terrestrial";
"Tamias sibiricus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Sciuridae";"Terrestrial";
"Tenrec ecaudatus";"Animalia";"Chordata";"Mammalia";"Afrosoricida";"Tenrecidae";"Terrestrial";
"Trichosurus vulpecula";"Animalia";"Chordata";"Mammalia";"Marsupialia";"Phalangeridae";"Terrestrial";
"Viverricula indica";"Animalia";"Chordata";"Mammalia";"Carnivora";"Viverridae";"Terrestrial";
"Vulpes chama";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Vulpes vulpes";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Zosterops japonicus";"Animalia";"Chordata";"Aves";"Passeriformes";"Zosteropidae";"Terrestrial";
