"";"ED_median";"ES_median"
"Guttera_pucherani";11,3542419805843;11,7483025868329
"Acryllium_vulturinum";13,9765071151948;26,9696317529062
"Odontophorus_balliviani";9,05216514855891;10,0368394888504
"Odontophorus_guttatus";7,9456777209852;6,99123966922197
"Odontophorus_erythrops";8,30658079795247;7,45764470635308
"Odontophorus_gujanensis";9,2319003241176;9,59493236998591
"Odontophorus_leucolaemus";6,40781163609254;6,1099271170477
"Odontophorus_columbianus";6,47227671687543;5,64546932437638
"Odontophorus_stellatus";6,1449944591139;4,99446984223605
"Odontophorus_hyperythrus";6,55676628665324;6,06028454120015
"Odontophorus_melanotis";7,75317158644173;8,10986402162356
"Odontophorus_capueira";5,92200204362497;5,39553125300339
"Odontophorus_dialeucos";5,84607538904512;4,99093687973595
"Odontophorus_melanonotus";5,85068203305731;4,97079687285088
"Odontophorus_atrifrons";7,48844422888044;7,13670782345175
"Odontophorus_speciosus";6,37952148417145;5,74660770728543
"Odontophorus_strophium";6,37364924608508;5,90099464872841
"Cyrtonyx_montezumae";6,36700452920386;6,01585975807562
"Cyrtonyx_ocellatus";6,78802233143921;6,53670539436576
"Dactylortyx_thoracicus";6,70217490720398;6,46093494250483
"Rhynchortyx_cinctus";6,45854598162618;6,20371407236275
"Oreortyx_pictus";7,33773518557766;6,82385371511256
"Colinus_cristatus";5,78808413215133;5,57855197469388
"Colinus_virginianus";5,96176497945722;5,10831172762071
"Colinus_nigrogularis";6,52896625225125;5,74546640306437
"Colinus_leucopogon";7,26305955605533;7,5722459084759
"Callipepla_douglasii";6,04126537159105;5,65485976675008
"Callipepla_californica";5,79391646050348;4,70385662400134
"Callipepla_gambelii";5,89360495978828;4,89441523791121
"Callipepla_squamata";6,1574008570623;5,7743525217645
"Philortyx_fasciatus";8,57234981673309;11,2154129311379
"Dendrortyx_barbatus";7,71848543131976;7,0054516045448
"Dendrortyx_macroura";7,84514512303956;6,92281955698088
"Dendrortyx_leucophrys";9,87440103423384;10,4443736971339
"Ptilopachus_petrosus";28,4745832908505;34,048082756481
"Xenoperdix_udzungwensis";14,5967459418334;16,5038018011783
"Arborophila_javanica";9,68706266075436;10,8392812561204
"Arborophila_chloropus";7,07263140970197;7,57898908614975
"Arborophila_orientalis";6,27744154075377;5,64197100187962
"Arborophila_brunneopectus";5,89527178087514;5,57320146161022
"Arborophila_rolli";5,61217826809308;5,42641183863522
"Arborophila_gingica";5,32622328747018;4,9524596311229
"Arborophila_crudigularis";5,41117916978736;4,89152262449473
"Arborophila_cambodiana";4,71416778666715;3,78933323234981
"Arborophila_rufogularis";4,71265769973437;3,90861876378298
"Arborophila_davidi";4,66636377056023;4,02296291803154
"Arborophila_rubrirostris";4,3877553457711;3,64532277695597
"Arborophila_rufipectus";4,42701871320476;3,62950628956763
"Arborophila_torqueola";4,63166732372378;3,91379113492449
"Arborophila_mandellii";4,53266929084126;3,81743111352462
"Arborophila_hyperythra";4,65320854410103;3,69166799945515
"Arborophila_ardens";4,74207546910416;4,0494966241287
"Arborophila_atrogularis";4,9379602368358;4,08190917264527
