"";"ED";"ES"
"Francolinus hartlaubi";0,000121430967291621;0
"Francolinus bicalcaratus";0,000251428617012237;6,46316517606768e-83
"Francolinus clappertoni";0,000121430967291621;0
"Francolinus icterorhynchus";0,000121430967291621;0
"Francolinus harwoodi";0,000121430967291621;0
"Francolinus adspersus";0,000121430967291621;0
"Francolinus capensis";0,000121430967291621;0
"Francolinus hildebrandti";0,000121430967291621;0
"Francolinus natalensis";0,000121430967291621;0
"Francolinus ahantensis";0,000121430967291621;0
"Francolinus squamatus";0,000121430967291621;0
"Francolinus griseostriatus";0,000121430967291621;0
"Francolinus leucoscepus";0,000121430967291621;0
"Francolinus rufopictus";0,000121430967291621;0
"Francolinus afer";0,000121430967291621;0
"Francolinus swainsonii";0,000121430967291621;0
"Francolinus erckelii";0,000417214325891376;4,61733004006555e-51
"Francolinus ochropectus";0,000121430967291621;0
"Francolinus castaneicollis";0,000400205787500527;2,60967446760098e-41
"Francolinus nobilis";0,000121430967291621;0
"Francolinus jacksoni";0,000121430967291621;0
"Francolinus camerunensis";0,000121430967291621;0
"Francolinus swierstrai";0,000121430967291621;0
"Perdix perdix";0,000121430967291621;0
"Perdix dauurica";0,000121430967291621;0
"Perdix hodgsoniae";0,000121430967291621;0
"Rhizothera longirostris";0,000121430967291621;0
"Margaroperdix madagascariensis";0,000121430967291621;0
"Melanoperdix niger";0,000121430967291621;0
"Coturnix coturnix";0,000121430967291621;0
"Coturnix japonica";0,000121430967291621;0
"Coturnix pectoralis";0,000251428617012237;1,29263303521354e-82
"Coturnix coromandelica";0,000121430967291621;0
"Coturnix delegorguei";0,000121430967291621;0
"Coturnix ypsilophora";0,000121430967291621;0
"Coturnix chinensis";0,000121430967291621;0
"Anurophasis monorthonyx";0,000251428617012237;2,58526607042707e-82
"Perdicula asiatica";0,000121430967291621;0
"Perdicula argoondah";0,000121430967291621;0
"Perdicula erythrorhyncha";0,000121430967291621;0
"Perdicula manipurensis";0,000121430967291621;0
"Xenoperdix udzungwensis";0,000251428617012237;5,17053214085414e-82
"Arborophila torqueola";0,000121430967291621;0
"Arborophila rufogularis";0,000121430967291621;0
"Arborophila atrogularis";0,000121430967291621;0
"Arborophila crudigularis";0,000121430967291621;0
"Arborophila mandellii";0,000121430967291621;0
"Arborophila brunneopectus";0,000121430967291621;0
"Arborophila rufipectus";0,000121430967291621;0
"Arborophila orientalis";0,000121430967291621;0
"Arborophila javanica";0,000121430967291621;0
"Arborophila hyperythra";0,000121430967291621;0
"Arborophila gingica";0,000121430967291621;0
"Arborophila davidi";0,000121430967291621;0
"Arborophila cambodiana";0,000121430967291621;0
"Arborophila rubrirostris";0,000121430967291621;0
"Arborophila ardens";0,000121430967291621;0
"Arborophila chloropus";0,000121430967291621;0
"Arborophila charltonii";0,000121430967291621;0
"Caloperdix oculeus";0,000121430967291621;0
"Haematortyx sanguiniceps";0,000121430967291621;0
"Rollulus rouloul";0,000121430967291621;0
"Ptilopachus petrosus";0,000121430967291621;0
"Bambusicola fytchii";0,000121430967291621;0
"Bambusicola thoracicus";0,000121430967291621;0
"Galloperdix spadicea";0,000121430967291621;0
"Galloperdix lunulata";0,000121430967291621;0
"Galloperdix bicalcarata";0,000121430967291621;0
"Ithaginis cruentus";0,000251428617012237;1,03410642817083e-81
"Tragopan melanocephalus";0,000251428617012237;2,06821285634166e-81
"Tragopan satyra";0,000983425495183799;2,83052240181096e-25
"Tragopan blythii";0,000121430967291621;0
"Tragopan temminckii";0,000121430967291621;0
"Tragopan caboti";0,00119991090482073;9,57594823601738e-19
"Pucrasia macrolopha";0,000121430967291621;0
"Lophophorus impejanus";0,000121430967291621;0
"Lophophorus sclateri";0,000121430967291621;0
"Lophophorus lhuysii";0,000121430967291621;0
"Gallus gallus";0,000121430967291621;0
"Gallus sonneratii";0,000121430967291621;0
"Gallus lafayetii";0,000121430967291621;0
"Gallus varius";0,000121430967291621;0
"Lophura leucomelanos";0,000121430967291621;0
"Lophura nycthemera";0,000121430967291621;0
"Lophura edwardsi";0,000121430967291621;0
"Lophura swinhoii";0,000121430967291621;0
"Lophura inornata";0,000121430967291621;0
"Lophura erythrophthalma";0,000121430967291621;0
"Lophura ignita";0,000121430967291621;0
"Lophura diardi";0,000121430967291621;0
"Lophura bulweri";0,000121430967291621;0
"Crossoptilon crossoptilon";0,000121430967291621;0
"Crossoptilon mantchuricum";0,000121430967291621;0
"Crossoptilon auritum";0,000121430967291621;0
"Catreus wallichi";0,000121430967291621;0
"Syrmaticus ellioti";0,000121430967291621;0
"Syrmaticus humiae";0,000121430967291621;0
"Syrmaticus mikado";0,000121430967291621;0
"Syrmaticus soemmerringii";0,000121430967291621;0
"Syrmaticus reevesii";0,000121430967291621;0
"Phasianus colchicus";0,000121430967291621;0
"Chrysolophus pictus";0,000121430967291621;0
"Chrysolophus amherstiae";0,000121430967291621;0
"Polyplectron chalcurum";0,000121430967291621;0
"Polyplectron inopinatum";0,000121430967291621;0
"Polyplectron germaini";0,000121430967291621;0
"Polyplectron bicalcaratum";0,000121430967291621;0
"Polyplectron malacense";0,000121430967291621;0
"Polyplectron schleiermacheri";0,000121430967291621;0
"Polyplectron napoleonis";0,000121430967291621;0
"Rheinardia ocellata";0,000121430967291621;0
"Argusianus argus";0,000251428617012237;4,13642571268332e-81
"Afropavo congensis";0,000890926689944862;1,33215720948794e-13
"Pavo cristatus";0,000121430967291621;0
"Pavo muticus";0,000121430967291621;0
"Dendragapus falcipennis";0,000121430967291621;0
"Dendragapus canadensis";0,000121430967291621;0
"Dendragapus obscurus";0,000121430967291621;0
"Lagopus lagopus";0,000121430967291621;0
"Lagopus muta";0,000251428617012237;8,27285142536663e-81
"Lagopus leucura";0,000121430967291621;0
"Tetrao tetrix";0,000121430967291621;0
"Tetrao mlokosiewiczi";0,000417214325891376;9,23466008013111e-51
"Tetrao urogallus";0,000121430967291621;0
"Tetrao parvirostris";0,000417214325891376;1,84693201602622e-50
"Bonasa bonasia";0,000121430967291621;0
"Bonasa sewerzowi";0,00119991090482073;9,57594823601738e-19
"Bonasa umbellus";0,000417214325891376;3,69386403205244e-50
"Centrocercus urophasianus";0,000121430967291621;0
"Tympanuchus phasianellus";0,000121430967291621;0
"Tympanuchus cupido";0,000121430967291621;0
"Tympanuchus pallidicinctus";0,000983425495183799;5,66104480362192e-25
"Meleagris gallopavo";0,000362895516534851;8,54541611948333e-28
"Meleagris ocellata";0,000121430967291621;0
"Agelastes meleagrides";0,000121430967291621;0
"Agelastes niger";0,000121430967291621;0
"Numida meleagris";0,000121430967291621;0
"Guttera plumifera";0,000121430967291621;0
"Guttera pucherani";0,000362895516534851;1,70908322389667e-27
"Acryllium vulturinum";0,000121430967291621;0
"Dendrortyx barbatus";0,00163972169796655;1,84021291232744e-08
"Dendrortyx macroura";0,00163972169796655;1,84021291232744e-08
"Dendrortyx leucophrys";0,000121430967291621;0
"Oreortyx pictus";0,000251428617012237;1,65457028507333e-80
"Callipepla squamata";0,000121430967291621;0
"Callipepla douglasii";0,000121430967291621;0
"Callipepla californica";0,000121430967291621;0
"Callipepla gambelii";0,000121430967291621;0
"Philortyx fasciatus";0,000121430967291621;0
"Colinus virginianus";0,000121430967291621;0
"Colinus nigrogularis";0,000121430967291621;0
"Colinus cristatus";0,000121430967291621;0
"Odontophorus gujanensis";0,000121430967291621;0
"Odontophorus capueira";0,000121430967291621;0
"Odontophorus melanotis";0,000121430967291621;0
"Odontophorus erythrops";0,000121430967291621;0
"Odontophorus atrifrons";0,000121430967291621;0
"Odontophorus hyperythrus";0,000121430967291621;0
"Odontophorus melanonotus";0,000121430967291621;0
"Odontophorus speciosus";0,000121430967291621;0
"Odontophorus dialeucos";0,000121430967291621;0
"Odontophorus strophium";0,000121430967291621;0
"Odontophorus columbianus";0,000121430967291621;0
"Odontophorus leucolaemus";0,000121430967291621;0
