;Rb_median;AV_median;FV_median;NNmed
Euroscaptor_grandis;0,013700888;0,695212836;0,695095223;0,062088431
Euroscaptor_mizura;0,013699852;0,695143225;0,695025623;0,049493682
Euroscaptor_subanura;0,013699773;0,695129242;0,695011643;0,054404864
Mogera_uchidai;0,013699807;0,695129242;0,695011643;0,057094746
Mogera_robusta;0,013699978;0,695125826;0,695008228;0,068475858
Mogera_wogura;0,013699929;0,695032117;0,694914534;0,057074195
Mogera_imaizumii;0,013700303;0,695029894;0,694912312;0,050556306
Mogera_tokudae;0,013700733;0,695033293;0,69491571;0,047467539
Mogera_etigo;0,013706648;0,69503365;0,694916067;0,041786205
Mogera_insularis;0,013706579;0,695029106;0,694911524;0,05188791
Mogera_kanoana;0,013706378;0,695025991;0,694908409;0,053441128
Scaptochirus_moschatus;0,013707498;0,695044831;0,694927246;0,048284136
Euroscaptor_klossi;0,013707898;0,695038856;0,694921272;0,041090964
Euroscaptor_longirostris;0,013707341;0,695074888;0,694957298;0,046768129
Parascaptor_leucura;0,013707341;0,695052654;0,694935068;0,033700728
Euroscaptor_parvidens;0,013707525;0,69504889;0,694931304;0,037209523
Talpa_caeca;0,013708657;0,69504734;0,694929755;0,042615432
Talpa_romana;0,013709096;0,695082731;0,694965139;0,061442908
Talpa_occidentalis;0,013708902;0,695422159;0,69530451;0,055302715
Talpa_europaea;0,013708664;0,695424765;0,695307116;0,045277732
Talpa_levantis;0,013709887;0,69485061;0,694733058;0,051046706
Talpa_davidiana;0,013709799;0,695190962;0,695073353;0,061128807
Talpa_stankovici;0,013709526;0,69517537;0,695057763;0,069901157
Talpa_caucasica;0,013709667;0,695170312;0,695052706;0,071023298
Talpa_altaica;0,013709412;0,6952938;0,695176173;0,071055927
Urotrichus_talpoides;0,013715934;0,69528502;0,695167394;0,063422754
Dymecodon_pilirostris;0,013710476;0,694511289;0,694393794;0,056141741
Scaptonyx_fusicaudus;0,013709213;0,69452018;0,694402684;0,056426822
Condylura_cristata;0,013709578;0,69452018;0,694402684;0,068251376
Congosorex_verheyeni;0,013715626;0,694459209;0,694341723;0,061710693
Congosorex_polli;0,013714491;0,694405373;0,694287897;0,061333306
Congosorex_phillipsorum;0,013714238;0,694400995;0,694283519;0,070993167
Myosorex_schalleri;0,013713955;0,694388874;0,6942714;0,088130804
Myosorex_jejei;0,013714011;0,694384171;0,694266698;0,095738428
Myosorex_rumpii;0,013707813;0,694373079;0,694255607;0,048179116
Myosorex_tenuis;0,013677806;0,694380683;0,69426321;0,051301156
Myosorex_zinki;0,013677808;0,694386205;0,694268732;0,057878329
Myosorex_babaulti;0,013672071;0,694040431;0,693923016;0,046192223
Myosorex_kabogoensis;0,013671468;0,694034706;0,693917292;0,04850615
Myosorex_varius;0,013671423;0,69403449;0,693917076;0,059485597
Myosorex_longicaudatus;0,013671423;0,69403449;0,693917076;0,043735186
Myosorex_cafer;0,013671198;0,694026588;0,693909175;0,044703391
Myosorex_eisentrauti;0,013670836;0,694020877;0,693903465;0,05587882
Myosorex_sclateri;0,013670738;0,694021666;0,693904254;0,046736932
Myosorex_blarina;0,013670685;0,694033269;0,693915855;0,046889921
Myosorex_okuensis;0,013670587;0,694012003;0,693894593;0,04123098
Myosorex_gnoskei;0,01367121;0,694012003;0,693894593;0,043258498
Myosorex_kihaulei;0,013671116;0,694026975;0,693909562;0,04987075
Myosorex_geata;0,013671116;0,694022497;0,693905085;0,042431797
Myosorex_meesteri;0,013671735;0,694033004;0,69391559;0,042934095
Myosorex_bururiensis;0,013623985;0,694022659;0,693905247;0,050535541
Sylvisorex_corbeti;0,013623858;0,69402069;0,693903278;0,044652756
Suncus_hosei;0,013623858;0,69404355;0,693926134;0,05108289
Sylvisorex_johnstoni;0,013528593;0,687720508;0,687604162;0,047195932
Suncus_aequatorius;0,013528593;0,687524934;0,687408622;0,041212192
Sylvisorex_howelli;0,013529101;0,687556607;0,687440288;0,054391044
Sylvisorex_lunaris;0,013529101;0,683714557;0,683598889;0,038895043
Sylvisorex_camerunensis;0,01352907;0,683703584;0,683587917;0,031659701
Sylvisorex_granti;0,013529184;0,683703419;0,683587753;0,045366593
Sylvisorex_vulcanorum;0,01336725;0,681084506;0,680969283;0,048004899
Suncus_hututsi;0,0133656;0,681085793;0,680970569;0,043469318
Sylvisorex_silvanorum;0,013361309;0,681124014;0,681008784;0,042255031
Suncus_remyi;0,01336125;0,681128078;0,681012848;0,065709721
Sylvisorex_akaibei;0,013361296;0,681121449;0,681006219;0,049326487
Suncus_infinitesimus;0,013360188;0,681115513;0,681000284;0,041498207
Suncus_varilla;0,013360542;0,680765729;0,68065056;0,032404188
Suncus_megalura;0,013360575;0,680765729;0,68065056;0,034884113
Ruwenzorisorex_suncoides;0,013361752;0,680760207;0,680645039;0,043085003
Sylvisorex_konganensis;0,013359574;0,68078644;0,680671267;0,041762907
Scutisorex_thori;0,013359815;0,68079007;0,680674897;0,045301104
Scutisorex_somereni;0,013359369;0,680751886;0,680636719;0,038309019
Sylvisorex_ollula;0,013359369;0,68077032;0,68065515;0,039551165
Crocidura_pachyura;0,013359441;0,680929868;0,680814671;0,055142258
Crocidura_russula;0,013359833;0,680929868;0,680814671;0,096253459
Crocidura_roosevelti;0,013356186;0,68093153;0,680816333;0,064623377
