"";"taxon";"species";"redlistCategory";"oriPtree";"rank_oriPtree";"dietoriFtree";"rank_dietoriFtree";"activityoriFtree";"rank_activityoriFtree";"massoriFtree";"rank_massoriFtree";"oriFtree";"rank_oriFtree";"damage_cost";"management_cost";"threatened";"TOP25PO";"TOP25FO";"TOP5PO";"TOP5FO";"N_criteriaTOP25";"N_criteriaTOP5"
"13890";"BIRDS";"Pycnonotus sinensis";"least concern";6,45215386911534;5084;0,0319615703465008;874;0,00664068326419238;1062;8,12766010297703e-05;4147,5;0,0128945100705743;1043;0,0132811104129742;NA;0;0;1;0;0;1;0
"13894";"BIRDS";"Pycnonotus cafer";"least concern";7,12311483401767;3589;0,0737085193081264;431,5;0,0185319613033714;495;8,5319898214779e-05;3777;0,0307752668365709;331;NA;2,16864778937663e-05;0;0;1;0;1;1;1
"14651";"BIRDS";"Sturnus vulgaris";"least concern";7,47634761409206;3056;0,122313931930489;124,5;0,000251428617012237;7188;8,81756130378433e-05;3595,5;0,040884512053513;166;40,638078330685;0,31874497361483;0;0;1;0;1;1;1
"16591";"BIRDS";"Aquila chrysaetos";"least concern";8,38472313706299;2152;0,0502353327986394;617,5;0,000121430967291621;9069,5;0,0013681315271652;95,5;0,0172416317643654;781;NA;0,0718056178931211;0;1;1;0;0;2;0
"21397";"PLANTS";"Zantedeschia aethiopica";"least concern";48,1558811184595;10233,5;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,000104163067988405;0;1;0;1;0;1;1
"21580";"PLANTS";"Colocasia esculenta";"least concern";25,3724440732112;39175;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,000416426685694283;0;1;0;0;0;1;0
"22266";"PLANTS";"Lagarosiphon major";"least concern";16,8788764693072;70811;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,272487857969652;0;1;0;0;0;1;0
"25253";"PLANTS";"Ligustrum sinense";"endangered";1,43994983705401;267707,5;NA;NA;NA;NA;NA;NA;0,183281425397045;232415;NA;4,27688934737628e-06;1;0;0;0;0;1;1
"28341";"PLANTS";"Euphorbia esula";"endangered";1,23813393698054;271490;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;7,20768588062943;1,00291178173201;1;0;0;0;0;1;1
"29632";"PLANTS";"Citharexylum gentryi";"vulnerable";2,24191112410386;250076,5;NA;NA;NA;NA;NA;NA;0,270687695531494;179061,5;NA;0,0135931197472695;1;0;0;0;0;1;1
"30238";"PLANTS";"Lonicera tatarica";"critically endangered";3,50463219057221;223812;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;1,41465567757967;1;0;0;0;0;1;1
"34453";"PLANTS";"Melia azedarach";"least concern";22,6924779865688;46442,5;NA;NA;NA;NA;NA;NA;0,270687695531494;179061,5;NA;2,58637944581467;0;1;0;0;0;1;0
"35499";"PLANTS";"Hydrilla verticillata";"least concern";36,3689277298791;16020;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;0,347185041972372;14,3247260596934;0;1;0;0;0;1;0
"36182";"PLANTS";"Lysichiton americanus";"least concern";35,4727679205707;16622;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,0137730658188081;0;1;0;0;0;1;0
"36342";"PLANTS";"Saururus cernuus";"least concern";30,6851915919808;25868;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;1,65185150678922e-05;0;1;0;0;0;1;0
"38102";"PLANTS";"Laburnum alpinum";"least concern";23,3410903777465;44430,5;NA;NA;NA;NA;NA;NA;0,323434815920513;72399,5;NA;2,52499965266947;0;1;0;0;0;1;0
"39254";"PLANTS";"Kalanchoe daigremontiana";"endangered";4,56193339752894;203758,5;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;4,47046183077731e-05;1;0;0;0;0;1;1
"43096";"PLANTS";"Pistia stratiotes";"least concern";93,1161685997678;419;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,00329481060732652;0;1;0;1;0;1;1
"48844";"PLANTS";"Eucalyptus pulverulenta";"least concern";19,848356756386;58961,5;NA;NA;NA;NA;NA;NA;0,270687695531494;179061,5;NA;0,00328205987898945;0;1;0;0;0;1;0
"63228";"PLANTS";"Sapindus saponaria";"least concern";17,7049499707129;67423,5;NA;NA;NA;NA;NA;NA;0,270687695531494;179061,5;NA;9,62092833639753e-05;0;1;0;0;0;1;0
"71810";"PLANTS";"Vachellia nilotica";"least concern";2,53020061285605;243776;NA;NA;NA;NA;NA;NA;0,360025626241271;54953,5;0,17533180209213;4,9022745994265e-07;0;0;1;0;0;1;0
"73223";"PLANTS";"Ludwigia repens";"least concern";19,3149360222489;60095;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;3,73963423935092e-06;0;1;0;0;0;1;0
"73265";"PLANTS";"Cissus verticillata";"least concern";5,4226888460651;189247,5;NA;NA;NA;NA;NA;NA;0,43298967095094;32005,5;NA;0,000581325869159117;0;0;1;0;0;1;0
"74485";"PLANTS";"Acacia paradoxa";"least concern";28,8316882822001;29939,5;NA;NA;NA;NA;NA;NA;0,183281425397045;232415;NA;0,00051761141617263;0;1;0;0;0;1;0
"76780";"PLANTS";"Ricinus communis";"not assessed";28,213471837457;31018,5;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;0,0433224669076996;0;1;0;0;0;1;0
"96412";"PLANTS";"Rosa rugosa";"not assessed";9,7284957621809;128927;NA;NA;NA;NA;NA;NA;0,376973540905888;49248;NA;5,00833521924629;0;0;1;0;0;1;0
"96747";"PLANTS";"Rubus alceifolius";"not assessed";32,694165888782;19938;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;0,0120560241711283;0;1;0;0;0;1;0
"96777";"PLANTS";"Rubus niveus";"not assessed";37,8286876240237;14978,5;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;0,0677922549836636;0;1;0;0;0;1;0
"96802";"PLANTS";"Rubus fruticosus";"not assessed";84,3096328613602;1750;NA;NA;NA;NA;NA;NA;0,328157130056324;71346,5;3,30680740089971;2,00477671740121;0;1;0;1;0;1;1
"96830";"PLANTS";"Rubus glaucus";"not assessed";84,3096328613602;1750;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;0,00408252375938774;0;1;0;1;0;1;1
"97257";"PLANTS";"Rubus adenotrichus";"not assessed";84,3096328613602;1750;NA;NA;NA;NA;NA;NA;0,287839810883409;105258;NA;0,000995191038225944;0;1;0;1;0;1;1
"97384";"PLANTS";"Rubus megalococcus";"not assessed";84,3096328613602;1750;NA;NA;NA;NA;NA;NA;0,446905376500806;29957,5;NA;0,000257454091928379;0;1;1;1;0;2;1
"98136";"PLANTS";"Rubus armeniacus";"not assessed";84,3096328613602;1750;NA;NA;NA;NA;NA;NA;0,30694172558593;74920;3,0141228097621;NA;0;1;0;1;0;1;1
"98855";"PLANTS";"Cotoneaster multiflorus";"not assessed";1,57401245741901;265009;NA;NA;NA;NA;NA;NA;0,376973540905888;49248;NA;0,220197186355003;0;0;1;0;0;1;0
"108362";"PLANTS";"Neustanthus phaseoloides";"not assessed";12,6368710680968;99433,5;NA;NA;NA;NA;NA;NA;0,374051636295759;50690;NA;0,000115131934577736;0;0;1;0;0;1;0
"112983";"PLANTS";"Ulex parviflorus";"not assessed";NA;NA;NA;NA;NA;NA;NA;NA;0,376973540905888;49248;NA;7,47926847870184e-06;0;0;1;0;0;1;0
"116253";"PLANTS";"Mimosa diplotricha";"not assessed";26,6142657381427;35441,5;NA;NA;NA;NA;NA;NA;0,328157130056324;71346,5;0,18428217567177;0,00600820594613478;0;1;0;0;0;1;0
"120523";"PLANTS";"Alliaria petiolata";"not assessed";15,2289630863731;76619;NA;NA;NA;NA;NA;NA;0,365814414642472;52398,5;NA;1,21440494428402e-05;0;0;1;0;0;1;0
"123223";"PLANTS";"Lepidium latifolium";"not assessed";16,6458050417636;71436;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;0,00588199450943371;NA;0;1;0;0;0;1;0
"142085";"PLANTS";"Oenothera biennis";"not assessed";3,85775094538109;217550;NA;NA;NA;NA;NA;NA;0,365814414642472;52398,5;NA;0,00209786624194494;0;0;1;0;0;1;0
"157628";"PLANTS";"Striga asiatica";"not assessed";7,62877286050644;153722,5;NA;NA;NA;NA;NA;NA;0,515873225913269;3683;NA;0,068049303830606;0;0;1;0;1;1;1
"157867";"PLANTS";"Orobanche aegyptiaca";"not assessed";NA;NA;NA;NA;NA;NA;NA;NA;0,515873225913269;3683;NA;0,411343558142212;0;0;1;0;1;1;1
"157873";"PLANTS";"Orobanche ramosa";"not assessed";32,7862337419415;19866,5;NA;NA;NA;NA;NA;NA;0,515873225913269;3683;NA;0,0954964704998043;0;1;1;0;1;2;1
"182874";"PLANTS";"Araujia sericifera";"not assessed";1,248734;271327,5;NA;NA;NA;NA;NA;NA;0,529075077701195;3491,5;NA;3,12575e-05;0;0;1;0;1;1;1
"186519";"PLANTS";"Periploca graeca";"not assessed";3,780311;219086,5;NA;NA;NA;NA;NA;NA;0,529075077701195;3491,5;NA;6,470137e-05;0;0;1;0;1;1;1
"190489";"PLANTS";"Solanum tampicense";"not assessed";2,2975;248815,5;NA;NA;NA;NA;NA;NA;0,598786597475815;1457;NA;4,297117e-05;0;0;1;0;1;1;1
"190565";"PLANTS";"Solanum seaforthianum";"not assessed";6,426997;174294;NA;NA;NA;NA;NA;NA;0,43298967095094;32005,5;NA;0,008648407;0;0;1;0;0;1;0
"193902";"PLANTS";"Mikania micrantha";"not assessed";1,042238;274744,5;NA;NA;NA;NA;NA;NA;0,374051636295759;50690;0,7967331;0,06221913;0;0;1;0;0;1;0
"199230";"PLANTS";"Senecio jacksonii";"not assessed";0,2285175;286417,5;NA;NA;NA;NA;NA;NA;0,511043592015867;7757,5;2,587205;0,168436;0;0;1;0;1;1;1
"199408";"PLANTS";"Senecio angulatus";"not assessed";1,261057;271134,5;NA;NA;NA;NA;NA;NA;0,374051636295759;50690;NA;0,0002124677;0;0;1;0;0;1;0
"203315";"PLANTS";"Centaurea affinis";"not assessed";0,07207972;287322;NA;NA;NA;NA;NA;NA;0,511043592015867;7757,5;0,01181553;NA;0;0;1;0;1;1;1
"204526";"PLANTS";"Onopordum acanthium";"not assessed";0,8977379;277579,5;NA;NA;NA;NA;NA;NA;0,365814414642472;52398,5;0,0002820134;NA;0;0;1;0;0;1;0
"208441";"PLANTS";"Lonicera japonica";"not assessed";2,757123;238820;NA;NA;NA;NA;NA;NA;0,43298967095094;32005,5;NA;6,392699e-05;0;0;1;0;0;1;0
"210068";"PLANTS";"Pastinaca sativa";"not assessed";6,177693;178524;NA;NA;NA;NA;NA;NA;0,365814414642472;52398,5;NA;1,292167e-05;0;0;1;0;0;1;0
"223399";"PLANTS";"Impatiens balfourii";"not assessed";31,40577;23060,5;NA;NA;NA;NA;NA;NA;0,358717108837928;61000;NA;5,245451e-07;0;1;0;0;0;1;0
"226495";"PLANTS";"Drosanthemum floribundum";"not assessed";27,13712;33914,5;NA;NA;NA;NA;NA;NA;0,286325420660399;119802;NA;6,842781e-05;0;1;0;0;0;1;0
"227113";"PLANTS";"Anredera cordifolia";"not assessed";6,88995;165501;NA;NA;NA;NA;NA;NA;0,471651433269024;27783,5;NA;0,0001141241;0;0;1;0;0;1;0
"240127";"PLANTS";"Clematis vitalba";"not assessed";2,628909;242165;NA;NA;NA;NA;NA;NA;0,43298967095094;32005,5;NA;0,05587273;0;0;1;0;0;1;0
"312750";"PLANTS";"Aristolochia elegans";"not assessed";3,472589;224213;NA;NA;NA;NA;NA;NA;0,374051636295759;50690;NA;4,67953e-06;0;0;1;0;0;1;0
"313363";"PLANTS";"Nymphaea mexicana";"not assessed";32,84813;19801;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,00209095;0;1;0;0;0;1;0
"313410";"PLANTS";"Cabomba caroliniana";"not assessed";30,21567;26374;NA;NA;NA;NA;NA;NA;0,228901776228229;214657;NA;0,02994612;0;1;0;0;0;1;0
