"";"ED";"ES"
"Arborophila torqueola";0,000185266734335506;9,57692464292521e-05
"Arborophila rufogularis";0,000185266734335506;9,57692464292521e-05
"Arborophila atrogularis";0,000160393532531849;0,000133155605740825
"Arborophila crudigularis";0,000182326322403628;0,000262804437525412
"Arborophila mandellii";0,000196616254014657;0,000486065378357066
"Arborophila brunneopectus";0,000174018680915666;0,000141518018718097
"Arborophila rufipectus";0,000172417120095536;7,62591977033689e-05
"Arborophila orientalis";0,000151719778987388;1,93875251264633e-05
"Arborophila javanica";0,000171711171332247;0,000138454781176244
"Arborophila hyperythra";0,000151334423613282;1,84084619339124e-05
"Arborophila gingica";0,00015776292579447;3,68233271757665e-05
"Arborophila davidi";0,000158285459097236;3,91853706818045e-05
"Arborophila cambodiana";0,00017348504115302;0,000271146715055142
"Arborophila rubrirostris";0,000165227311115721;0,000139641311918126
"Arborophila ardens";0,000194701176214086;0,000289151479834591
"Arborophila chloropus";0,000130652557395883;7,93726461456053e-07
"Arborophila charltonii";0,000172061496259879;0,000275232176980736
"Caloperdix oculeus";0,000122204263508243;7,68204625069998e-05
"Haematortyx sanguiniceps";0,000206617670444371;0,000220821485399312
"Rollulus rouloul";0,000157844396492774;0,000162863638714747
"Ptilopachus petrosus";0,000140397196690683;6,14438339698002e-05
"Bambusicola fytchii";0,000190153023748284;0,000159451327221737
"Bambusicola thoracicus";0,000176497184390699;0,000263318303110272
"Galloperdix spadicea";0,000218691286426565;0,0001600355866122
"Galloperdix lunulata";0,00018736165320761;0,000158887593658968
"Galloperdix bicalcarata";0,000198634330007734;0,000467574983791578
"Ithaginis cruentus";0,000264980412452247;0,000143864558960446
"Tragopan melanocephalus";0,000733243364518317;0,00206362331782673
"Tragopan satyra";0,000588683258515045;0,00102872926602136
"Tragopan blythii";0,000742271169444696;0,000675438104770289
"Tragopan temminckii";0,000462366508641707;0,000512811364735618
"Tragopan caboti";0,000435486684222492;0,000652847126653753
"Pucrasia macrolopha";0,000346648984507469;0,000317595941085135
"Lophophorus impejanus";0,000688967614421914;0,00081850196471834
"Lophophorus sclateri";0,000748199123586855;0,000100955006499695
"Lophophorus lhuysii";0,000870706789738287;0,000644497839465915
"Gallus gallus";0,000343357901478319;0,000249047397244747
"Gallus sonneratii";0,000317774387255786;0,000308938850651232
"Gallus lafayetii";0,000328260474129174;0,000381819549541671
"Gallus varius";0,000346563360948525;0,000610685643164258
"Lophura leucomelanos";0,000336401032433935;0,000647124655311017
"Lophura nycthemera";0,000380580520236896;0,000377772503396543
"Lophura edwardsi";0,000336453123391107;8,73587350261912e-05
"Lophura swinhoii";0,00034139823167908;0,000102571246196513
"Lophura inornata";0,00031873280796593;3,49544360103482e-05
"Lophura erythrophthalma";0,00042125330649359;0,000332804085213011
"Lophura ignita";0,000630999100763053;0,000303787233766297
"Lophura diardi";0,000388354434265711;0,000695510909494286
"Lophura bulweri";0,000516087286548009;0,000784409717822469
"Crossoptilon crossoptilon";0,000600937517700399;0,000233929777933702
"Crossoptilon mantchuricum";0,000980510952214441;0,00211390080063953
"Crossoptilon auritum";0,000629295006718383;0,000153110736614018
"Catreus wallichi";0,000554094053609313;0,000628215793127406
"Syrmaticus ellioti";0,000397345250326319;0,000169228830081355
"Syrmaticus humiae";0,000376747930687796;0,00066717558945319
"Syrmaticus mikado";0,000406974589095246;0,000295693331491242
"Syrmaticus soemmerringii";0,000348310265894694;0,000216191947368392
"Syrmaticus reevesii";0,000406124360391832;0,000488163379341498
"Phasianus colchicus";0,000377260015419698;0,000326022357763926
"Chrysolophus pictus";0,000293350294235556;0,000514867512925003
"Chrysolophus amherstiae";0,000398091998405625;0,000391344152438557
"Polyplectron chalcurum";0,000231821172779831;0,000125842832725901
"Polyplectron inopinatum";0,000194653930000003;0,000153859619517386
"Polyplectron germaini";0,000200452483731001;6,58623389039036e-05
"Polyplectron bicalcaratum";0,000215848925470115;8,57250524541931e-05
"Polyplectron malacense";0,000302516330859521;0,000276875158521211
"Polyplectron schleiermacheri";0,000194653930000003;0,000153859619517386
"Polyplectron napoleonis";0,000187230401494008;0,000146230778929016
"Rheinardia ocellata";0,000174182433856523;0,000209694246558548
"Argusianus argus";0,000790791761136903;0,00116828088011872
"Afropavo congensis";0,000567554080632712;0,000989526711160539
"Pavo cristatus";0,00118274842811718;0,000622482972309475
"Pavo muticus";0,000929988846261159;0,00112588957103387
"Dendragapus falcipennis";0,000302252248977073;0,000171980916505008
"Dendragapus canadensis";0,000237676563892924;0,000218785894864123
"Dendragapus obscurus";0,000347166215745815;0,000287296202865714
"Lagopus lagopus";0,000258338499750623;7,80174065285294e-05
"Lagopus muta";0,000262163563107603;0,000463361234833883
"Lagopus leucura";0,000206339251602434;0,000273854082094934
"Tetrao tetrix";0,000414988703066368;0,00060250979248472
"Tetrao mlokosiewiczi";0,000348352395840295;0,000376430806756727
"Tetrao urogallus";0,00109379572579975;0,00218331268529585
"Tetrao parvirostris";0,000937513144354904;0,000624881294348169
"Bonasa bonasia";0,000201034608156961;0,000204215734844787
"Bonasa sewerzowi";0,000185463115337907;0,000157019463458992
"Bonasa umbellus";0,000264980412452247;0,000143864558960446
"Centrocercus urophasianus";0,000687691069800162;0,000322407546575971
"Tympanuchus phasianellus";0,000340161865067981;0,000233099453474961
"Tympanuchus cupido";0,000319005026753947;0,000193743464118014
"Tympanuchus pallidicinctus";0,000318659023756068;0,000168026659413211
"Meleagris gallopavo";0,00475266841975778;0,00593139419017426
"Meleagris ocellata";0,00415815849772698;0,00165708673312152
"Agelastes meleagrides";0,000348352395840295;0,000376430806756727
"Agelastes niger";0,000265521955882556;4,37081332661891e-05
"Numida meleagris";0,000490562443541048;0,000298547039762842
"Guttera plumifera";0,00027885315362959;2,63858173595805e-05
"Guttera pucherani";0,000406974589095246;0,000295693331491242
"Acryllium vulturinum";0,000577584884109671;0,000598630340219355
"Dendrortyx barbatus";0,000240045041487913;0,000365017456378853
"Dendrortyx macroura";0,000191977802398305;6,27688849573179e-05
"Dendrortyx leucophrys";0,000220869350848785;0,000180448931952772
"Oreortyx pictus";0,000162710051389311;0,000114557777518977
"Callipepla squamata";0,000142771454127128;0,000143698503296652
"Callipepla douglasii";0,000123971834174743;0,00011980532357764
"Callipepla californica";0,000130191599737374;0,000128297250303089
"Callipepla gambelii";0,00012629135215457;7,27663328885314e-05
"Philortyx fasciatus";0,000119149014679655;8,9492583340133e-08
"Colinus virginianus";0,000140553827537301;0,000240128160302179
"Colinus nigrogularis";0,000130349573533362;0,000365174417147114
"Colinus cristatus";0,000142796140444924;0,000196783267897785
"Odontophorus gujanensis";0,000199397101655403;0,000292675405202267
"Odontophorus capueira";0,000209479171099116;0,00011564891301825
"Odontophorus melanotis";0,000155123440554915;3,52731715666952e-05
"Odontophorus erythrops";0,000155123440554915;3,52731715666952e-05
"Odontophorus atrifrons";0,000174000514445302;5,86539297371892e-05
"Odontophorus hyperythrus";0,000184608888931088;0,000160197760143257
"Odontophorus melanonotus";0,000234853747061798;0,000909579164516343
"Odontophorus speciosus";0,000212574104752996;0,000426946436950554
"Odontophorus dialeucos";0,000151094578439962;6,81339409851826e-05
"Odontophorus strophium";0,000188308873123553;0,00042636540013122
"Odontophorus columbianus";0,000162296380527119;3,64671129030758e-05
"Odontophorus leucolaemus";0,000203269930666932;0,000455552980739721
"Odontophorus balliviani";0,000229028542543112;0,000853892873901109
"Odontophorus stellatus";0,000156099695831584;4,2183053137763e-05
"Odontophorus guttatus";0,000182925412684085;0,000234615718948757
"Dactylortyx thoracicus";0,000143104316471043;0,000125201832613193
"Cyrtonyx montezumae";0,000155682179298805;0,000251646481071019
"Cyrtonyx ocellatus";0,000188173044570611;0,000805051295255989
"Rhynchortyx cinctus";0,000125738638190787;4,28190234092657e-05
"Anhima cornuta";0,000946314394973254;0,000420118426530937
"Chauna chavaria";0,000936616783330331;0,00130919187654729
"Chauna torquata";0,00137229304918621;0,00158792864866558
"Anseranas semipalmata";0,00079412484060031;0,000412509129468117
"Dendrocygna guttata";0,00036799214487978;0,000349510427982695
"Dendrocygna eytoni";0,000285329164411702;0,000224621043250273
"Dendrocygna bicolor";0,000292483390215321;0,000218225177689866
"Dendrocygna arcuata";0,00041479876808256;0,00125337353044612
"Dendrocygna javanica";0,000252497603514709;0,000445888015910957
"Dendrocygna viduata";0,000329929032952422;0,000532384829894195
"Dendrocygna arborea";0,000420679330054966;0,00058132659077818
"Dendrocygna autumnalis";0,000290767268252961;0,0001186693720299
"Thalassornis leuconotus";0,000273610514898232;9,76673663847448e-05
"Nomonyx dominicus";0,00017364999879981;4,9016740624685e-05
"Oxyura jamaicensis";0,000302516330859521;0,000276875158521211
"Oxyura leucocephala";0,00031300863689718;0,000485264725971077
"Oxyura maccoa";0,000294856562803515;0,000517254977723306
"Oxyura vittata";0,000290128324861356;0,000150069441976306
"Oxyura australis";0,000378340369596845;0,000657696945281879
"Biziura lobata";0,000742271169444696;0,000675438104770289
"Heteronetta atricapilla";0,000280991569119045;0,000233541846134503
"Stictonetta naevosa";0,000916429361489918;0,00242225478434738
"Cygnus olor";0,0106112696307471;0,0215446915272714
"Cygnus atratus";0,00459852132747631;0,00318198118296178
"Cygnus melancoryphus";0,001538422251779;0,00214889781349524
"Cygnus cygnus";0,00613280727186862;0,00378557499309853
"Cygnus buccinator";0,00949456671301365;0,0113605335098308
"Cygnus columbianus";0,00572339654428772;0,01151948773488
"Coscoroba coscoroba";0,00134164771605613;0,00164150403285782
"Anser cygnoides";0,0012237816803367;0,00204038041047666
"Anser brachyrhynchus";0,00100681515664493;0,000679543707304991
"Anser fabalis";0,000937513144354904;0,000624881294348169
"Anser albifrons";0,000801309466294438;0,000420791264766497
"Anser erythropus";0,000710479411552112;0,000680888744755697
"Anser anser";0,00207520765004252;0,00462367836861436
"Anser indicus";0,000857271211960885;0,0005988615208382
"Chen caerulescens";0,00105551756476903;0,00133431892352017
"Chen rossii";0,00082373343856483;0,0038251683185699
"Chen canagica";0,000843899550867965;0,00128523973708878
"Branta sandvicensis";0,000632693439558114;0,000257894099461221
"Branta canadensis";0,000856270718440916;0,000608564615776035
"Branta leucopsis";0,00106528197575533;0,00385311969350105
"Branta bernicla";0,000608842017700157;0,00194816010337967
"Branta ruficollis";0,000404337433175488;0,000401529416335136
"Cereopsis novaehollandiae";0,00168816937665712;0,00405791347472715
"Plectropterus gambensis";0,00140555677252896;0,00297334015292246
"Sarkidiornis melanotos";0,00122347149633814;0,00238060841726451
"Tadorna ferruginea";0,000353237924120364;0,000114606922636834
"Tadorna cana";0,000404277032590016;0,000509096800876878
"Tadorna tadornoides";0,000588683258515045;0,00102872926602136
"Tadorna variegata";0,000629204987524837;0,00116159009759305
"Tadorna tadorna";0,000447645201828764;0,00112518362743262
"Tadorna radjah";0,000342354193703335;0,000150898616678989
"Malacorhynchus membranaceus";0,000229341566305533;0,000312202146042281
"Alopochen aegyptiaca";0,000925811964931312;0,00111557079058791
"Neochen jubata";0,00044643197939381;0,000395426080793134
"Chloephaga melanoptera";0,000720480511130373;0,000850375795645393
"Chloephaga picta";0,00104963949211482;0,000780599062220805
"Chloephaga hybrida";0,00111279980993822;0,0022454983394585
"Chloephaga poliocephala";0,000761708792327167;0,000755367973572987
"Chloephaga rubidiceps";0,000683758133126925;0,000477072435960324
"Cyanochen cyanoptera";0,000441557994406647;0,00015815640463824
"Hymenolaimus malacorhynchos";0,000345692755029385;0,000323693216927322
"Merganetta armata";0,000199785035804248;0,000288926411446419
"Tachyeres pteneres";0,00152060010856937;0,00213107567028562
"Tachyeres leucocephalus";0,000876443210468919;0,00120666205478495
"Tachyeres brachypterus";0,00109414880719558;0,000595627967377286
"Tachyeres patachonicus";0,000936976070080019;0,00116923841760182
"Pteronetta hartlaubii";0,000285120890853149;0,000112310521625136
"Cairina moschata";0,000910056202317321;0,00071004858908853
"Cairina scutulata";0,00118339359182216;0,00139630069321569
"Aix sponsa";0,000321384946550552;0,000490486039863851
"Aix galericulata";0,000255610148994619;4,0307747693839e-05
"Lophonetta specularioides";0,000551635240026927;0,0018490886776645
"Nettapus pulchellus";0,000169351023283675;0,000137606903289424
"Nettapus coromandelianus";0,00023122574632391;0,000299558423740689
"Nettapus auritus";0,000152011425828642;1,6824431663902e-05
"Callonetta leucophrys";0,000218909766912926;0,000314813703576422
"Chenonetta jubata";0,000296338163743608;0,000130428472473817
"Amazonetta brasiliensis";0,000220798001215051;2,74085556109906e-05
"Salvadorina waigiuensis";0,000166447052283046;0,00012081637713445
"Speculanas specularis";0,000441727380534689;0,000406655447091265
"Anas capensis";0,000226564981926415;0,000563817118797853
"Anas strepera";0,000470387490324022;0,000626314531343614
"Anas falcata";0,000322751450072599;0,000519175838309928
"Anas penelope";0,000337563853394127;0,00040739229389276
"Anas americana";0,000289482478617149;0,000117384582394088
"Anas sibilatrix";0,000399574657129222;0,000308727118113138
"Anas sparsa";0,000484311896562788;0,00106490092658097
"Anas rubripes";0,000352562644667047;0,000215806822091646
"Anas platyrhynchos";0,000279434362825475;2,12167551129583e-05
"Anas poecilorhyncha";0,000360968123059417;0,000589792715977844
"Anas superciliosa";0,000340161865067981;0,000233099453474961
"Anas luzonica";0,000386972002736919;0,000647386433854643
"Anas undulata";0,000404073189544354;0,000326413057616153
"Anas melleri";0,000541522024849263;0,00101899642003368
"Anas discors";0,000218691286426565;0,0001600355866122
"Anas cyanoptera";0,000200232906951659;0,000168468699860169
"Anas smithii";0,000420741034971662;0,00107620836934899
"Anas platalea";0,000274495713042846;0,000580382504025809
"Anas rhynchotis";0,000303321938563012;0,000153896612400065
"Anas clypeata";0,000301331153401628;0,000292956640989631
"Anas bernieri";0,000211704482672034;0,000305599101367884
"Anas gibberifrons";0,000223887146954734;0,000173918848652936
"Anas castanea";0,000277927261584825;3,1204000575959e-05
"Anas aucklandica";0,000226194233135921;0,000111896810414757
"Anas bahamensis";0,000215571597372872;0,000176205216336707
"Anas erythrorhyncha";0,000245613824785681;7,49661954603801e-05
"Anas flavirostris";0,000198364514749533;8,78735633948034e-05
"Anas acuta";0,000407476235230942;0,000180881068196086
"Anas georgica";0,000282193139064746;6,1920523195625e-05
"Anas querquedula";0,000175804373409069;0,000146655047860817
"Anas formosa";0,00019898551800914;0,000175747126789607
"Anas crecca";0,000285523939862416;0,000599037538519014
"Anas versicolor";0,000293406852726508;0,00014947104581832
"Anas hottentota";0,000188483528500208;0,000248330786561668
"Marmaronetta angustirostris";0,000204708460366125;0,000203725448482611
"Netta rufina";0,000382717163032003;0,00033147950537623
"Netta peposaca";0,000360074623380333;3,68842929629503e-05
"Netta erythrophthalma";0,000317562668086616;0,000383841076969913
"Aythya ferina";0,000352894900730327;0,000187737060645572
"Aythya valisineria";0,000365533963997151;0,000244081689670749
"Aythya americana";0,000437035587796986;0,00070882059704253
"Aythya collaris";0,000284593802815248;0,000162867688272337
"Aythya nyroca";0,00030179011630221;0,000495483143383307
"Aythya innotata";0,000280988202717445;8,90924838948959e-05
"Aythya baeri";0,000314021455214074;0,000556005086246777
"Aythya australis";0,000319005026753947;0,000193743464118014
"Aythya fuligula";0,000305914911599249;0,000323623934114951
"Aythya novaeseelandiae";0,000307469677175732;0,000285125004721605
"Aythya marila";0,000437876175127176;0,000627325634249679
"Aythya affinis";0,00038223523578313;0,000620732258623763
"Somateria mollissima";0,000607377332080083;0,000210698371171357
"Somateria spectabilis";0,000708969067682816;0,00107429289557373
"Somateria fischeri";0,000653169015993911;0,000712589917056327
"Polysticta stelleri";0,000277054287170333;6,75825115547631e-05
"Histrionicus histrionicus";0,000286016660284646;0,000158829130536414
"Clangula hyemalis";0,000312356491958526;0,000187094929322592
"Melanitta nigra";0,00033616011244179;0,000159142550690309
"Melanitta perspicillata";0,000372644990473076;0,0003701641928933
