"";"dietori";"activityori";"massori";"meanori"
"Maxomys wattsi";0,659571073711071;0,50395866020105;0,0129401285517103;0,392156620821277
"Maxomys moi";0,659571073711071;0,50395866020105;0,0129401285517103;0,392156620821277
"Maxomys alticola";0,659571073711071;0,50395866020105;0,0127460446104197;0,39209192617418
"Maxomys baeodon";0,659571073711071;0,50395866020105;0,0127277489099328;0,392085827607351
"Maxomys bartelsii";0,659571073711071;0,50395866020105;0,0127772219415629;0,392102318617895
"Maxomys dollmani";0,659571073711071;0,50395866020105;0,0128350157203149;0,392121583210812
"Maxomys hellwaldii";0,659571073711071;0,50395866020105;0,0131935332879057;0,392241089066676
"Maxomys hylomyoides";0,659571073711071;0,50395866020105;0,0127565354049582;0,392095423105693
"Maxomys inflatus";0,659571073711071;0,50395866020105;0,0129614391376802;0,392163724349934
"Maxomys whiteheadi";0,659571073711071;0,50395866020105;0,0127588706430973;0,392096201518406
"Maxomys musschenbroekii";0,659571073711071;0,50395866020105;0,0127360974780365;0,392088610463386
"Maxomys ochraceiventer";0,659571073711071;0,50395866020105;0,0127634692903753;0,392097734400832
"Maxomys pagensis";0,659571073711071;0,50395866020105;0,0131609136631923;0,392230215858438
"Maxomys panglima";0,659571073711071;0,50395866020105;0,0131286909831099;0,392219474965077
"Maxomys rajah";0,659571073711071;0,50395866020105;0,0129537993926476;0,392161177768256
"Maxomys surifer";0,659571073711071;0,50395866020105;0,0129543229121016;0,392161352274741
"Maxomys inas";0,659571073711071;0,50395866020105;0,0127460446104197;0,39209192617418
"Melasmothrix naso";0,627037509669558;0,73724939967631;0,0128071465947319;0,4590313519802
"Melomys fulgens";0,744126558507394;0,50395866020105;0,0127642543490435;0,420283157685829
"Melomys lutillus";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys aerosus";0,744126558507394;0,50395866020105;0,0127642543490435;0,420283157685829
"Melomys arcium";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys bannisteri";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys bougainville";0,744126558507394;0,50395866020105;0,0127381938122992;0,420274470840248
"Melomys burtoni";0,744126558507394;0,50395866020105;0,0127290629820915;0,420271427230178
"Melomys capensis";0,744126558507394;0,50395866020105;0,0127275736109118;0,420270930773119
"Melomys caurinus";0,744126558507394;0,50395866020105;0,0128948934363179;0,420326704048254
"Melomys cervinipes";0,744126558507394;0,50395866020105;0,0127275092240779;0,420270909310841
"Melomys cooperae";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys dollmani";0,744126558507394;0,50395866020105;0,0127490099695545;0,420278076225999
"Melomys fraterculus";0,744126558507394;0,50395866020105;0,0128045241240162;0,420296580944153
"Melomys leucogaster";0,744126558507394;0,50395866020105;0,0127969538264153;0,42029405751162
"Melomys howi";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys talaudium";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys matambuai";0,744126558507394;0,50395866020105;0,0129318349469867;0,420339017885144
"Melomys obiensis";0,744126558507394;0,50395866020105;0,0127269004847498;0,420270706397731
"Melomys paveli";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys rubicola";0,744126558507394;0,50395866020105;0,0127715447151049;0,42028558780785
"Melomys rufescens";0,744126558507394;0,50395866020105;0,0127271836673214;0,420270800791922
"Melomys spechti";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Melomys frigicola";0,744126558507394;0,50395866020105;0,012739422575431;0,420274880427958
"Mesembriomys gouldii";0,928917211277512;0,692387517242689;0,0155068061278629;0,545603844882688
"Mesembriomys macrurus";0,928917211277512;0,692387517242689;0,0135007797991469;0,544935169439783
"Micaelamys granti";0,640238797154048;0,50395866020105;0,012876168558018;0,385691208637705
"Micaelamys namaquensis";0,640238797154048;0,50395866020105;0,0127546250669339;0,385650694140677
"Microhydromys musseri";0,643245120840603;0,50395866020105;0,0134388860859861;0,386880889042546
"Microhydromys richardsoni";0,643245120840603;0,50395866020105;0,013885199553482;0,387029660198378
"Micromys minutus";0,666948146659339;0,625410068036039;0,0143939562844407;0,435584056993273
"Millardia kathleenae";0,815815028260359;0,50395866020105;0,0127532198482937;0,444175636103234
"Millardia gleadowi";0,815815028260359;0,50395866020105;0,0130191971524083;0,444264295204606
"Millardia kondana";0,815815028260359;0,50395866020105;0,0129401285517103;0,444237939004373
"Millardia meltada";0,815815028260359;0,50395866020105;0,0127275736109118;0,44416708735744
"Muriculus imberbis";0,640238797154048;0,50395866020105;0,013385281302576;0,385860912885891
"Mus cervicolor";0,637469022206982;0,50395866020105;0,0134212158008062;0,384949632736279
"Mus musculus";0,637469022206982;0,50395866020105;0,013491078318091;0,384972920242041
"Mus spicilegus";0,637469022206982;0,50395866020105;0,0136147238595418;0,385014135422525
"Mus fragilicauda";0,637469022206982;0,50395866020105;0,0136294504628227;0,385019044290285
"Mus cookii";0,637469022206982;0,50395866020105;0,0133046312317317;0,384910771213255
"Mus macedonicus";0,637469022206982;0,50395866020105;0,0135570689831336;0,384994917130389
"Mus caroli";0,637469022206982;0,50395866020105;0,013802960084778;0,385076880830937
"Mus spretus";0,637469022206982;0,50395866020105;0,013691403805924;0,385039695404652
"Mus booduga";0,637469022206982;0,50395866020105;0,0137800985597994;0,38506926032261
"Mus terricolor";0,637469022206982;0,50395866020105;0,0140070234524189;0,385144901953484
"Mus famulus";0,637469022206982;0,50395866020105;0,0132199225122242;0,384882534973419
"Mus orangiae";0,637469022206982;0,50395866020105;0,0139560613954108;0,385127914601148
"Mus tenellus";0,637469022206982;0,50395866020105;0,0139580368896256;0,385128573099219
"Mus sorella";0,637469022206982;0,50395866020105;0,0139560613954108;0,385127914601148
"Mus setzeri";0,637469022206982;0,50395866020105;0,0142956155770095;0,385241099328347
"Mus setulosus";0,637469022206982;0,50395866020105;0,0139659961903904;0,385131226199474
"Mus oubanguii";0,637469022206982;0,50395866020105;0,0139903735384974;0,385139351982176
"Mus neavei";0,637469022206982;0,50395866020105;0,0139531114943093;0,38512693130078
"Mus musculoides";0,637469022206982;0,50395866020105;0,0143939562844407;0,385273879564158
"Mus mattheyi";0,637469022206982;0,50395866020105;0,0139540934670246;0,385127258625019
"Mus triton";0,62453654993111;0,50395866020105;0,0136425674531861;0,380712592528449
"Mus indutus";0,637469022206982;0,50395866020105;0,0143704251404942;0,385266035849509
"Mus haussa";0,637469022206982;0,50395866020105;0,013988314028017;0,385138665478683
"Mus goundae";0,637469022206982;0,50395866020105;0,0140112506938504;0,385146311033961
"Mus callewaerti";0,637469022206982;0,50395866020105;0,0139945060030495;0,38514072947036
"Mus bufo";0,637469022206982;0,50395866020105;0,0139862604501635;0,385137980952732
"Mus baoulei";0,637469022206982;0,50395866020105;0,0139945060030495;0,38514072947036
"Mus mahomet";0,637469022206982;0,50395866020105;0,0139081561302694;0,385111946179434
"Mus minutoides";0,637469022206982;0,50395866020105;0,0142449120872893;0,385224198165107
"Mus mayori";0,637469022206982;0,50395866020105;0,0132929248532073;0,38490686908708
"Mus vulcani";0,637469022206982;0,50395866020105;0,0133150034580138;0,384914228622015
"Mus crociduroides";0,637469022206982;0,50395866020105;0,0130633826710622;0,384830355026365
"Mus pahari";0,637469022206982;0,50395866020105;0,0131360115595424;0,384854564655858
"Mus shortridgei";0,637469022206982;0,50395866020105;0,0129504432143717;0,384792708540801
"Mus saxicola";0,637469022206982;0,50395866020105;0,0132702243682108;0,384899302258748
"Mus platythrix";0,637469022206982;0,50395866020105;0,0131503761295604;0,384859352845864
"Mus phillipsi";0,637469022206982;0,50395866020105;0,0137257163452971;0,385051132917776
"Mus fernandoni";0,637469022206982;0,50395866020105;0,0132554172817983;0,384894366563277
"Mylomys rex";0,69785808446651;0,625410068036039;0,0128159377248359;0,445361363409128
"Mylomys dybowskii";0,69785808446651;0,625410068036039;0,0128159377248359;0,445361363409128
"Nilopegamys plumbeus";0,640238797154048;0,50395866020105;0,0127348728163528;0,38564411005715
"Niviventer andersoni";0,603132948141286;0,765479782131048;0,0129401285517103;0,460517619608015
"Niviventer confucianus";0,603132948141286;0,765479782131048;0,0127340526780783;0,460448927650137
"Niviventer brahma";0,603132948141286;0,765479782131048;0,0127642543490435;0,460458994873792
"Niviventer rapit";0,603132948141286;0,765479782131048;0,0127395556219546;0,460450761964763
"Niviventer hinpoon";0,603132948141286;0,765479782131048;0,0127422323077694;0,460451654193368
"Niviventer niviventer";0,603132948141286;0,765479782131048;0,0127715447151049;0,460461424995813
"Niviventer lepturus";0,603132948141286;0,765479782131048;0,0127360974780365;0,460449609250124
"Niviventer langbianis";0,603132948141286;0,765479782131048;0,0127277489099328;0,460446826394089
"Niviventer fulvescens";0,603132948141286;0,765479782131048;0,0127328202539302;0,460448516842088
"Niviventer excelsior";0,603132948141286;0,765479782131048;0,0127772219415629;0,460463317404632
"Niviventer eha";0,603132948141286;0,765479782131048;0,012769515648323;0,460460748640219
"Niviventer culturatus";0,603132948141286;0,765479782131048;0,0127310684359216;0,460447932902752
"Niviventer cremoriventer";0,603132948141286;0,765479782131048;0,0127278322352745;0,460446854169203
"Niviventer coninga";0,603132948141286;0,765479782131048;0,0127304222631467;0,460447717511827
"Niviventer tenaster";0,603132948141286;0,765479782131048;0,0127801299269422;0,460464286733092
"Niviventer fraternus";0,603132948141286;0,765479782131048;0,0127335097638711;0,460448746678735
"Niviventer cameroni";0,603132948141286;0,765479782131048;0,0127335097638711;0,460448746678735
"Notomys fuscus";0,721162428971167;0,50395866020105;0,0129439643717222;0,412688351181313
"Notomys mordax";0,721162428971167;0,50395866020105;0,0127460446104197;0,412622377927546
"Notomys mitchellii";0,721162428971167;0,50395866020105;0,012777770333316;0,412632953168511
"Notomys macrotis";0,721162428971167;0,50395866020105;0,0127460446104197;0,412622377927546
"Notomys longicaudatus";0,721162428971167;0,50395866020105;0,0127715447151049;0,412630877962441
"Notomys cervinus";0,721162428971167;0,50395866020105;0,0129439643717222;0,412688351181313
"Notomys aquilo";0,721162428971167;0,50395866020105;0,0128882101660004;0,412669766446072
"Notomys amplus";0,721162428971167;0,50395866020105;0,0127460446104197;0,412622377927546
"Notomys alexis";0,721162428971167;0,50395866020105;0,0129439643717222;0,412688351181313
"Oenomys hypoxanthus";0,663582377152601;0,625410068036039;0,0127460446104197;0,43391282993302
"Oenomys ornatus";0,663582377152601;0,625410068036039;0,0127372982448095;0,433909914477817
"Palawanomys furvus";0,640238797154048;0,50395866020105;0,0127259467879581;0,385641134714352
"Papagomys theodorverhoeveni";0,634909358991357;0,50395866020105;0,0127267281439296;0,383864915778779
"Papagomys armandvillei";0,634909358991357;0,50395866020105;0,0127259587711831;0,383864659321197
"Parahydromys asper";0,643245120840603;0,50395866020105;0,0147934682758598;0,387332416439171
"Paraleptomys wilhelmina";0,640238797154048;0,625410068036039;0,012977721722835;0,426208862304307
"Paraleptomys rufilatus";0,640238797154048;0,625410068036039;0,0127630381334781;0,426137301107855
"Paramelomys mollis";0,744126558507394;0,50395866020105;0,0127461592665353;0,42027712599166
"Paramelomys moncktoni";0,744126558507394;0,50395866020105;0,0127303111819582;0,420271843296801
"Paramelomys naso";0,744126558507394;0,50395866020105;0,0127356134819865;0,420273610730143
"Paramelomys levipes";0,744126558507394;0,50395866020105;0,0127331659302505;0,420272794879565
"Paramelomys platyops";0,744126558507394;0,50395866020105;0,0127374746233032;0,420274231110582
"Paramelomys rubex";0,744126558507394;0,50395866020105;0,012809384258654;0,420298200989033
"Paramelomys steini";0,744126558507394;0,50395866020105;0,0127356134819865;0,420273610730143
"Paramelomys lorentzii";0,744126558507394;0,50395866020105;0,0129527097361653;0,420345976148203
"Paramelomys gressitti";0,744126558507394;0,50395866020105;0,0127356134819865;0,420273610730143
"Paruromys dominator";0,847349207812714;0,50395866020105;0,0137919185088505;0,455033262174205
"Paulamys naso";0,628863022907044;0,50395866020105;0,0128421185055027;0,381887933871199
"Pelomys campanae";0,69785808446651;0,625410068036039;0,0127266141800642;0,445331588894204
"Pelomys fallax";0,69785808446651;0,625410068036039;0,0128714383426402;0,445379863615063
"Pelomys hopkinsi";0,69785808446651;0,625410068036039;0,0127265731438471;0,445331575215465
"Pelomys isseli";0,69785808446651;0,625410068036039;0,0127449410637336;0,445337697855428
"Pelomys minor";0,69785808446651;0,625410068036039;0,0127894815982626;0,445352544700271
"Phloeomys cumingi";0,69785808446651;0,692387517242689;0,0191391547018518;0,469794918803684
"Phloeomys pallidus";0,69785808446651;0,692387517242689;0,0186407841870864;0,469628795298762
"Pithecheir parvus";0,680431740398573;0,692387517242689;0,0127891849850117;0,461869480875425
"Pithecheir melanurus";0,680431740398573;0,692387517242689;0,0127953902421299;0,461871549294464
"Pithecheirops otion";0,640238797154048;0,692387517242689;0,0127267281439296;0,448451014180222
"Pogonomelomys mayeri";0,640238797154048;0,765479782131048;0,0128007372179345;0,472839772167677
"Pogonomelomys bruijni";0,640238797154048;0,765479782131048;0,0127321221156196;0,472816900466905
"Pogonomys sylvestris";0,69785808446651;0,692387517242689;0,0128419381519167;0,467695846620372
"Pogonomys fergussoniensis";0,69785808446651;0,692387517242689;0,0127517635294834;0,467665788412894
"Pogonomys loriae";0,69785808446651;0,692387517242689;0,0127586250830534;0,467668075597417
"Pogonomys macrourus";0,69785808446651;0,692387517242689;0,0127678397245948;0,467671147144598
"Pogonomys championi";0,69785808446651;0,692387517242689;0,0127867457019831;0,467677449137061
"Pseudohydromys ellermani";0,627037509669558;0,50395866020105;0,0132702243682108;0,38142213141294
"Pseudohydromys fuscus";0,62453654993111;0,50395866020105;0,013374874712716;0,380623361614959
"Pseudohydromys murinus";0,62453654993111;0,50395866020105;0,0134637907136026;0,380653000281921
"Pseudohydromys occidentalis";0,633478544029438;0,50395866020105;0,0132526440793181;0,383563282769935
"Pseudomys desertor";0,644928120823558;0,50395866020105;0,0131559334920353;0,387347571505548
"Pseudomys oralis";0,644928120823558;0,50395866020105;0,0127582910054732;0,387215024010027
"Pseudomys occidentalis";0,644928120823558;0,50395866020105;0,0129604124288751;0,387282397817828
"Pseudomys nanus";0,644928120823558;0,50395866020105;0,0129604124288751;0,387282397817828
"Pseudomys johnsoni";0,644928120823558;0,50395866020105;0,0137469834409368;0,387544588155182
"Pseudomys higginsi";0,644928120823558;0,50395866020105;0,0127309539342417;0,38720591165295
"Pseudomys hermannsburgensis";0,644928120823558;0,50395866020105;0,0137469834409368;0,387544588155182
"Pseudomys gracilicaudatus";0,644928120823558;0,50395866020105;0,012725924223749;0,387204235082786
"Pseudomys gouldii";0,644928120823558;0,50395866020105;0,0127894815982626;0,38722542087429
"Pseudomys glaucus";0,644928120823558;0,50395866020105;0,0130911491080572;0,387325976710888
"Pseudomys patrius";0,644928120823558;0,50395866020105;0,0135570689831336;0,387481283335914
"Pseudomys fieldi";0,644928120823558;0,50395866020105;0,0128271294820878;0,387237970168899
"Pseudomys novaehollandiae";0,644928120823558;0,50395866020105;0,0133227994796272;0,387403193501412
"Pseudomys delicatulus";0,644928120823558;0,50395866020105;0,013822542918788;0,387569774647799
"Pseudomys chapmani";0,644928120823558;0,50395866020105;0,0137469834409368;0,387544588155182
"Pseudomys calabyi";0,644928120823558;0,50395866020105;0,0133430301262647;0,387409937050291
"Pseudomys bolami";0,644928120823558;0,50395866020105;0,0135300156832684;0,387472265569292
"Pseudomys australis";0,644928120823558;0,50395866020105;0,0127340526780783;0,387206944567562
"Pseudomys apodemoides";0,644928120823558;0,50395866020105;0,0133227994796272;0,387403193501412
"Pseudomys albocinereus";0,644928120823558;0,50395866020105;0,0130252362501724;0,38730400575826
"Pseudomys fumeus";0,644928120823558;0,50395866020105;0,0127275736109118;0,387204784878507
"Pseudomys shortridgei";0,644928120823558;0,50395866020105;0,0127275736109118;0,387204784878507
"Pseudomys pilligaensis";0,644928120823558;0,50395866020105;0,013822542918788;0,387569774647799
"Pseudomys laborifex";0,644928120823558;0,50395866020105;0,0137469834409368;0,387544588155182
"Rattus novaeguineae";0,684632503975879;0,50395866020105;0,0128830339689634;0,400491399381964
"Rattus lutreolus";0,684632503975879;0,50395866020105;0,0127891849850117;0,400460116387314
"Rattus sanila";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
"Rattus salocco";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
"Rattus richardsoni";0,632671698617683;0,50395866020105;0,012735322309164;0,383121893709299
"Rattus praetor";0,684632503975879;0,50395866020105;0,0131988570695799;0,400596673748836
"Rattus palmarum";0,684632503975879;0,50395866020105;0,0145777871325138;0,401056317103148
"Rattus omichlodes";0,684632503975879;0,50395866020105;0,0127275586589739;0,400439574278634
"Rattus simalurensis";0,684632503975879;0,50395866020105;0,0129663555636719;0,400519173246867
"Rattus norvegicus";0,684632503975879;0,50395866020105;0,0138565064634178;0,400815890213449
"Rattus nitidus";0,684632503975879;0,50395866020105;0,0128849910562195;0,400492051744383
"Rattus pyctoris";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
"Rattus niobe";0,632671698617683;0,50395866020105;0,0128265260040582;0,38315229494093
"Rattus ranjiniae";0,684632503975879;0,50395866020105;0,0128350157203149;0,400475393299081
"Rattus nativitatis";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
