"";"Rb_median";"AV_median";"FV_median";"NNmed"
"Tadorna_variegata";0,0111033277824992;0,974033721991306;0,973936250388985;0,0450798283473499
"Tadorna_ferruginea";0,0110948675032852;0,97375577233008;0,973658328542195;0,0432599017477364
"Tadorna_cana";0,0110948807710273;0,973259619260616;0,973162225122792;0,0360827999842207
"Tadorna_tadornoides";0,0110949009278535;0,972768283641039;0,972670938671195;0,0397039820615378
"Tadorna_tadorna";0,0110949570424113;0,972561429672199;0,972464105402243;0,0480191876728988
"Tadorna_radjah";0,0110950957667048;0,972561244714391;0,972463920462944;0,0379781366103399
"Alopochen_aegyptiaca";0,0110949963890341;0,972560264933003;0,972462940779602;0,0265627766013678
"Cairina_moschata";0,0110948896859285;0,972560264933003;0,972462940779602;0,0244272898933868
"Aix_sponsa";0,0110948896859285;0,972583020498463;0,972485694067913;0,0244272898933868
"Aix_galericulata";0,0110948551333956;0,972583020498463;0,972485694067913;0,0292784999948955
"Melanitta_nigra";0,0110948785555591;0,972580517015976;0,972483190835948;0,0369207437782638
"Melanitta_perspicillata";0,0110948698351533;0,972546654567565;0,972449331776154;0,0397716978675558
"Melanitta_fusca";0,011094828480371;0,972534018605393;0,972436697078464;0,0375713024871508
"Mergus_serrator";0,0110948266263211;0,97252838408799;0,972431063124907;0,0285063779199841
"Mergus_squamatus";0,0110948347408119;0,972525641595338;0,972428320906697;0,0286073735469961
"Mergus_merganser";0,0110947698984338;0,972525641595338;0,972428320906697;0,0342009517602434
"Mergus_octosetaceus";0,0110947618364008;0,972502961622959;0,972405643203903;0,0273067774408283
"Lophodytes_cucullatus";0,0110948916373758;0,972489185969706;0,972391868929181;0,0246435603781765
"Mergellus_albellus";0,0110953641919661;0,972486078015142;0,972388761285631;0,0246980203726576
"Bucephala_albeola";0,0110955274238226;0,972484258912559;0,972386942365084;0,0270205257801769
"Bucephala_clangula";0,0110955074793678;0,97248499935753;0,972387682735959;0,0315688406811465
"Bucephala_islandica";0,0110950307730547;0,972520912618438;0,972423592403025;0,0253275349974574
