"";"parsed";"mdd_itis"
"1721";"Proechimys kulinae";"Proechimys kulinae"
"1722";"Proechimys oconnelli";"Proechimys oconnelli"
"1723";"Proechimys roberti";"Proechimys roberti"
"1724";"Proechimys simonsi";"Proechimys simonsi"
"1725";"Proechimys steerei";"Proechimys steerei"
"1726";"Proechimys pattoni";"Proechimys pattoni"
"1727";"Proechimys semispinosus";"Proechimys semispinosus"
"1728";"Proechimys gardneri";"Proechimys gardneri"
"1729";"Proechimys trinitatis";"Proechimys trinitatis"
"1730";"Proechimys canicollis";"Proechimys canicollis"
"1731";"Proechimys brevicauda";"Proechimys brevicauda"
"1732";"Proechimys decumanus";"Proechimys decumanus"
"1733";"Proechimys cuvieri";"Proechimys cuvieri"
"1734";"Proechimys chrysaeolus";"Proechimys chrysaeolus"
"1735";"Proechimys guyannensis";"Proechimys guyannensis"
"1736";"Proechimys guairae";"Proechimys guairae"
"1737";"Proechimys goeldii";"Proechimys goeldii"
"1738";"Proechimys hoplomyoides";"Proechimys hoplomyoides"
"1739";"Dactylomys peruanus";"Dactylomys peruanus"
"1740";"Dactylomys dactylinus";"Dactylomys dactylinus"
"1741";"Dactylomys boliviensis";"Dactylomys boliviensis"
"1742";"Phyllomys brasiliensis";"Phyllomys brasiliensis"
"1743";"Phyllomys blainvillii";"Phyllomys blainvilii"
"1744";"Phyllomys medius";"Phyllomys medius"
"1745";"Phyllomys dasythrix";"Phyllomys dasythrix"
"1746";"Phyllomys lamarum";"Phyllomys lamarum"
"1747";"Phyllomys nigrispinus";"Phyllomys nigrispinus"
"1748";"Phyllomys kerri";"Phyllomys kerri"
"1749";"Phyllomys pattoni";"Phyllomys pattoni"
"1750";"Phyllomys lundi";"Phyllomys lundi"
"1751";"Phyllomys unicolor";"Phyllomys unicolor"
"1752";"Phyllomys thomasi";"Phyllomys thomasi"
"1753";"Phyllomys mantiqueirensis";"Phyllomys mantiqueirensis"
"1754";"Santamartamys rufodorsalis";"Santamartamys rufodorsalis"
"1755";"Isothrix sinnamariensis";"Isothrix sinnamariensis"
"1756";"Isothrix pagurus";"Isothrix pagurus"
"1757";"Isothrix bistriata";"Isothrix bistriata"
"1758";"Isothrix barbarabrownae";"Isothrix barbarabrownae"
"1759";"Isothrix negrensis";"Isothrix negrensis"
"1760";"Trinomys moojeni";"Trinomys moojeni"
"1761";"Trinomys albispinus";"Trinomys albispinus"
"1762";"Trinomys eliasi";"Trinomys eliasi"
"1763";"Trinomys mirapitanga";"Trinomys mirapitanga"
"1764";"Trinomys gratiosus";"Trinomys gratiosus"
"1765";"Trinomys paratus";"Trinomys paratus"
"1766";"Trinomys yonenagae";"Trinomys yonenagae"
"1767";"Trinomys setosus";"Trinomys setosus"
"1768";"Trinomys dimidiatus";"Trinomys dimidiatus"
"1769";"Trinomys iheringi";"Trinomys iheringi"
"1770";"Pattonomys semivillosus";"Pattonomys semivillosus"
"1771";"Toromys grandis";"Toromys grandis"
"1772";"Mesomys occultus";"Mesomys occultus"
"1773";"Mesomys hispidus";"Mesomys hispidus"
"1774";"Mesomys leniceps";"Mesomys leniceps"
"1775";"Mesomys stimulax";"Mesomys stimulax"
"1776";"Erethizon dorsatum";"Erethizon dorsatum"
"1777";"Coendou rufescens";"Coendou rufescens"
"1778";"Chaetomys subspinosus";"Chaetomys subspinosus"
"1779";"Coendou vestitus";"Coendou vestitus"
"1780";"Coendou ichillus";"Coendou ichillus"
"1781";"Coendou insidiosus";"Coendou insidiosus"
"1782";"Coendou pruinosus";"Coendou pruinosus"
"1783";"Coendou melanurus";"Coendou melanurus"
"1784";"Coendou spinosus";"Coendou spinosus"
"1785";"Coendou roosmalenorum";"Coendou roosmalenorum"
"1786";"Coendou mexicanus";"Coendou mexicanus"
"1787";"Coendou nycthemera";"Coendou nycthemera"
"1788";"Coendou bicolor";"Coendou bicolor"
"1789";"Coendou quichua";"Coendou quichua"
"1790";"Coendou prehensilis";"Coendou prehensilis"
"1791";"Heterogeomys dariensis";"Heterogeomys dariensis"
"1792";"Heterogeomys lanius";"Heterogeomys lanius"
"1793";"Heterogeomys cherriei";"Heterogeomys cherriei"
"1794";"Thomomys idahoensis";"Thomomys idahoensis"
"1795";"Thomomys monticola";"Thomomys monticola"
"1796";"Thomomys clusius";"Thomomys clusius"
"1797";"Thomomys bulbivorus";"Thomomys bulbivorus"
"1798";"Zygogeomys trichopus";"Zygogeomys trichopus"
"1799";"Cratogeomys goldmani";"Cratogeomys goldmani"
"1800";"Cratogeomys planiceps";"Cratogeomys planiceps"
"1801";"Cratogeomys fumosus";"Cratogeomys fumosus"
"1802";"Cratogeomys merriami";"Cratogeomys merriami"
"1803";"Cratogeomys fulvescens";"Cratogeomys fulvescens"
"1804";"Cratogeomys perotensis";"Cratogeomys perotensis"
"1805";"Pappogeomys bulleri";"Pappogeomys bulleri"
"1806";"Geomys texensis";"Geomys texensis"
"1807";"Geomys attwateri";"Geomys attwateri"
"1808";"Geomys tropicalis";"Geomys tropicalis"
"1809";"Geomys knoxjonesi";"Geomys knoxjonesi"
"1810";"Geomys personatus";"Geomys personatus"
"1811";"Geomys arenarius";"Geomys arenarius"
"1812";"Graphiurus rupicola";"Graphiurus rupicola"
"1813";"Graphiurus microtis";"Graphiurus microtis"
"1814";"Graphiurus monardi";"Graphiurus monardi"
"1815";"Graphiurus angolensis";"Graphiurus angolensis"
"1816";"Myomimus setzeri";"Myomimus setzeri"
"1817";"Myomimus personatus";"Myomimus personatus"
"1818";"Glirulus japonicus";"Glirulus japonicus"
"1819";"Chaetocauda sichuanensis";"Chaetocauda sichuanensis"
"1820";"Dryomys niethammeri";"Dryomys niethammeri"
"1821";"Heteromys oresterus";"Heteromys oresterus"
"1822";"Heteromys nelsoni";"Heteromys nelsoni"
"1823";"Heteromys oasicus";"Heteromys oasicus"
"1824";"Heteromys gaumeri";"Heteromys gaumeri"
"1825";"Heteromys teleus";"Heteromys teleus"
"1826";"Heteromys anomalus";"Heteromys anomalus"
"1827";"Perognathus alticola";"Perognathus alticola"
"1828";"Perognathus inornatus";"Perognathus inornatus"
"1829";"Perognathus amplus";"Perognathus amplus"
"1830";"Heteromys adspersus";"Heteromys adspersus"
"1831";"Heteromys irroratus";"Heteromys irroratus"
"1832";"Heteromys pictus";"Heteromys pictus"
"1833";"Heteromys salvini";"Heteromys salvini"
"1834";"Heteromys spectabilis";"Heteromys spectabilis"
"1835";"Chaetodipus rudinoris";"Chaetodipus rudinoris"
"1836";"Chaetodipus pernix";"Chaetodipus pernix"
"1837";"Chaetodipus lineatus";"Chaetodipus lineatus"
"1838";"Chaetodipus goldmani";"Chaetodipus goldmani"
"1839";"Chaetodipus formosus";"Chaetodipus formosus"
"1840";"Chaetodipus fallax";"Chaetodipus fallax"
"1841";"Chaetodipus ammophilus";"Chaetodipus ammophilus"
"1842";"Dipodomys venustus";"Dipodomys venustus"
"1843";"Dipodomys ingens";"Dipodomys ingens"
"1844";"Dipodomys elator";"Dipodomys elator"
"1845";"Dipodomys microps";"Dipodomys microps"
"1846";"Dipodomys gravipes";"Dipodomys gravipes"
"1847";"Dipodomys heermanni";"Dipodomys heermanni"
"1848";"Dipodomys deserti";"Dipodomys deserti"
"1849";"Dipodomys nitratoides";"Dipodomys nitratoides"
"1850";"Dipodomys agilis";"Dipodomys agilis"
"1851";"Dipodomys stephensi";"Dipodomys stephensi"
"1852";"Dipodomys nelsoni";"Dipodomys nelsoni"
"1853";"Dipodomys phillipsii";"Dipodomys phillipsii"
"1854";"Dipodomys spectabilis";"Dipodomys spectabilis"
"1855";"Hystrix pumila";"Hystrix pumila"
"1856";"Hystrix sumatrae";"Hystrix sumatrae"
"1857";"Hystrix javanica";"Hystrix javanica"
"1858";"Hystrix crassispinis";"Hystrix crassispinis"
"1859";"Hystrix cristata";"Hystrix cristata"
"1860";"Trichys fasciculata";"Trichys fasciculata"
"1861";"Monticolomys koopmani";"Monticolomys koopmani"
"1862";"Steatomys bocagei";"Steatomys bocagei"
"1863";"Steatomys parvus";"Steatomys parvus"
"1864";"Steatomys cuppedius";"Steatomys cuppedius"
"1865";"Steatomys caurinus";"Steatomys caurinus"
"1866";"Steatomys opimus";"Steatomys opimus"
"1867";"Brachyuromys betsileoensis";"Brachyuromys betsileoensis"
"1868";"Brachyuromys ramirohitra";"Brachyuromys ramirohitra"
"1869";"Dendromus insignis";"Dendromus insignis"
"1870";"Dendromus kahuziensis";"Dendromus kahuziensis"
"1871";"Dendromus mesomelas";"Dendromus mesomelas"
"1872";"Dendromus melanotis";"Dendromus melanotis"
"1873";"Dendromus lovati";"Dendromus lovati"
"1874";"Petromyscus barbouri";"Petromyscus barbouri"
"1875";"Petromyscus shortridgei";"Petromyscus shortridgei"
"1876";"Voalavo antsahabensis";"Voalavo antsahabensis"
"1877";"Prionomys batesi";"Prionomys batesi"
"1878";"Macrotarsomys bastardi";"Macrotarsomys bastardi"
"1879";"Brachytarsomys albicauda";"Brachytarsomys albicauda"
"1880";"Gymnuromys roberti";"Gymnuromys roberti"
"1881";"Mystromys albicaudatus";"Mystromys albicaudatus"
"1882";"Nesomys audeberti";"Nesomys audeberti"
"1883";"Nesomys rufus";"Nesomys rufus"
"1884";"Megadendromus nikolausi";"Megadendromus nikolausi"
"1885";"Eliurus minor";"Eliurus minor"
"1886";"Eliurus majori";"Eliurus majori"
"1887";"Eliurus grandidieri";"Eliurus grandidieri"
"1888";"Eliurus antsingy";"Eliurus antsingy"
"1889";"Eliurus myoxinus";"Eliurus myoxinus"
"1890";"Eliurus penicillatus";"Eliurus penicillatus"
"1891";"Eliurus petteri";"Eliurus petteri"
"1892";"Eliurus tanala";"Eliurus tanala"
"1893";"Eliurus webbi";"Eliurus webbi"
"1894";"Aconaemys porteri";"Aconaemys porteri"
"1895";"Octodontomys gliroides";"Octodontomys gliroides"
"1896";"Petromus typicus";"Petromus typicus"
"1897";"Typhlomys cinereus";"Typhlomys cinereus"
"1898";"Rhinosciurus laticaudatus";"Rhinosciurus laticaudatus"
"1899";"Petinomys fuscocapillus";"Petinomys fuscocapillus"
"1900";"Petinomys crinitus";"Petinomys crinitus"
"1901";"Petinomys setosus";"Petinomys setosus"
"1902";"Petinomys mindanensis";"Petinomys mindanensis"
"1903";"Hylopetes sagitta";"Hylopetes sagitta"
"1904";"Petinomys hageni";"Petinomys hageni"
"1905";"Petinomys lugens";"Petinomys lugens"
"1906";"Lariscus obscurus";"Lariscus obscurus"
"1907";"Lariscus insignis";"Lariscus insignis"
"1908";"Lariscus hosei";"Lariscus hosei"
"1909";"Paraxerus vexillarius";"Paraxerus vexillarius"
"1910";"Paraxerus cooperi";"Paraxerus cooperi"
"1911";"Hylopetes nigripes";"Hylopetes nigripes"
"1912";"Hylopetes sipora";"Hylopetes sipora"
"1913";"Hylopetes phayrei";"Hylopetes phayrei"
"1914";"Hylopetes winstoni";"Hylopetes winstoni"
"1915";"Hylopetes platyurus";"Hylopetes platyurus"
"1916";"Hylopetes alboniger";"Hylopetes alboniger"
"1917";"Exilisciurus concinnus";"Exilisciurus concinnus"
"1918";"Exilisciurus whiteheadi";"Exilisciurus whiteheadi"
"1919";"Epixerus ebii";"Epixerus ebii"
"1920";"Pteromyscus pulverulentus";"Pteromyscus pulverulentus"
"1921";"Sciurus aberti";"Sciurus aberti"
"1922";"Sciurus carolinensis";"Sciurus carolinensis"
"1923";"Sciurus sanborni";"Sciurus sanborni"
"1924";"Sciurus variegatoides";"Sciurus variegatoides"
"1925";"Sciurus pucheranii";"Sciurus pucheranii"
"1926";"Sciurus oculatus";"Sciurus oculatus"
"1927";"Sciurus richmondi";"Sciurus richmondi"
"1928";"Sciurus pyrrhinus";"Sciurus pyrrhinus"
"1929";"Sciurus gilvigularis";"Sciurus gilvigularis"
"1930";"Sciurus ignitus";"Sciurus ignitus"
"1931";"Sciurus arizonensis";"Sciurus arizonensis"
"1932";"Sciurus aureogaster";"Sciurus aureogaster"
"1933";"Sciurus colliaei";"Sciurus colliaei"
"1934";"Sciurus flammifer";"Sciurus flammifer"
"1935";"Sciurus aestuans";"Sciurus aestuans"
"1936";"Sciurus alleni";"Sciurus alleni"
"1937";"Rheithrosciurus macrotis";"Rheithrosciurus macrotis"
"1938";"Eoglaucomys fimbriatus";"Eoglaucomys fimbriatus"
"1939";"Sundasciurus samarensis";"Sundasciurus samarensis"
"1940";"Sundasciurus hoogstraali";"Sundasciurus hoogstraali"
"1941";"Sundasciurus mindanensis";"Sundasciurus mindanensis"
"1942";"Sundasciurus steerii";"Sundasciurus steerii"
"1943";"Sundasciurus tenuis";"Sundasciurus tenuis"
"1944";"Sundasciurus juvencus";"Sundasciurus juvencus"
"1945";"Sundasciurus lowii";"Sundasciurus lowii"
"1946";"Sundasciurus moellendorffi";"Sundasciurus moellendorffi"
"1947";"Sundasciurus philippinensis";"Sundasciurus philippinensis"
"1948";"Sundasciurus brookei";"Sundasciurus brookei"
"1949";"Sundasciurus hippurus";"Sundasciurus hippurus"
"1950";"Sundasciurus jentinki";"Sundasciurus jentinki"
"1951";"Sciurotamias forresti";"Sciurotamias forresti"
"1952";"Ammospermophilus nelsoni";"Ammospermophilus nelsoni"
"1953";"Eupetaurus cinereus";"Eupetaurus cinereus"
"1954";"Tamiops mcclellandii";"Tamiops mcclellandii"
"1955";"Tamiops maritimus";"Tamiops maritimus"
"1956";"Tamiops rodolphii";"Tamiops rodolphii"
"1957";"Tamiops swinhoei";"Tamiops swinhoei"
"1958";"Callosciurus quinquestriatus";"Callosciurus quinquestriatus"
"1959";"Callosciurus pygerythrus";"Callosciurus pygerythrus"
"1960";"Callosciurus prevostii";"Callosciurus prevostii"
"1961";"Callosciurus phayrei";"Callosciurus phayrei"
"1962";"Callosciurus orestes";"Callosciurus orestes"
"1963";"Callosciurus nigrovittatus";"Callosciurus nigrovittatus"
"1964";"Callosciurus inornatus";"Callosciurus inornatus"
"1965";"Callosciurus melanogaster";"Callosciurus melanogaster"
"1966";"Callosciurus erythraeus";"Callosciurus erythraeus"
"1967";"Callosciurus finlaysonii";"Callosciurus finlaysonii"
"1968";"Callosciurus baluensis";"Callosciurus baluensis"
"1969";"Callosciurus caniceps";"Callosciurus caniceps"
"1970";"Callosciurus adamsi";"Callosciurus adamsi"
"1971";"Microsciurus mimulus";"Microsciurus mimulus"
"1972";"Microsciurus santanderensis";"Microsciurus santanderensis"
"1973";"Microsciurus alfari";"Microsciurus alfari"
"1974";"Microsciurus flaviventer";"Microsciurus flaviventer"
"1975";"Glyphotes simus";"Glyphotes simus"
"1976";"Dremomys gularis";"Dremomys gularis"
"1977";"Dremomys rufigenis";"Dremomys rufigenis"
"1978";"Prosciurillus weberi";"Prosciurillus weberi"
"1979";"Prosciurillus leucomus";"Prosciurillus leucomus"
"1980";"Prosciurillus rosenbergii";"Prosciurillus rosenbergii"
"1981";"Prosciurillus murinus";"Prosciurillus murinus"
"1982";"Prosciurillus abstrusus";"Prosciurillus abstrusus"
"1983";"Belomys pearsonii";"Belomys pearsonii"
"1984";"Sciurillus pusillus";"Sciurillus pusillus"
"1985";"Glaucomys sabrinus";"Glaucomys sabrinus"
"1986";"Marmota olympus";"Marmota olympus"
"1987";"Marmota broweri";"Marmota broweri"
"1988";"Marmota sibirica";"Marmota sibirica"
"1989";"Marmota menzbieri";"Marmota menzbieri"
"1990";"Marmota vancouverensis";"Marmota vancouverensis"
"1991";"Syntheosciurus brochus";"Syntheosciurus brochus"
"1992";"Funambulus tristriatus";"Funambulus tristriatus"
"1993";"Funambulus sublineatus";"Funambulus sublineatus"
"1994";"Funambulus layardi";"Funambulus layardi"
"1995";"Heliosciurus ruwenzorii";"Heliosciurus ruwenzorii"
"1996";"Cynomys parvidens";"Cynomys parvidens"
"1997";"Cynomys leucurus";"Cynomys leucurus"
"1998";"Ratufa affinis";"Ratufa affinis"
"1999";"Ratufa macroura";"Ratufa macroura"
"2000";"Ratufa bicolor";"Ratufa bicolor"
"2001";"Ratufa indica";"Ratufa indica"
"2002";"Hyosciurus heinrichi";"Hyosciurus heinrichi"
"2003";"Urocitellus parryii";"Urocitellus parryii"
"2004";"Urocitellus richardsonii";"Urocitellus richardsonii"
"2005";"Callospermophilus saturatus";"Callospermophilus saturatus"
"2006";"Ictidomys mexicanus";"Ictidomys mexicanus"
"2007";"Xerospermophilus spilosoma";"Xerospermophilus spilosoma"
"2008";"Spermophilus major";"Spermophilus major"
"2009";"Ictidomys tridecemlineatus";"Ictidomys tridecemlineatus"
"2010";"Callospermophilus madrensis";"Callospermophilus madrensis"
"2011";"Spermophilus fulvus";"Spermophilus fulvus"
"2012";"Otospermophilus beecheyi";"Otospermophilus beecheyi"
"2013";"Spermophilus xanthoprymnus";"Spermophilus xanthoprymnus"
"2014";"Spermophilus pallidicauda";"Spermophilus pallidicauda"
"2015";"Otospermophilus variegatus";"Otospermophilus variegatus"
"2016";"Urocitellus undulatus";"Urocitellus undulatus"
"2017";"Xerospermophilus tereticaudus";"Xerospermophilus tereticaudus"
"2018";"Spermophilus relictus";"Spermophilus relictus"
"2019";"Spermophilus pygmaeus";"Spermophilus pygmaeus"
"2020";"Xerospermophilus perotensis";"Xerospermophilus perotensis"
"2021";"Urocitellus armatus";"Urocitellus armatus"
"2022";"Urocitellus beldingi";"Urocitellus beldingi"
"2023";"Poliocitellus franklinii";"Poliocitellus franklinii"
"2024";"Urocitellus elegans";"Urocitellus elegans"
"2025";"Callospermophilus lateralis";"Callospermophilus lateralis"
"2026";"Urocitellus canus";"Urocitellus canus"
"2027";"Urocitellus columbianus";"Urocitellus columbianus"
"2028";"Notocitellus adocetus";"Notocitellus adocetus"
"2029";"Notocitellus annulatus";"Notocitellus annulatus"
"2030";"Xerospermophilus mohavensis";"Xerospermophilus mohavensis"
"2031";"Spermophilus taurensis";"Spermophilus taurensis"
"2032";"Neotamias alpinus";"Neotamias alpinus"
"2033";"Neotamias canipes";"Neotamias canipes"
"2034";"Neotamias cinereicollis";"Neotamias cinereicollis"
"2035";"Neotamias ochrogenys";"Neotamias ochrogenys"
"2036";"Neotamias panamintinus";"Neotamias panamintinus"
"2037";"Neotamias quadrimaculatus";"Neotamias quadrimaculatus"
"2038";"Neotamias palmeri";"Neotamias palmeri"
"2039";"Neotamias ruficaudus";"Neotamias ruficaudus"
"2040";"Neotamias siskiyou";"Neotamias siskiyou"
"2041";"Neotamias senex";"Neotamias senex"
"2042";"Neotamias obscurus";"Neotamias obscurus"
"2043";"Neotamias durangae";"Neotamias durangae"
"2044";"Neotamias merriami";"Neotamias merriami"
"2045";"Petaurillus emiliae";"Petaurillus emiliae"
"2046";"Aeretes melanopterus";"Aeretes melanopterus"
"2047";"Funisciurus leucogenys";"Funisciurus leucogenys"
"2048";"Pteromys momonga";"Pteromys momonga"
"2049";"Trogopterus xanthipes";"Trogopterus xanthipes"
"2050";"Aeromys tephromelas";"Aeromys tephromelas"
"2051";"Petaurista nobilis";"Petaurista nobilis"
"2052";"Petaurista magnificus";"Petaurista magnificus"
"2053";"Petaurista elegans";"Petaurista elegans"
"2054";"Tachyoryctes splendens";"Tachyoryctes splendens"
"2055";"Myospalax myospalax";"Myospalax myospalax"
"2056";"Thryonomys gregorianus";"Thryonomys gregorianus"
"2057";"Ptilocercus lowii";"Ptilocercus lowii"
"2058";"Dendrogale melanura";"Dendrogale melanura"
"2059";"Dendrogale murina";"Dendrogale murina"
"2060";"Anathana ellioti";"Anathana ellioti"
"2061";"Tupaia tana";"Tupaia tana"
"2062";"Tupaia montana";"Tupaia montana"
"2063";"Tupaia minor";"Tupaia minor"
"2064";"Tupaia splendidula";"Tupaia splendidula"
"2065";"Tupaia picta";"Tupaia picta"
"2066";"Tupaia dorsalis";"Tupaia dorsalis"
"2067";"Tupaia javanica";"Tupaia javanica"
"2068";"Tupaia belangeri";"Tupaia belangeri"
"2069";"Nesophontes edithae";"Nesophontes edithae"
"2070";"Nesophontes zamicrus";"Nesophontes zamicrus"
"2071";"Nesophontes micrus";"Nesophontes micrus"
"2072";"Nesophontes paramicrus";"Nesophontes paramicrus"
"2073";"Nesophontes hypomicrus";"Nesophontes hypomicrus"
"2074";"Nesophontes major";"Nesophontes major"
"2075";"Chimarrogale platycephalus";"Chimarrogale platycephala"
"2076";"Neomys teres";"Neomys teres"
"2077";"Blarinella wardi";"Blarinella wardi"
"2078";"Blarinella quadraticauda";"Blarinella quadraticauda"
"2079";"Cryptotis orophila";"Cryptotis orophilus"
"2080";"Cryptotis merus";"Cryptotis merus"
"2081";"Cryptotis phillipsii";"Cryptotis phillipsii"
"2082";"Cryptotis equatoris";"Cryptotis equatoris"
"2083";"Cryptotis peruviensis";"Cryptotis peruviensis"
"2084";"Cryptotis colombiana";"Cryptotis colombiana"
"2085";"Cryptotis brachyonyx";"Cryptotis brachyonyx"
"2086";"Cryptotis squamipes";"Cryptotis squamipes"
"2087";"Cryptotis peregrina";"Cryptotis peregrinus"
"2088";"Cryptotis mayensis";"Cryptotis mayensis"
"2089";"Cryptotis alticola";"Cryptotis alticola"
"2090";"Cryptotis nelsoni";"Cryptotis nelsoni"
"2091";"Cryptotis hondurensis";"Cryptotis hondurensis"
"2092";"Cryptotis endersi";"Cryptotis endersi"
"2093";"Cryptotis gracilis";"Cryptotis gracilis"
"2094";"Cryptotis goldmani";"Cryptotis goldmani"
"2095";"Cryptotis montivaga";"Cryptotis montivagus"
"2096";"Cryptotis nigrescens";"Cryptotis nigrescens"
"2097";"Cryptotis mexicana";"Cryptotis mexicanus"
"2098";"Cryptotis obscura";"Cryptotis obscurus"
"2099";"Cryptotis tropicalis";"Cryptotis tropicalis"
"2100";"Myosorex blarina";"Myosorex blarina"
"2101";"Myosorex longicaudatus";"Myosorex longicaudatus"
"2102";"Myosorex eisentrauti";"Myosorex eisentrauti"
"2103";"Myosorex babaulti";"Myosorex babaulti"
"2104";"Myosorex sclateri";"Myosorex sclateri"
"2105";"Myosorex tenuis";"Myosorex tenuis"
"2106";"Myosorex kihaulei";"Myosorex kihaulei"
"2107";"Suncus murinus";"Suncus murinus"
"2108";"Suncus etruscus";"Suncus etruscus"
"2109";"Suncus infinitesimus";"Suncus infinitesimus"
"2110";"Suncus stoliczkanus";"Suncus stoliczkanus"
"2111";"Suncus varilla";"Suncus varilla"
"2112";"Suncus zeylanicus";"Suncus zeylanicus"
"2113";"Suncus malayanus";"Suncus malayanus"
"2114";"Suncus aequatorius";"Suncus aequatorius"
"2115";"Suncus remyi";"Suncus remyi"
"2116";"Suncus fellowesgordoni";"Suncus fellowesgordoni"
"2117";"Suncus ater";"Suncus ater"
"2118";"Congosorex verheyeni";"Congosorex verheyeni"
"2119";"Sylvisorex isabellae";"Sylvisorex isabellae"
"2120";"Sylvisorex howelli";"Sylvisorex howelli"
"2121";"Sylvisorex vulcanorum";"Sylvisorex vulcanorum"
"2122";"Sylvisorex ollula";"Sylvisorex ollula"
"2123";"Sylvisorex konganensis";"Sylvisorex konganensis"
"2124";"Sylvisorex lunaris";"Sylvisorex lunaris"
"2125";"Sylvisorex granti";"Sylvisorex granti"
"2126";"Sylvisorex johnstoni";"Sylvisorex johnstoni"
"2127";"Chodsigoa salenskii";"Chodsigoa salenskii"
"2128";"Chodsigoa parva";"Chodsigoa parva"
"2129";"Chodsigoa smithii";"Chodsigoa smithii"
"2130";"Chodsigoa sodalis";"Chodsigoa sodalis"
"2131";"Chodsigoa caovansunga";"Chodsigoa caovansunga"
"2132";"Feroculus feroculus";"Feroculus feroculus"
"2133";"Notiosorex villai";"Notiosorex villai"
"2134";"Notiosorex cockrumi";"Notiosorex cockrumi"
"2135";"Episoriculus caudatus";"Episoriculus caudatus"
"2136";"Crocidura tanakae";"Crocidura tanakae"
"2137";"Crocidura rapax";"Crocidura rapax"
"2138";"Crocidura denti";"Crocidura denti"
"2139";"Crocidura elongata";"Crocidura elongata"
"2140";"Crocidura douceti";"Crocidura douceti"
"2141";"Crocidura hilliana";"Crocidura hilliana"
"2142";"Crocidura arabica";"Crocidura arabica"
"2143";"Crocidura buettikoferi";"Crocidura buettikoferi"
"2144";"Crocidura negligens";"Crocidura negligens"
"2145";"Crocidura lepidura";"Crocidura lepidura"
"2146";"Crocidura arispa";"Crocidura arispa"
"2147";"Crocidura suaveolens";"Crocidura suaveolens"
"2148";"Crocidura serezkyensis";"Crocidura serezkyensis"
"2149";"Crocidura brunnea";"Crocidura brunnea"
"2150";"Crocidura paradoxura";"Crocidura paradoxura"
"2151";"Crocidura palawanensis";"Crocidura palawanensis"
"2152";"Crocidura negrina";"Crocidura negrina"
"2153";"Crocidura malayana";"Crocidura malayana"
"2154";"Crocidura miya";"Crocidura miya"
"2155";"Crocidura grayi";"Crocidura grayi"
"2156";"Crocidura indochinensis";"Crocidura indochinensis"
"2157";"Crocidura fumosa";"Crocidura fumosa"
"2158";"Crocidura gracilipes";"Crocidura gracilipes"
"2159";"Crocidura flavescens";"Crocidura flavescens"
"2160";"Crocidura attila";"Crocidura attila"
"2161";"Crocidura baluensis";"Crocidura baluensis"
"2162";"Crocidura caliginea";"Crocidura caliginea"
"2163";"Crocidura desperata";"Crocidura desperata"
"2164";"Crocidura allex";"Crocidura allex"
"2165";"Crocidura nigripes";"Crocidura nigripes"
"2166";"Crocidura xantippe";"Crocidura xantippe"
"2167";"Crocidura picea";"Crocidura picea"
"2168";"Crocidura vorax";"Crocidura vorax"
"2169";"Crocidura orii";"Crocidura orii"
"2170";"Crocidura wimmeri";"Crocidura wimmeri"
"2171";"Crocidura beccarii";"Crocidura beccarii"
"2172";"Crocidura beatus";"Crocidura beatus"
"2173";"Crocidura dhofarensis";"Crocidura dhofarensis"
"2174";"Crocidura katinka";"Crocidura katinka"
"2175";"Crocidura manengubae";"Crocidura manengubae"
"2176";"Crocidura latona";"Crocidura latona"
"2177";"Crocidura wuchihensis";"Crocidura wuchihensis"
"2178";"Crocidura trichura";"Crocidura trichura"
"2179";"Crocidura glassi";"Crocidura glassi"
"2180";"Crocidura congobelgica";"Crocidura congobelgica"
"2181";"Crocidura levicula";"Crocidura levicula"
"2182";"Crocidura monticola";"Crocidura monticola"
"2183";"Crocidura montis";"Crocidura montis"
"2184";"Crocidura nana";"Crocidura nana"
"2185";"Crocidura horsfieldii";"Crocidura horsfieldii"
"2186";"Crocidura lamottei";"Crocidura lamottei"
"2187";"Crocidura lea";"Crocidura lea"
"2188";"Crocidura turba";"Crocidura turba"
"2189";"Crocidura tarfayensis";"Crocidura tarfayensis"
"2190";"Crocidura theresae";"Crocidura theresae"
"2191";"Crocidura virgata";"Crocidura virgata"
"2192";"Crocidura niobe";"Crocidura niobe"
"2193";"Crocidura nigricans";"Crocidura nigricans"
"2194";"Crocidura foetida";"Crocidura foetida"
"2195";"Crocidura watasei";"Crocidura watasei"
"2196";"Crocidura rhoditis";"Crocidura rhoditis"
"2197";"Crocidura pullata";"Crocidura pullata"
"2198";"Crocidura tarella";"Crocidura tarella"
"2199";"Paracrocidura maxima";"Paracrocidura maxima"
"2200";"Anourosorex assamensis";"Anourosorex assamensis"
"2201";"Anourosorex yamashinai";"Anourosorex yamashinai"
"2202";"Sorex maritimensis";"Sorex maritimensis"
"2203";"Sorex emarginatus";"Sorex emarginatus"
"2204";"Sorex fumeus";"Sorex fumeus"
"2205";"Sorex lyelli";"Sorex lyelli"
"2206";"Sorex mirabilis";"Sorex mirabilis"
"2207";"Sorex buchariensis";"Sorex buchariensis"
"2208";"Sorex camtschatica";"Sorex camtschaticus"
"2209";"Sorex asper";"Sorex asper"
"2210";"Sorex bedfordiae";"Sorex bedfordiae"
"2211";"Sorex macrodon";"Sorex macrodon"
"2212";"Sorex pribilofensis";"Sorex pribilofensis"
"2213";"Sorex jacksoni";"Sorex jacksoni"
"2214";"Sorex caecutiens";"Sorex caecutiens"
