"";"parsed";"mdd_itis"
"3307";"Bradypus tridactylus";"Bradypus tridactylus"
"3308";"Bradypus variegatus";"Bradypus variegatus"
"3309";"Cabassous centralis";"Cabassous centralis"
"3310";"Cabassous chacoensis";"Cabassous chacoensis"
"3311";"Cabassous tatouay";"Cabassous tatouay"
"3312";"Cabassous unicinctus";"Cabassous unicinctus"
"3313";"Chaetophractus villosus";"Chaetophractus villosus"
"3314";"Calyptophractus retusus";"Calyptophractus retusus"
"3315";"Chlamyphorus truncatus";"Chlamyphorus truncatus"
"3316";"Choloepus didactylus";"Choloepus didactylus"
"3317";"Choloepus hoffmanni";"Choloepus hoffmanni"
"3318";"Cyclopes didactylus";"Cyclopes didactylus"
"3319";"Dasypus kappleri";"Dasypus kappleri"
"3320";"Dasypus novemcinctus";"Dasypus novemcinctus"
"3321";"Dasypus pilosus";"Dasypus pilosus"
"3322";"Dasypus sabanicola";"Dasypus sabanicola"
"3323";"Dasypus septemcinctus";"Dasypus septemcinctus"
"3324";"Euphractus sexcinctus";"Euphractus sexcinctus"
"3325";"Myrmecophaga tridactyla";"Myrmecophaga tridactyla"
"3326";"Priodontes maximus";"Priodontes maximus"
"3327";"Tamandua mexicana";"Tamandua mexicana"
"3328";"Tamandua tetradactyla";"Tamandua tetradactyla"
"3329";"Tolypeutes matacus";"Tolypeutes matacus"
"3330";"Tolypeutes tricinctus";"Tolypeutes tricinctus"
"3331";"Zaedyus pichiy";"Zaedyus pichiy"
"3332";"Bradypus pygmaeus";"Bradypus pygmaeus"
"3333";"Scarturus toussi";"Scarturus toussi"
"3334";"Phyllomys sulinus";"Phyllomys sulinus"
"3335";"Heteromys catopterius";"Heteromys catopterius"
"3336";"Acomys selousi";"Acomys selousi"
"3337";"Acomys muzei";"Acomys muzei"
"3338";"Acomys ngurui";"Acomys ngurui"
"3339";"Soricomys montanus";"Soricomys montanus"
"3340";"Hylomyscus anselli";"Hylomyscus anselli"
"3341";"Hylomyscus arcimontensis";"Hylomyscus arcimontensis"
"3342";"Hylomyscus walterverheyeni";"Hylomyscus walterverheyeni"
"3343";"Leptomys arfakensis";"Leptomys arfakensis"
"3344";"Leptomys paulus";"Leptomys paulus"
"3345";"Lophuromys simensis";"Lophuromys simensis"
"3346";"Lophuromys menageshae";"Lophuromys menageshae"
"3347";"Lophuromys pseudosikapusi";"Lophuromys pseudosikapusi"
"3348";"Lophuromys stanleyi";"Lophuromys stanleyi"
"3349";"Lophuromys machangui";"Lophuromys machangui"
"3350";"Lophuromys sabunii";"Lophuromys sabunii"
"3351";"Lophuromys makundii";"Lophuromys makundii"
"3352";"Lophuromys kilonzoi";"Lophuromys kilonzoi"
"3353";"Microhydromys argenteus";"Microhydromys argenteus"
"3354";"Otomys cheesmani";"Otomys cheesmani"
"3355";"Otomys fortior";"Otomys fortior"
"3356";"Otomys simiensis";"Otomys simiensis"
"3357";"Otomys zinki";"Otomys zinki"
"3358";"Praomys coetzeei";"Praomys coetzeei"
"3359";"Pseudohydromys pumehanae";"Pseudohydromys pumehanae"
"3360";"Pseudohydromys carlae";"Pseudohydromys carlae"
"3361";"Vulpes cana";"Vulpes cana"
"3362";"Pseudohydromys eleanorae";"Pseudohydromys eleanorae"
"3363";"Mirzamys norahae";"Mirzamys norahae"
"3364";"Mirzamys louiseae";"Mirzamys louiseae"
"3365";"Eliurus carletoni";"Eliurus carletoni"
"3366";"Cryptotis mam";"Cryptotis mam"
"3367";"Cryptotis lacertosus";"Cryptotis lacertosus"
"3368";"Sylvisorex corbeti";"Sylvisorex corbeti"
"3369";"Fukomys vandewoestijneae";"Fukomys vandewoestijneae"
"3370";"Fukomys ilariae";"Fukomys ilariae"
"3371";"Lagidium ahuacaense";"Lagidium ahuacaense"
"3372";"Crocidura cranbrooki";"Crocidura cranbrooki"
"3373";"Crocidura annamitensis";"Crocidura annamitensis"
"3374";"Crocidura guy";"Crocidura guy"
"3375";"Crocidura panayensis";"Crocidura panayensis"
"3376";"Rhipidomys itoan";"Rhipidomys itoan"
"3377";"Rhipidomys tribei";"Rhipidomys tribei"
"3378";"Musseromys gulantang";"Musseromys gulantang"
"3379";"Akodon polopi";"Akodon polopi"
"3380";"Macaca sylvanus";"Macaca sylvanus"
"3381";"Addax nasomaculatus";"Addax nasomaculatus"
"3382";"Aepyceros melampus";"Aepyceros melampus"
"3383";"Ammodorcas clarkei";"Ammodorcas clarkei"
"3384";"Antilope cervicapra";"Antilope cervicapra"
"3385";"Cephalophus adersi";"Cephalophus adersi"
"3386";"Cephalophus callipygus";"Cephalophus callipygus"
"3387";"Cephalophus jentinki";"Cephalophus jentinki"
"3388";"Cephalophus leucogaster";"Cephalophus leucogaster"
"3389";"Philantomba maxwellii";"Philantomba maxwellii"
"3390";"Philantomba monticola";"Philantomba monticola"
"3391";"Cephalophus natalensis";"Cephalophus natalensis"
"3392";"Cephalophus niger";"Cephalophus niger"
"3393";"Cephalophus nigrifrons";"Cephalophus nigrifrons"
"3394";"Cephalophus ogilbyi";"Cephalophus ogilbyi"
"3395";"Cephalophus rufilatus";"Cephalophus rufilatus"
"3396";"Cephalophus silvicultor";"Cephalophus silvicultor"
"3397";"Cephalophus spadix";"Cephalophus spadix"
"3398";"Cephalophus weynsi";"Cephalophus weynsi"
"3399";"Cephalophus zebra";"Cephalophus zebra"
"3400";"Connochaetes gnou";"Connochaetes gnou"
"3401";"Beatragus hunteri";"Beatragus hunteri"
"3402";"Damaliscus lunatus";"Damaliscus lunatus"
"3403";"Dorcatragus megalotis";"Dorcatragus megalotis"
"3404";"Gazella cuvieri";"Gazella cuvieri"
"3405";"Nanger dama";"Nanger dama"
"3406";"Gazella dorcas";"Gazella dorcas"
"3407";"Gazella gazella";"Gazella gazella"
"3408";"Nanger granti";"Nanger granti"
"3409";"Gazella leptoceros";"Gazella leptoceros"
"3410";"Eudorcas rufifrons";"Eudorcas rufifrons"
"3411";"Gazella spekei";"Gazella spekei"
"3412";"Gazella subgutturosa";"Gazella subgutturosa"
"3413";"Gazella marica";"Gazella marica"
"3414";"Gazella bennettii";"Gazella bennettii"
"3415";"Gazella bilkis";"Gazella bilkis"
"3416";"Eudorcas tilonura";"Eudorcas tilonura"
"3417";"Eudorcas albonotata";"Eudorcas albonotata"
"3418";"Hippotragus equinus";"Hippotragus equinus"
"3419";"Hippotragus leucophaeus";"Hippotragus leucophaeus"
"3420";"Hippotragus niger";"Hippotragus niger"
"3421";"Hyemoschus aquaticus";"Hyemoschus aquaticus"
"3422";"Kobus leche";"Kobus leche"
"3423";"Kobus megaceros";"Kobus megaceros"
"3424";"Kobus ellipsiprymnus";"Kobus ellipsiprymnus"
"3425";"Kobus kob";"Kobus kob"
"3426";"Kobus vardonii";"Kobus vardonii"
"3427";"Litocranius walleri";"Litocranius walleri"
"3428";"Madoqua piacentinii";"Madoqua piacentinii"
"3429";"Madoqua saltiana";"Madoqua saltiana"
"3430";"Madoqua guentheri";"Madoqua guentheri"
"3431";"Madoqua kirkii";"Madoqua kirkii"
"3432";"Neotragus pygmaeus";"Neotragus pygmaeus"
"3433";"Nesotragus moschatus";"Nesotragus moschatus"
"3434";"Oreotragus oreotragus";"Oreotragus oreotragus"
"3435";"Oryx dammah";"Oryx dammah"
"3436";"Oryx leucoryx";"Oryx leucoryx"
"3437";"Oryx beisa";"Oryx beisa"
"3438";"Ourebia ourebi";"Ourebia ourebi"
"3439";"Pantholops hodgsonii";"Pantholops hodgsonii"
"3440";"Pelea capreolus";"Pelea capreolus"
"3441";"Procapra przewalskii";"Procapra przewalskii"
"3442";"Raphicerus melanotis";"Raphicerus melanotis"
"3443";"Raphicerus sharpei";"Raphicerus sharpei"
