"";"Rb";"AV";"FV";"NN"
"Tadarida latouchei";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida lobata";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida kuboriensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida aegyptiaca";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida australis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida brasiliensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida fulminans";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tadarida insignis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Tomopeas ravus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus furinalis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus dimissus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus fuscus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus diminutus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus chiriquinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus brasiliensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus bottae";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus matroka";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus andinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus tatei";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus japonensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus nasutus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus nilssonii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus pachyotis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus platyops";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus serotinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus bobrinskoi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus gobiensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus innoxius";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus guadeloupensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus hottentotus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus kobayashii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eptesicus floweri";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Arielulus aureocollaris";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Arielulus torquatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Arielulus societatis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Arielulus circumdatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Arielulus cuprosus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Hesperoptenus doriae";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Hesperoptenus gaskelli";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Hesperoptenus tomesi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Hesperoptenus tickelli";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Hesperoptenus blanfordi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus dinganii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus robustus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus borbonicus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus heathii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus collinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus kuhlii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus nux";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus nucella";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus viridis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus nigrita";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus leucogaster";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotophilus celebensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotorepens balstoni";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotorepens greyii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotorepens sanborni";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotorepens orion";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nycticeinops schlieffeni";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nycticeius aenobarbus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nycticeius humeralis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nycticeius cubanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa gracilis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa tumida";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa parvula";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa mira";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa minutilla";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa hussoni";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa genowaysi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa aeneus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa io";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Rhogeessa alleni";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scoteanax rueppellii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotoecus albofuscus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotoecus hindei";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotoecus hirundo";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotoecus pallidus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotoecus albigula";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotomanes ornatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus bifax";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus howensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus microdon";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus walkeri";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus heran";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus geoffroyi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus gouldi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus timoriensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus nebulosus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus microtis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctophilus arnhemensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pharotis imogene";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus ebenus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus borealis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus blossevillii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus castaneus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus cinereus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus degelidus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus egregius";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus varius";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus minor";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus pfeifferi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus salinae";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus seminolus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus atratus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus insularis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus xanthinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus ega";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Lasiurus intermedius";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus nathusii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus nanulus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus maderensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus pipistrellus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus kuhlii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus minahassae";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus papuanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus permixtus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus javanicus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus angulatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus pygmaeus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus paterculus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus inexspectatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus hesperus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus hesperidus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus endoi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus deserti";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus coromandra";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus ceylonicus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus aero";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus adamsi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus abramus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus rusticus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus collinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus sturdeei";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus rueppellii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus stenopterus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus westralis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus wattsi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus tenuis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Pipistrellus subflavus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Scotozous dormeri";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Glischropus javanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Glischropus tylopus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus lasiopterus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus plancyi";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus noctula";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus aviator";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus leisleri";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus furvus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus azoreum";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Nyctalus montanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Barbastella barbastellus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Barbastella leucomelas";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Corynorhinus townsendii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Corynorhinus rafinesquii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Corynorhinus mexicanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Euderma maculatum";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Idionycteris phyllotis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Otonycteris hemprichii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus teneriffae";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus austriacus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus balensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus auritus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus kolombatovici";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus sardus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus taivanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Plecotus alpinus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia somalicus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia tenuipinnis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia capensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia flavescens";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia guineensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia helios";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia melckorum";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia nanus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia brunneus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia zuluensis";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Neoromicia rendalli";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus dwyeri";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus picatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus tuberculatus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus nigrogriseus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus neocaledonicus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus morio";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Chalinolobus gouldii";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Eudiscopus denticulus";0,0125155360855715;0,643245120840603;0,643126001373781;0
"Falsistrellus petersi";0,0125155360855715;0,643245120840603;0,643126001373781;0
